"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Mobile","Alabama","1474","90","0","2020-05-12 13:00:00","01097"
"Jefferson","Alabama","1131","61","0","2020-05-12 13:00:00","01073"
"Montgomery","Alabama","642","15","0","2020-05-12 13:00:00","01101"
"Marshall","Alabama","576","8","0","2020-05-12 13:00:00","01095"
"Lee","Alabama","429","30","0","2020-05-12 13:00:00","01081"
"Shelby","Alabama","370","17","0","2020-05-12 13:00:00","01117"
"Tallapoosa","Alabama","328","42","0","2020-05-12 13:00:00","01123"
"Chambers","Alabama","319","21","0","2020-05-12 13:00:00","01017"
"Tuscaloosa","Alabama","284","4","0","2020-05-12 13:00:00","01125"
"Madison","Alabama","250","4","0","2020-05-12 13:00:00","01089"
"Franklin","Alabama","247","2","0","2020-05-12 13:00:00","01059"
"Baldwin","Alabama","224","6","0","2020-05-12 13:00:00","01003"
"Butler","Alabama","196","6","0","2020-05-12 13:00:00","01013"
"Etowah","Alabama","193","10","0","2020-05-12 13:00:00","01055"
"DeKalb","Alabama","158","2","0","2020-05-12 13:00:00","01049"
"Elmore","Alabama","152","4","0","2020-05-12 13:00:00","01051"
"Coffee","Alabama","150","1","0","2020-05-12 13:00:00","01031"
"Calhoun","Alabama","125","3","0","2020-05-12 13:00:00","01015"
"Dallas","Alabama","122","3","0","2020-05-12 13:00:00","01047"
"Randolph","Alabama","111","7","0","2020-05-12 13:00:00","01111"
"Houston","Alabama","107","4","0","2020-05-12 13:00:00","01069"
"Walker","Alabama","107","0","0","2020-05-12 13:00:00","01127"
"Sumter","Alabama","106","4","0","2020-05-12 13:00:00","01119"
"Lowndes","Alabama","103","6","0","2020-05-12 13:00:00","01085"
"Pike","Alabama","99","0","0","2020-05-12 13:00:00","01109"
"Lauderdale","Alabama","96","4","0","2020-05-12 13:00:00","01077"
"Marion","Alabama","96","7","0","2020-05-12 13:00:00","01093"
"Morgan","Alabama","95","0","0","2020-05-12 13:00:00","01103"
"Wilcox","Alabama","85","4","0","2020-05-12 13:00:00","01131"
"Autauga","Alabama","84","4","0","2020-05-12 13:00:00","01001"
"St. Clair","Alabama","84","1","0","2020-05-12 13:00:00","01115"
"Marengo","Alabama","83","4","0","2020-05-12 13:00:00","01091"
"Russell","Alabama","81","0","0","2020-05-12 13:00:00","01113"
"Greene","Alabama","73","3","0","2020-05-12 13:00:00","01063"
"Talladega","Alabama","73","2","0","2020-05-12 13:00:00","01121"
"Hale","Alabama","72","2","0","2020-05-12 13:00:00","01065"
"Colbert","Alabama","70","2","0","2020-05-12 13:00:00","01033"
"Pickens","Alabama","70","2","0","2020-05-12 13:00:00","01107"
"Chilton","Alabama","67","1","0","2020-05-12 13:00:00","01021"
"Choctaw","Alabama","67","0","0","2020-05-12 13:00:00","01023"
"Cullman","Alabama","65","0","0","2020-05-12 13:00:00","01043"
"Clarke","Alabama","63","1","0","2020-05-12 13:00:00","01025"
"Barbour","Alabama","61","1","0","2020-05-12 13:00:00","01005"
"Jackson","Alabama","60","2","0","2020-05-12 13:00:00","01071"
"Limestone","Alabama","57","0","0","2020-05-12 13:00:00","01083"
"Covington","Alabama","55","1","0","2020-05-12 13:00:00","01039"
"Washington","Alabama","54","2","0","2020-05-12 13:00:00","01129"
"Macon","Alabama","49","2","0","2020-05-12 13:00:00","01087"
"Bibb","Alabama","46","1","0","2020-05-12 13:00:00","01007"
"Blount","Alabama","45","0","0","2020-05-12 13:00:00","01009"
"Dale","Alabama","45","0","0","2020-05-12 13:00:00","01045"
"Crenshaw","Alabama","43","1","0","2020-05-12 13:00:00","01041"
"Escambia","Alabama","37","3","0","2020-05-12 13:00:00","01053"
"Coosa","Alabama","33","1","0","2020-05-12 13:00:00","01037"
"Henry","Alabama","30","1","0","2020-05-12 13:00:00","01067"
"Clay","Alabama","27","1","0","2020-05-12 13:00:00","01027"
"Bullock","Alabama","26","1","0","2020-05-12 13:00:00","01011"
"Lawrence","Alabama","26","0","0","2020-05-12 13:00:00","01079"
"Cherokee","Alabama","24","0","0","2020-05-12 13:00:00","01019"
"Winston","Alabama","23","0","0","2020-05-12 13:00:00","01133"
"Perry","Alabama","19","0","0","2020-05-12 13:00:00","01105"
"Geneva","Alabama","15","0","0","2020-05-12 13:00:00","01061"
"Monroe","Alabama","15","1","0","2020-05-12 13:00:00","01099"
"Conecuh","Alabama","14","0","0","2020-05-12 13:00:00","01035"
"Cleburne","Alabama","13","1","0","2020-05-12 13:00:00","01029"
"Lamar","Alabama","13","0","0","2020-05-12 13:00:00","01075"
"unknown","Alabama","8","3","0","2020-05-12 13:00:00","undefined"
"Fayette","Alabama","7","0","0","2020-05-12 13:00:00","01057"
