"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Anchorage","Alaska","194","4","160","2020-05-12 13:00:00","02020"
"Fairbanks North Star","Alaska","84","2","75","2020-05-12 13:00:00","02090"
"Juneau","Alaska","27","0","26","2020-05-12 13:00:00","02110"
"Kenai Peninsula","Alaska","24","2","19","2020-05-12 13:00:00","02122"
"Matanuska-Susitna","Alaska","21","1","19","2020-05-12 13:00:00","02170"
"Ketchikan Gateway","Alaska","16","0","16","2020-05-12 13:00:00","02130"
"Petersburg","Alaska","4","1","2","2020-05-12 13:00:00","02195"
"Prince of Wales-Hyder","Alaska","2","0","2","2020-05-12 13:00:00","02198"
"Southeast Fairbanks","Alaska","2","0","1","2020-05-12 13:00:00","02240"
"Bethel","Alaska","1","0","1","2020-05-12 13:00:00","02050"
"Kodiak Island","Alaska","1","0","1","2020-05-12 13:00:00","02150"
"Nome","Alaska","1","0","1","2020-05-12 13:00:00","02180"
"Sitka","Alaska","1","0","1","2020-05-12 13:00:00","02220"
"Yukon-Koyukuk","Alaska","1","0","0","2020-05-12 13:00:00","02290"
