"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Maricopa","Arizona","5988","250","1","2020-05-12 13:00:00","04013"
"Pima","Arizona","1602","134","1","2020-05-12 13:00:00","04019"
"Navajo","Arizona","1006","37","0","2020-05-12 13:00:00","04017"
"Apache","Arizona","727","10","0","2020-05-12 13:00:00","04001"
"Coconino","Arizona","713","56","0","2020-05-12 13:00:00","04005"
"Pinal","Arizona","620","19","1","2020-05-12 13:00:00","04021"
"Yuma","Arizona","199","3","0","2020-05-12 13:00:00","04027"
"Mohave","Arizona","198","25","0","2020-05-12 13:00:00","04015"
"Yavapai","Arizona","180","4","3","2020-05-12 13:00:00","04025"
"Santa Cruz","Arizona","45","0","0","2020-05-12 13:00:00","04023"
"Cochise","Arizona","42","1","0","2020-05-12 13:00:00","04003"
"La Paz","Arizona","23","1","0","2020-05-12 13:00:00","04012"
"Gila","Arizona","19","1","0","2020-05-12 13:00:00","04007"
"Graham","Arizona","19","0","0","2020-05-12 13:00:00","04009"
"Greenlee","Arizona","2","0","0","2020-05-12 13:00:00","04011"
