"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Lincoln","Arkansas","941","7","853","2020-05-12 13:00:00","05079"
"Pulaski","Arkansas","630","23","490","2020-05-12 13:00:00","05119"
"St. Francis","Arkansas","279","0","82","2020-05-12 13:00:00","05123"
"Jefferson","Arkansas","238","19","164","2020-05-12 13:00:00","05069"
"unknown","Arkansas","231","0","97","2020-05-12 13:00:00","undefined"
"Crittenden","Arkansas","210","7","171","2020-05-12 13:00:00","05035"
"Benton","Arkansas","123","0","103","2020-05-12 13:00:00","05007"
"Garland","Arkansas","119","1","113","2020-05-12 13:00:00","05051"
"Washington","Arkansas","110","3","84","2020-05-12 13:00:00","05143"
"Craighead","Arkansas","98","0","72","2020-05-12 13:00:00","05031"
"Faulkner","Arkansas","82","2","73","2020-05-12 13:00:00","05045"
"Union","Arkansas","76","4","55","2020-05-12 13:00:00","05139"
"Saline","Arkansas","73","1","65","2020-05-12 13:00:00","05125"
"Cleburne","Arkansas","72","4","67","2020-05-12 13:00:00","05023"
"Lawrence","Arkansas","69","4","40","2020-05-12 13:00:00","05075"
"Mississippi","Arkansas","52","0","18","2020-05-12 13:00:00","05093"
"Pope","Arkansas","48","0","42","2020-05-12 13:00:00","05115"
"Lonoke","Arkansas","45","0","40","2020-05-12 13:00:00","05085"
"Miller","Arkansas","37","1","35","2020-05-12 13:00:00","05091"
"White","Arkansas","36","1","31","2020-05-12 13:00:00","05145"
"Johnson","Arkansas","34","0","31","2020-05-12 13:00:00","05071"
"Clark","Arkansas","33","0","29","2020-05-12 13:00:00","05019"
"Cross","Arkansas","29","0","20","2020-05-12 13:00:00","05037"
"Van Buren","Arkansas","28","2","26","2020-05-12 13:00:00","05141"
"Hot Spring","Arkansas","26","0","17","2020-05-12 13:00:00","05059"
"Poinsett","Arkansas","25","2","19","2020-05-12 13:00:00","05111"
"Greene","Arkansas","23","0","19","2020-05-12 13:00:00","05055"
"Randolph","Arkansas","22","0","19","2020-05-12 13:00:00","05121"
"Sevier","Arkansas","21","1","12","2020-05-12 13:00:00","05133"
"Drew","Arkansas","19","1","14","2020-05-12 13:00:00","05043"
"Ashley","Arkansas","18","0","16","2020-05-12 13:00:00","05003"
"Desha","Arkansas","17","0","15","2020-05-12 13:00:00","05041"
"Independence","Arkansas","17","0","10","2020-05-12 13:00:00","05063"
"Sharp","Arkansas","16","2","6","2020-05-12 13:00:00","05135"
"Columbia","Arkansas","15","2","6","2020-05-12 13:00:00","05027"
"Grant","Arkansas","15","0","14","2020-05-12 13:00:00","05053"
"Sebastian","Arkansas","15","0","13","2020-05-12 13:00:00","05131"
"Howard","Arkansas","14","0","13","2020-05-12 13:00:00","05061"
"Cleveland","Arkansas","13","0","12","2020-05-12 13:00:00","05025"
"Conway","Arkansas","13","1","10","2020-05-12 13:00:00","05029"
"Izard","Arkansas","13","0","7","2020-05-12 13:00:00","05065"
"Bradley","Arkansas","11","1","9","2020-05-12 13:00:00","05011"
"Chicot","Arkansas","10","0","8","2020-05-12 13:00:00","05017"
"Lafayette","Arkansas","9","1","7","2020-05-12 13:00:00","05073"
"Ouachita","Arkansas","9","0","7","2020-05-12 13:00:00","05103"
"Perry","Arkansas","8","0","7","2020-05-12 13:00:00","05105"
"Stone","Arkansas","8","0","8","2020-05-12 13:00:00","05137"
"Hempstead","Arkansas","7","1","5","2020-05-12 13:00:00","05057"
"Polk","Arkansas","7","0","7","2020-05-12 13:00:00","05113"
"Yell","Arkansas","7","1","6","2020-05-12 13:00:00","05149"
"Carroll","Arkansas","6","0","6","2020-05-12 13:00:00","05015"
"Searcy","Arkansas","6","0","6","2020-05-12 13:00:00","05129"
"Baxter","Arkansas","5","0","5","2020-05-12 13:00:00","05005"
"Crawford","Arkansas","5","0","4","2020-05-12 13:00:00","05033"
"Lee","Arkansas","5","1","3","2020-05-12 13:00:00","05077"
"Monroe","Arkansas","5","0","4","2020-05-12 13:00:00","05095"
"Boone","Arkansas","4","0","4","2020-05-12 13:00:00","05009"
"Clay","Arkansas","4","0","3","2020-05-12 13:00:00","05021"
"Phillips","Arkansas","4","1","3","2020-05-12 13:00:00","05107"
"Fulton","Arkansas","3","0","3","2020-05-12 13:00:00","05049"
"Logan","Arkansas","3","0","2","2020-05-12 13:00:00","05083"
"Nevada","Arkansas","3","0","1","2020-05-12 13:00:00","05099"
"Newton","Arkansas","3","0","3","2020-05-12 13:00:00","05101"
"Pike","Arkansas","3","0","3","2020-05-12 13:00:00","05109"
"Arkansas","Arkansas","2","0","2","2020-05-12 13:00:00","05001"
"Franklin","Arkansas","2","0","2","2020-05-12 13:00:00","05047"
"Prairie","Arkansas","2","0","2","2020-05-12 13:00:00","05117"
"Dallas","Arkansas","1","0","1","2020-05-12 13:00:00","05039"
"Jackson","Arkansas","1","0","1","2020-05-12 13:00:00","05067"
"Madison","Arkansas","1","0","1","2020-05-12 13:00:00","05087"
"Marion","Arkansas","1","0","1","2020-05-12 13:00:00","05089"
"Montgomery","Arkansas","1","0","0","2020-05-12 13:00:00","05097"
"Scott","Arkansas","1","0","1","2020-05-12 13:00:00","05127"
"Woodruff","Arkansas","1","0","1","2020-05-12 13:00:00","05147"
