"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Los Angeles","California","32269","1570","595","2020-05-12 13:00:00","06037"
"Riverside","California","5189","217","2616","2020-05-12 13:00:00","06065"
"San Diego","California","5065","175","1138","2020-05-12 13:00:00","06073"
"Orange","California","3557","76","0","2020-05-12 13:00:00","06059"
"San Bernardino","California","3015","115","0","2020-05-12 13:00:00","06071"
"Santa Clara","California","2341","129","1","2020-05-12 13:00:00","06085"
"Alameda","California","2101","71","0","2020-05-12 13:00:00","06001"
"San Francisco","California","1954","35","0","2020-05-12 13:00:00","06075"
"San Mateo","California","1464","56","0","2020-05-12 13:00:00","06081"
"Santa Barbara","California","1362","11","469","2020-05-12 13:00:00","06083"
"Kern","California","1286","15","753","2020-05-12 13:00:00","06029"
"Sacramento","California","1173","50","0","2020-05-12 13:00:00","06067"
"Tulare","California","1159","50","171","2020-05-12 13:00:00","06107"
"Contra Costa","California","1048","32","0","2020-05-12 13:00:00","06013"
"Fresno","California","945","9","85","2020-05-12 13:00:00","06019"
"Ventura","California","678","19","447","2020-05-12 13:00:00","06111"
"San Joaquin","California","621","29","0","2020-05-12 13:00:00","06077"
"Imperial","California","564","12","266","2020-05-12 13:00:00","06025"
"Stanislaus","California","508","21","357","2020-05-12 13:00:00","06099"
"Solano","California","379","10","321","2020-05-12 13:00:00","06095"
"Kings","California","319","1","0","2020-05-12 13:00:00","06031"
"Sonoma","California","312","4","167","2020-05-12 13:00:00","06097"
"Monterey","California","288","6","135","2020-05-12 13:00:00","06053"
"Marin","California","265","14","0","2020-05-12 13:00:00","06041"
"San Luis Obispo","California","226","1","172","2020-05-12 13:00:00","06079"
"Yolo","California","174","20","0","2020-05-12 13:00:00","06113"
"Merced","California","173","3","91","2020-05-12 13:00:00","06047"
"Placer","California","170","8","0","2020-05-12 13:00:00","06061"
"Santa Cruz","California","141","2","113","2020-05-12 13:00:00","06087"
"Napa","California","79","3","36","2020-05-12 13:00:00","06055"
"Madera","California","67","2","40","2020-05-12 13:00:00","06039"
"Humboldt","California","61","0","50","2020-05-12 13:00:00","06023"
"El Dorado","California","56","0","16","2020-05-12 13:00:00","06017"
"San Benito","California","56","2","50","2020-05-12 13:00:00","06069"
"Sutter","California","45","3","26","2020-05-12 13:00:00","06101"
"Nevada","California","41","1","40","2020-05-12 13:00:00","06057"
"Mono","California","32","1","0","2020-05-12 13:00:00","06051"
"Shasta","California","32","4","6","2020-05-12 13:00:00","06089"
"Yuba","California","21","1","16","2020-05-12 13:00:00","06115"
"Butte","California","20","0","0","2020-05-12 13:00:00","06007"
"Inyo","California","19","1","0","2020-05-12 13:00:00","06027"
"Mariposa","California","15","0","0","2020-05-12 13:00:00","06043"
"Calaveras","California","13","0","13","2020-05-12 13:00:00","06009"
"Mendocino","California","12","0","11","2020-05-12 13:00:00","06045"
"Amador","California","8","0","8","2020-05-12 13:00:00","06005"
"Lake","California","8","0","0","2020-05-12 13:00:00","06033"
"Glenn","California","6","0","2","2020-05-12 13:00:00","06021"
"Siskiyou","California","5","0","3","2020-05-12 13:00:00","06093"
"Plumas","California","4","0","0","2020-05-12 13:00:00","06063"
"Tuolumne","California","4","0","2","2020-05-12 13:00:00","06109"
"Colusa","California","3","0","0","2020-05-12 13:00:00","06011"
"Del Norte","California","3","0","2","2020-05-12 13:00:00","06015"
"Alpine","California","2","0","1","2020-05-12 13:00:00","06003"
"Tehama","California","1","1","0","2020-05-12 13:00:00","06103"
"Trinity","California","1","0","0","2020-05-12 13:00:00","06105"
