"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Denver","Colorado","4118","212","370","2020-05-12 13:00:00","08031"
"Arapahoe","Colorado","3313","179","0","2020-05-12 13:00:00","08005"
"Adams","Colorado","2278","81","0","2020-05-12 13:00:00","08001"
"Weld","Colorado","2159","114","0","2020-05-12 13:00:00","08123"
"Jefferson","Colorado","1658","94","0","2020-05-12 13:00:00","08059"
"El Paso","Colorado","1137","79","0","2020-05-12 13:00:00","08041"
"Boulder","Colorado","777","55","285","2020-05-12 13:00:00","08013"
"Douglas","Colorado","604","29","0","2020-05-12 13:00:00","08035"
"Eagle","Colorado","559","8","0","2020-05-12 13:00:00","08037"
"Morgan","Colorado","517","22","0","2020-05-12 13:00:00","08087"
"Larimer","Colorado","452","19","0","2020-05-12 13:00:00","08069"
"Logan","Colorado","432","2","0","2020-05-12 13:00:00","08075"
"unknown","Colorado","248","5","0","2020-05-12 13:00:00","undefined"
"Broomfield","Colorado","200","17","0","2020-05-12 13:00:00","08014"
"Pueblo","Colorado","185","12","0","2020-05-12 13:00:00","08101"
"Summit","Colorado","182","1","0","2020-05-12 13:00:00","08117"
"Gunnison","Colorado","173","6","0","2020-05-12 13:00:00","08051"
"Montrose","Colorado","127","11","0","2020-05-12 13:00:00","08085"
"Garfield","Colorado","103","2","0","2020-05-12 13:00:00","08045"
"Chaffee","Colorado","68","16","0","2020-05-12 13:00:00","08015"
"La Plata","Colorado","65","1","0","2020-05-12 13:00:00","08067"
"Pitkin","Colorado","65","2","0","2020-05-12 13:00:00","08097"
"Routt","Colorado","58","6","0","2020-05-12 13:00:00","08107"
"Delta","Colorado","55","1","0","2020-05-12 13:00:00","08029"
"Mesa","Colorado","53","0","40","2020-05-12 13:00:00","08077"
"Crowley","Colorado","39","1","0","2020-05-12 13:00:00","08025"
"Elbert","Colorado","39","1","0","2020-05-12 13:00:00","08039"
"Alamosa","Colorado","32","2","0","2020-05-12 13:00:00","08003"
"Teller","Colorado","31","2","0","2020-05-12 13:00:00","08119"
"Kit Carson","Colorado","25","2","0","2020-05-12 13:00:00","08063"
"Montezuma","Colorado","24","3","0","2020-05-12 13:00:00","08083"
"Fremont","Colorado","23","0","0","2020-05-12 13:00:00","08043"
"Lake","Colorado","23","0","0","2020-05-12 13:00:00","08065"
"San Miguel","Colorado","20","0","0","2020-05-12 13:00:00","08113"
"Park","Colorado","16","0","0","2020-05-12 13:00:00","08093"
"Clear Creek","Colorado","14","1","0","2020-05-12 13:00:00","08019"
"Baca","Colorado","12","0","0","2020-05-12 13:00:00","08009"
"Yuma","Colorado","11","0","0","2020-05-12 13:00:00","08125"
"Otero","Colorado","10","1","0","2020-05-12 13:00:00","08089"
"Phillips","Colorado","9","0","0","2020-05-12 13:00:00","08095"
"Prowers","Colorado","9","0","0","2020-05-12 13:00:00","08099"
"Washington","Colorado","9","0","0","2020-05-12 13:00:00","08121"
"Archuleta","Colorado","8","0","0","2020-05-12 13:00:00","08007"
"Rio Grande","Colorado","8","0","0","2020-05-12 13:00:00","08105"
"Moffat","Colorado","6","0","0","2020-05-12 13:00:00","08081"
"Ouray","Colorado","6","1","0","2020-05-12 13:00:00","08091"
"Cheyenne","Colorado","5","0","0","2020-05-12 13:00:00","08017"
"Grand","Colorado","5","0","0","2020-05-12 13:00:00","08049"
"Saguache","Colorado","5","0","0","2020-05-12 13:00:00","08109"
"Las Animas","Colorado","4","0","0","2020-05-12 13:00:00","08071"
"Lincoln","Colorado","4","0","0","2020-05-12 13:00:00","08073"
"Costilla","Colorado","3","0","0","2020-05-12 13:00:00","08023"
"Hinsdale","Colorado","3","0","0","2020-05-12 13:00:00","08053"
"Huerfano","Colorado","3","0","0","2020-05-12 13:00:00","08055"
"Custer","Colorado","2","0","0","2020-05-12 13:00:00","08027"
"Mineral","Colorado","2","0","0","2020-05-12 13:00:00","08079"
"Bent","Colorado","1","0","0","2020-05-12 13:00:00","08011"
"Conejos","Colorado","1","0","0","2020-05-12 13:00:00","08021"
"Gilpin","Colorado","1","0","0","2020-05-12 13:00:00","08047"
"Rio Blanco","Colorado","1","0","0","2020-05-12 13:00:00","08103"
"San Juan","Colorado","1","0","0","2020-05-12 13:00:00","08111"
