"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Miami-Dade","Florida","14167","490","0","2020-05-12 13:00:00","12086"
"Broward","Florida","5882","258","0","2020-05-12 13:00:00","12011"
"Palm Beach","Florida","3889","238","0","2020-05-12 13:00:00","12099"
"Orange","Florida","1512","35","0","2020-05-12 13:00:00","12095"
"Hillsborough","Florida","1448","38","0","2020-05-12 13:00:00","12057"
"Lee","Florida","1285","68","0","2020-05-12 13:00:00","12071"
"Duval","Florida","1171","29","0","2020-05-12 13:00:00","12031"
"Pinellas","Florida","876","61","0","2020-05-12 13:00:00","12103"
"Manatee","Florida","783","74","0","2020-05-12 13:00:00","12081"
"Collier","Florida","766","28","0","2020-05-12 13:00:00","12021"
"Polk","Florida","655","33","0","2020-05-12 13:00:00","12105"
"Escambia","Florida","641","18","0","2020-05-12 13:00:00","12033"
"Osceola","Florida","573","13","0","2020-05-12 13:00:00","12097"
"Volusia","Florida","551","29","0","2020-05-12 13:00:00","12127"
"Sarasota","Florida","430","57","0","2020-05-12 13:00:00","12115"
"Seminole","Florida","415","11","360","2020-05-12 13:00:00","12117"
"Charlotte","Florida","337","33","0","2020-05-12 13:00:00","12015"
"Brevard","Florida","330","9","0","2020-05-12 13:00:00","12009"
"Alachua","Florida","320","5","0","2020-05-12 13:00:00","12001"
"Clay","Florida","302","21","0","2020-05-12 13:00:00","12019"
"Pasco","Florida","300","9","0","2020-05-12 13:00:00","12101"
"St. Lucie","Florida","284","25","0","2020-05-12 13:00:00","12111"
"Martin","Florida","261","6","0","2020-05-12 13:00:00","12085"
"Leon","Florida","254","6","0","2020-05-12 13:00:00","12073"
"Sumter","Florida","244","14","0","2020-05-12 13:00:00","12119"
"Lake","Florida","243","14","0","2020-05-12 13:00:00","12069"
"St. Johns","Florida","222","4","0","2020-05-12 13:00:00","12109"
"Marion","Florida","211","5","0","2020-05-12 13:00:00","12083"
"Liberty","Florida","198","0","0","2020-05-12 13:00:00","12077"
"Santa Rosa","Florida","176","9","0","2020-05-12 13:00:00","12113"
"Okaloosa","Florida","169","5","0","2020-05-12 13:00:00","12091"
"Hendry","Florida","151","6","7","2020-05-12 13:00:00","12051"
"Flagler","Florida","147","4","0","2020-05-12 13:00:00","12035"
"Suwannee","Florida","146","18","0","2020-05-12 13:00:00","12121"
"Gadsden","Florida","130","0","0","2020-05-12 13:00:00","12039"
"Putnam","Florida","127","2","0","2020-05-12 13:00:00","12107"
"Citrus","Florida","106","11","0","2020-05-12 13:00:00","12017"
"Columbia","Florida","103","2","0","2020-05-12 13:00:00","12023"
"Hernando","Florida","101","5","0","2020-05-12 13:00:00","12053"
"Indian River","Florida","100","8","0","2020-05-12 13:00:00","12061"
"Highlands","Florida","99","8","0","2020-05-12 13:00:00","12055"
"Jackson","Florida","97","0","0","2020-05-12 13:00:00","12063"
"Monroe","Florida","92","3","0","2020-05-12 13:00:00","12087"
"Bay","Florida","76","3","0","2020-05-12 13:00:00","12005"
"Walton","Florida","65","2","0","2020-05-12 13:00:00","12131"
"Madison","Florida","61","3","0","2020-05-12 13:00:00","12079"
"Nassau","Florida","61","1","0","2020-05-12 13:00:00","12089"
"DeSoto","Florida","51","5","0","2020-05-12 13:00:00","12027"
"unknown","Florida","50","47","0","2020-05-12 13:00:00","undefined"
"Bradford","Florida","48","2","0","2020-05-12 13:00:00","12007"
"Hardee","Florida","36","0","0","2020-05-12 13:00:00","12049"
"Wakulla","Florida","29","1","0","2020-05-12 13:00:00","12129"
"Jefferson","Florida","28","2","0","2020-05-12 13:00:00","12065"
"Okeechobee","Florida","28","0","0","2020-05-12 13:00:00","12093"
"Calhoun","Florida","27","0","0","2020-05-12 13:00:00","12013"
"Baker","Florida","25","3","0","2020-05-12 13:00:00","12003"
"Levy","Florida","20","0","4","2020-05-12 13:00:00","12075"
"Hamilton","Florida","19","0","0","2020-05-12 13:00:00","12047"
"Dixie","Florida","13","0","0","2020-05-12 13:00:00","12029"
"Washington","Florida","12","0","0","2020-05-12 13:00:00","12133"
"Holmes","Florida","10","0","0","2020-05-12 13:00:00","12059"
"Glades","Florida","7","1","0","2020-05-12 13:00:00","12043"
"Union","Florida","7","0","0","2020-05-12 13:00:00","12125"
"Gilchrist","Florida","6","0","0","2020-05-12 13:00:00","12041"
"Lafayette","Florida","3","0","0","2020-05-12 13:00:00","12067"
"Taylor","Florida","3","0","0","2020-05-12 13:00:00","12123"
"Franklin","Florida","2","0","0","2020-05-12 13:00:00","12037"
"Gulf","Florida","1","0","0","2020-05-12 13:00:00","12045"
