"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Fulton","Georgia","3516","145","0","2020-05-12 13:00:00","13121"
"DeKalb","Georgia","2555","71","0","2020-05-12 13:00:00","13089"
"Gwinnett","Georgia","2475","92","0","2020-05-12 13:00:00","13135"
"Cobb","Georgia","2186","118","0","2020-05-12 13:00:00","13067"
"Hall","Georgia","2039","29","0","2020-05-12 13:00:00","13139"
"Dougherty","Georgia","1609","128","340","2020-05-12 13:00:00","13095"
"Non-Georgia Resident","Georgia","1554","24","0","2020-05-12 13:00:00","undefined"
"unknown","Georgia","1061","8","0","2020-05-12 13:00:00","undefined"
"Clayton","Georgia","944","34","0","2020-05-12 13:00:00","13063"
"Cherokee","Georgia","621","18","0","2020-05-12 13:00:00","13057"
"Henry","Georgia","610","14","0","2020-05-12 13:00:00","13151"
"Richmond","Georgia","449","16","0","2020-05-12 13:00:00","13245"
"Douglas","Georgia","417","12","0","2020-05-12 13:00:00","13097"
"Sumter","Georgia","400","33","0","2020-05-12 13:00:00","13261"
"Carroll","Georgia","395","18","0","2020-05-12 13:00:00","13045"
"Forsyth","Georgia","391","10","0","2020-05-12 13:00:00","13117"
"Habersham","Georgia","386","16","0","2020-05-12 13:00:00","13137"
"Bibb","Georgia","379","15","0","2020-05-12 13:00:00","13021"
"Muscogee","Georgia","377","14","0","2020-05-12 13:00:00","13215"
"Bartow","Georgia","364","33","0","2020-05-12 13:00:00","13015"
"Mitchell","Georgia","352","33","0","2020-05-12 13:00:00","13205"
"Lee","Georgia","340","22","0","2020-05-12 13:00:00","13177"
"Chatham","Georgia","311","13","0","2020-05-12 13:00:00","13051"
"Houston","Georgia","285","15","0","2020-05-12 13:00:00","13153"
"Coweta","Georgia","278","4","0","2020-05-12 13:00:00","13077"
"Baldwin","Georgia","275","13","0","2020-05-12 13:00:00","13009"
"Newton","Georgia","260","8","0","2020-05-12 13:00:00","13217"
"Upson","Georgia","250","24","0","2020-05-12 13:00:00","13293"
"Thomas","Georgia","249","26","0","2020-05-12 13:00:00","13275"
"Rockdale","Georgia","243","7","0","2020-05-12 13:00:00","13247"
"Spalding","Georgia","237","11","0","2020-05-12 13:00:00","13255"
"Early","Georgia","226","26","0","2020-05-12 13:00:00","13099"
"Paulding","Georgia","226","10","0","2020-05-12 13:00:00","13223"
"Colquitt","Georgia","210","10","0","2020-05-12 13:00:00","13071"
"Fayette","Georgia","201","12","0","2020-05-12 13:00:00","13113"
"Terrell","Georgia","197","23","0","2020-05-12 13:00:00","13273"
"Barrow","Georgia","195","6","0","2020-05-12 13:00:00","13013"
"Troup","Georgia","190","5","0","2020-05-12 13:00:00","13285"
"Butts","Georgia","189","17","0","2020-05-12 13:00:00","13035"
"Clarke","Georgia","188","13","0","2020-05-12 13:00:00","13059"
"Crisp","Georgia","185","7","0","2020-05-12 13:00:00","13081"
"Lowndes","Georgia","185","4","0","2020-05-12 13:00:00","13185"
"Columbia","Georgia","183","5","0","2020-05-12 13:00:00","13073"
"Worth","Georgia","183","13","0","2020-05-12 13:00:00","13321"
"Coffee","Georgia","177","10","0","2020-05-12 13:00:00","13069"
"Randolph","Georgia","168","21","0","2020-05-12 13:00:00","13243"
"Ware","Georgia","165","13","0","2020-05-12 13:00:00","13299"
"Floyd","Georgia","158","12","0","2020-05-12 13:00:00","13115"
"Tift","Georgia","157","6","0","2020-05-12 13:00:00","13277"
"Whitfield","Georgia","157","6","0","2020-05-12 13:00:00","13313"
"Walton","Georgia","152","7","0","2020-05-12 13:00:00","13297"
"Dooly","Georgia","146","12","0","2020-05-12 13:00:00","13093"
"Hancock","Georgia","128","3","0","2020-05-12 13:00:00","13141"
"Gordon","Georgia","124","16","0","2020-05-12 13:00:00","13129"
"Jackson","Georgia","124","3","0","2020-05-12 13:00:00","13157"
"Calhoun","Georgia","117","5","0","2020-05-12 13:00:00","13037"
"Burke","Georgia","109","4","0","2020-05-12 13:00:00","13033"
"Decatur","Georgia","109","3","0","2020-05-12 13:00:00","13087"
"Gilmer","Georgia","98","0","0","2020-05-12 13:00:00","13123"
"Wilcox","Georgia","95","12","0","2020-05-12 13:00:00","13315"
"Appling","Georgia","93","10","0","2020-05-12 13:00:00","13001"
"Stephens","Georgia","92","1","0","2020-05-12 13:00:00","13257"
"White","Georgia","88","1","0","2020-05-12 13:00:00","13311"
"Macon","Georgia","84","5","0","2020-05-12 13:00:00","13193"
"Grady","Georgia","83","4","0","2020-05-12 13:00:00","13131"
"Laurens","Georgia","82","1","0","2020-05-12 13:00:00","13175"
"Dawson","Georgia","81","1","0","2020-05-12 13:00:00","13085"
"Turner","Georgia","78","12","0","2020-05-12 13:00:00","13287"
"Lumpkin","Georgia","76","2","0","2020-05-12 13:00:00","13187"
