"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Ada","Idaho","739","21","0","2020-05-12 13:00:00","16001"
"Blaine","Idaho","506","5","0","2020-05-12 13:00:00","16013"
"Canyon","Idaho","274","7","0","2020-05-12 13:00:00","16027"
"Twin Falls","Idaho","269","11","0","2020-05-12 13:00:00","16083"
"Nez Perce","Idaho","78","19","0","2020-05-12 13:00:00","16069"
"Jerome","Idaho","75","2","0","2020-05-12 13:00:00","16053"
"Kootenai","Idaho","64","0","0","2020-05-12 13:00:00","16055"
"Elmore","Idaho","31","2","0","2020-05-12 13:00:00","16039"
"Bonneville","Idaho","30","0","0","2020-05-12 13:00:00","16019"
"Lincoln","Idaho","29","0","0","2020-05-12 13:00:00","16063"
"Gooding","Idaho","18","0","0","2020-05-12 13:00:00","16047"
"Madison","Idaho","18","0","0","2020-05-12 13:00:00","16065"
"unknown","Idaho","18","0","1442","2020-05-12 13:00:00","undefined"
"Payette","Idaho","17","2","0","2020-05-12 13:00:00","16075"
"Gem","Idaho","16","0","0","2020-05-12 13:00:00","16045"
"Cassia","Idaho","15","1","0","2020-05-12 13:00:00","16031"
"Bannock","Idaho","13","0","0","2020-05-12 13:00:00","16005"
"Minidoka","Idaho","11","0","0","2020-05-12 13:00:00","16067"
"Teton","Idaho","11","0","0","2020-05-12 13:00:00","16081"
"Owyhee","Idaho","8","0","0","2020-05-12 13:00:00","16073"
"Jefferson","Idaho","5","0","0","2020-05-12 13:00:00","16051"
"Latah","Idaho","5","0","0","2020-05-12 13:00:00","16057"
"Bingham","Idaho","4","0","0","2020-05-12 13:00:00","16011"
"Bonner","Idaho","4","0","0","2020-05-12 13:00:00","16017"
"Adams","Idaho","3","0","0","2020-05-12 13:00:00","16003"
"Fremont","Idaho","3","0","0","2020-05-12 13:00:00","16043"
"Idaho","Idaho","3","0","0","2020-05-12 13:00:00","16049"
"Custer","Idaho","2","0","0","2020-05-12 13:00:00","16037"
"Power","Idaho","2","0","0","2020-05-12 13:00:00","16077"
"Valley","Idaho","2","0","0","2020-05-12 13:00:00","16085"
"Washington","Idaho","2","0","0","2020-05-12 13:00:00","16087"
"Camas","Idaho","1","0","0","2020-05-12 13:00:00","16025"
"Caribou","Idaho","1","0","0","2020-05-12 13:00:00","16029"
"Lemhi","Idaho","1","0","0","2020-05-12 13:00:00","16059"
