"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Cook","Illinois","53381","2361","2","2020-05-12 13:00:00","17031"
"Lake","Illinois","5323","173","0","2020-05-12 13:00:00","17097"
"DuPage","Illinois","4745","251","100","2020-05-12 13:00:00","17043"
"Will","Illinois","3740","202","0","2020-05-12 13:00:00","17197"
"Kane","Illinois","3126","90","0","2020-05-12 13:00:00","17089"
"McHenry","Illinois","958","52","0","2020-05-12 13:00:00","17111"
"Winnebago","Illinois","932","25","206","2020-05-12 13:00:00","17201"
"St. Clair","Illinois","719","52","0","2020-05-12 13:00:00","17163"
"Kankakee","Illinois","557","30","130","2020-05-12 13:00:00","17091"
"Rock Island","Illinois","517","16","0","2020-05-12 13:00:00","17161"
"Madison","Illinois","435","31","121","2020-05-12 13:00:00","17119"
"Kendall","Illinois","431","12","221","2020-05-12 13:00:00","17093"
"unknown","Illinois","378","3","0","2020-05-12 13:00:00","undefined"
"Champaign","Illinois","279","6","146","2020-05-12 13:00:00","17019"
"Sangamon","Illinois","262","19","64","2020-05-12 13:00:00","17167"
"Randolph","Illinois","221","2","129","2020-05-12 13:00:00","17157"
"Boone","Illinois","206","12","0","2020-05-12 13:00:00","17007"
"DeKalb","Illinois","183","2","68","2020-05-12 13:00:00","17037"
"Jackson","Illinois","166","10","14","2020-05-12 13:00:00","17077"
"Ogle","Illinois","149","1","0","2020-05-12 13:00:00","17141"
"Macon","Illinois","146","15","0","2020-05-12 13:00:00","17115"
"Peoria","Illinois","141","5","80","2020-05-12 13:00:00","17143"
"Clinton","Illinois","127","10","32","2020-05-12 13:00:00","17027"
"McLean","Illinois","121","3","87","2020-05-12 13:00:00","17113"
"LaSalle","Illinois","105","5","43","2020-05-12 13:00:00","17099"
"Warren","Illinois","104","0","0","2020-05-12 13:00:00","17187"
"Whiteside","Illinois","104","6","10","2020-05-12 13:00:00","17195"
"Stephenson","Illinois","99","0","5","2020-05-12 13:00:00","17177"
"Iroquois","Illinois","98","2","0","2020-05-12 13:00:00","17075"
"Jefferson","Illinois","94","15","0","2020-05-12 13:00:00","17081"
"Out of state","Illinois","84","4","0","2020-05-12 13:00:00","undefined"
"Monroe","Illinois","79","11","0","2020-05-12 13:00:00","17133"
"Knox","Illinois","75","0","0","2020-05-12 13:00:00","17095"
"Lee","Illinois","63","0","3","2020-05-12 13:00:00","17103"
"Union","Illinois","63","1","0","2020-05-12 13:00:00","17181"
"Grundy","Illinois","60","1","0","2020-05-12 13:00:00","17063"
"Tazewell","Illinois","59","4","0","2020-05-12 13:00:00","17179"
"Henry","Illinois","58","0","0","2020-05-12 13:00:00","17073"
"Cass","Illinois","56","0","0","2020-05-12 13:00:00","17017"
"McDonough","Illinois","49","2","0","2020-05-12 13:00:00","17109"
"Marion","Illinois","47","0","0","2020-05-12 13:00:00","17121"
"Jasper","Illinois","46","6","0","2020-05-12 13:00:00","17079"
"Williamson","Illinois","44","1","6","2020-05-12 13:00:00","17199"
"Adams","Illinois","41","1","5","2020-05-12 13:00:00","17001"
"Coles","Illinois","41","2","0","2020-05-12 13:00:00","17029"
"Macoupin","Illinois","39","1","28","2020-05-12 13:00:00","17117"
"Perry","Illinois","38","0","0","2020-05-12 13:00:00","17145"
"Montgomery","Illinois","34","1","0","2020-05-12 13:00:00","17135"
"Morgan","Illinois","30","1","0","2020-05-12 13:00:00","17137"
"Christian","Illinois","29","4","0","2020-05-12 13:00:00","17021"
"Pulaski","Illinois","27","0","0","2020-05-12 13:00:00","17153"
"Vermilion","Illinois","25","1","0","2020-05-12 13:00:00","17183"
"Livingston","Illinois","24","1","0","2020-05-12 13:00:00","17105"
"Douglas","Illinois","20","0","0","2020-05-12 13:00:00","17041"
"Jo Daviess","Illinois","18","0","0","2020-05-12 13:00:00","17085"
"Fayette","Illinois","17","2","0","2020-05-12 13:00:00","17051"
"Jersey","Illinois","17","1","5","2020-05-12 13:00:00","17083"
"Menard","Illinois","17","0","0","2020-05-12 13:00:00","17129"
"Washington","Illinois","17","0","2","2020-05-12 13:00:00","17189"
"Mason","Illinois","15","0","0","2020-05-12 13:00:00","17125"
"Woodford","Illinois","15","1","0","2020-05-12 13:00:00","17203"
"Bureau","Illinois","14","1","0","2020-05-12 13:00:00","17011"
"Ford","Illinois","14","1","0","2020-05-12 13:00:00","17053"
"Hancock","Illinois","12","0","0","2020-05-12 13:00:00","17067"
"Mercer","Illinois","12","0","0","2020-05-12 13:00:00","17131"
"Carroll","Illinois","11","2","0","2020-05-12 13:00:00","17015"
"Crawford","Illinois","10","0","0","2020-05-12 13:00:00","17033"
"Franklin","Illinois","10","0","0","2020-05-12 13:00:00","17055"
"Shelby","Illinois","10","1","0","2020-05-12 13:00:00","17173"
"Bond","Illinois","9","1","2","2020-05-12 13:00:00","17005"
"Brown","Illinois","9","0","0","2020-05-12 13:00:00","17009"
"Logan","Illinois","9","0","2","2020-05-12 13:00:00","17107"
"Clark","Illinois","8","0","0","2020-05-12 13:00:00","17023"
"Alexander","Illinois","7","0","0","2020-05-12 13:00:00","17003"
"Piatt","Illinois","7","0","2","2020-05-12 13:00:00","17147"
"Schuyler","Illinois","7","0","0","2020-05-12 13:00:00","17169"
"Effingham","Illinois","6","1","0","2020-05-12 13:00:00","17049"
"Henderson","Illinois","6","0","0","2020-05-12 13:00:00","17071"
"Massac","Illinois","6","0","2","2020-05-12 13:00:00","17127"
"Moultrie","Illinois","6","0","0","2020-05-12 13:00:00","17139"
"Saline","Illinois","5","0","1","2020-05-12 13:00:00","17165"
"Cumberland","Illinois","4","0","0","2020-05-12 13:00:00","17035"
"Greene","Illinois","4","0","0","2020-05-12 13:00:00","17061"
"Johnson","Illinois","4","0","0","2020-05-12 13:00:00","17087"
"Lawrence","Illinois","4","0","0","2020-05-12 13:00:00","17101"
"Marshall","Illinois","4","0","0","2020-05-12 13:00:00","17123"
"De Witt","Illinois","3","0","1","2020-05-12 13:00:00","17039"
"Fulton","Illinois","3","0","0","2020-05-12 13:00:00","17057"
"Hamilton","Illinois","3","0","0","2020-05-12 13:00:00","17065"
"Richland","Illinois","3","0","0","2020-05-12 13:00:00","17159"
"Wayne","Illinois","3","0","0","2020-05-12 13:00:00","17191"
"Clay","Illinois","2","0","0","2020-05-12 13:00:00","17025"
