"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Marion","Indiana","7510","423","0","2020-05-12 13:00:00","18097"
"Lake","Indiana","2493","125","0","2020-05-12 13:00:00","18089"
"Cass","Indiana","1524","3","0","2020-05-12 13:00:00","18017"
"Hendricks","Indiana","973","54","0","2020-05-12 13:00:00","18063"
"Hamilton","Indiana","936","82","0","2020-05-12 13:00:00","18057"
"Allen","Indiana","834","59","0","2020-05-12 13:00:00","18003"
"St. Joseph","Indiana","829","26","0","2020-05-12 13:00:00","18141"
"Johnson","Indiana","827","90","3","2020-05-12 13:00:00","18081"
"Madison","Indiana","509","57","0","2020-05-12 13:00:00","18095"
"Elkhart","Indiana","494","18","0","2020-05-12 13:00:00","18039"
"Clark","Indiana","380","25","0","2020-05-12 13:00:00","18019"
"Bartholomew","Indiana","360","26","0","2020-05-12 13:00:00","18005"
"Porter","Indiana","331","9","196","2020-05-12 13:00:00","18127"
"LaPorte","Indiana","329","12","0","2020-05-12 13:00:00","18091"
"Jackson","Indiana","282","1","0","2020-05-12 13:00:00","18071"
"Shelby","Indiana","272","16","0","2020-05-12 13:00:00","18145"
"Hancock","Indiana","270","19","0","2020-05-12 13:00:00","18059"
"Howard","Indiana","256","9","0","2020-05-12 13:00:00","18067"
"Tippecanoe","Indiana","244","2","0","2020-05-12 13:00:00","18157"
"Floyd","Indiana","232","29","0","2020-05-12 13:00:00","18043"
"Delaware","Indiana","229","19","0","2020-05-12 13:00:00","18035"
"Boone","Indiana","226","31","0","2020-05-12 13:00:00","18011"
"Decatur","Indiana","215","29","0","2020-05-12 13:00:00","18031"
"Morgan","Indiana","208","8","0","2020-05-12 13:00:00","18109"
"Vanderburgh","Indiana","189","2","55","2020-05-12 13:00:00","18163"
"Harrison","Indiana","160","12","0","2020-05-12 13:00:00","18061"
"Grant","Indiana","153","16","0","2020-05-12 13:00:00","18053"
"White","Indiana","152","1","0","2020-05-12 13:00:00","18181"
"Dearborn","Indiana","151","13","0","2020-05-12 13:00:00","18029"
"Greene","Indiana","147","14","0","2020-05-12 13:00:00","18055"
"Monroe","Indiana","145","9","0","2020-05-12 13:00:00","18105"
"Montgomery","Indiana","140","5","0","2020-05-12 13:00:00","18107"
"Noble","Indiana","135","15","0","2020-05-12 13:00:00","18113"
"unknown","Indiana","128","129","1384","2020-05-12 13:00:00","undefined"
"Miami","Indiana","126","1","0","2020-05-12 13:00:00","18103"
"Warrick","Indiana","123","20","0","2020-05-12 13:00:00","18173"
"Lawrence","Indiana","120","16","0","2020-05-12 13:00:00","18093"
"Orange","Indiana","113","18","0","2020-05-12 13:00:00","18117"
"Franklin","Indiana","106","7","53","2020-05-12 13:00:00","18047"
"Ripley","Indiana","101","6","0","2020-05-12 13:00:00","18137"
"Clinton","Indiana","96","1","0","2020-05-12 13:00:00","18023"
"Jennings","Indiana","96","3","0","2020-05-12 13:00:00","18079"
"Putnam","Indiana","89","5","0","2020-05-12 13:00:00","18133"
"Henry","Indiana","85","2","0","2020-05-12 13:00:00","18065"
"Vigo","Indiana","83","6","0","2020-05-12 13:00:00","18167"
"Scott","Indiana","81","2","0","2020-05-12 13:00:00","18143"
"Carroll","Indiana","71","2","0","2020-05-12 13:00:00","18015"
"Newton","Indiana","64","8","0","2020-05-12 13:00:00","18111"
"Wabash","Indiana","64","2","0","2020-05-12 13:00:00","18169"
"Steuben","Indiana","62","2","0","2020-05-12 13:00:00","18151"
"Daviess","Indiana","54","15","0","2020-05-12 13:00:00","18027"
"Wayne","Indiana","53","5","0","2020-05-12 13:00:00","18177"
"Washington","Indiana","48","1","0","2020-05-12 13:00:00","18175"
"Dubois","Indiana","46","0","0","2020-05-12 13:00:00","18037"
"Kosciusko","Indiana","45","1","0","2020-05-12 13:00:00","18085"
"Jasper","Indiana","40","1","0","2020-05-12 13:00:00","18073"
"Fayette","Indiana","38","4","0","2020-05-12 13:00:00","18041"
"LaGrange","Indiana","38","2","0","2020-05-12 13:00:00","18087"
"Rush","Indiana","37","2","0","2020-05-12 13:00:00","18139"
"Fulton","Indiana","36","1","0","2020-05-12 13:00:00","18049"
"Jefferson","Indiana","35","0","0","2020-05-12 13:00:00","18077"
"Marshall","Indiana","34","1","0","2020-05-12 13:00:00","18099"
