"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Polk","Iowa","2368","61","0","2020-05-12 13:00:00","19153"
"Woodbury","Iowa","1676","9","3","2020-05-12 13:00:00","19193"
"Black Hawk","Iowa","1512","25","0","2020-05-12 13:00:00","19013"
"Linn","Iowa","841","59","0","2020-05-12 13:00:00","19113"
"Marshall","Iowa","734","3","0","2020-05-12 13:00:00","19127"
"Dallas","Iowa","701","6","0","2020-05-12 13:00:00","19049"
"Johnson","Iowa","555","7","0","2020-05-12 13:00:00","19103"
"Muscatine","Iowa","495","23","0","2020-05-12 13:00:00","19139"
"Tama","Iowa","336","13","0","2020-05-12 13:00:00","19171"
"Scott","Iowa","286","8","0","2020-05-12 13:00:00","19163"
"Louisa","Iowa","285","3","0","2020-05-12 13:00:00","19115"
"Wapello","Iowa","259","0","0","2020-05-12 13:00:00","19179"
"Jasper","Iowa","238","8","0","2020-05-12 13:00:00","19099"
"Dubuque","Iowa","197","7","0","2020-05-12 13:00:00","19061"
"Crawford","Iowa","191","1","0","2020-05-12 13:00:00","19047"
"Washington","Iowa","162","7","0","2020-05-12 13:00:00","19183"
"unknown","Iowa","124","6","5246","2020-05-12 13:00:00","undefined"
"Allamakee","Iowa","112","4","0","2020-05-12 13:00:00","19005"
"Sioux","Iowa","93","0","0","2020-05-12 13:00:00","19167"
"Pottawattamie","Iowa","86","2","0","2020-05-12 13:00:00","19155"
"Poweshiek","Iowa","81","5","0","2020-05-12 13:00:00","19157"
"Plymouth","Iowa","62","0","0","2020-05-12 13:00:00","19149"
"Story","Iowa","61","1","0","2020-05-12 13:00:00","19169"
"Bremer","Iowa","58","5","0","2020-05-12 13:00:00","19017"
"Clinton","Iowa","58","1","0","2020-05-12 13:00:00","19045"
"Warren","Iowa","44","0","0","2020-05-12 13:00:00","19181"
"Cedar","Iowa","43","1","0","2020-05-12 13:00:00","19031"
"Henry","Iowa","43","1","0","2020-05-12 13:00:00","19087"
"Des Moines","Iowa","40","1","0","2020-05-12 13:00:00","19057"
"Buena Vista","Iowa","39","0","0","2020-05-12 13:00:00","19021"
"Boone","Iowa","36","0","0","2020-05-12 13:00:00","19015"
"Benton","Iowa","35","1","0","2020-05-12 13:00:00","19011"
"Guthrie","Iowa","35","0","0","2020-05-12 13:00:00","19077"
"Jones","Iowa","34","0","0","2020-05-12 13:00:00","19105"
"Iowa","Iowa","27","0","0","2020-05-12 13:00:00","19095"
"Fayette","Iowa","24","0","0","2020-05-12 13:00:00","19065"
"Buchanan","Iowa","23","0","0","2020-05-12 13:00:00","19019"
"Clayton","Iowa","23","2","0","2020-05-12 13:00:00","19043"
"Mahaska","Iowa","20","1","0","2020-05-12 13:00:00","19123"
"Osceola","Iowa","20","0","0","2020-05-12 13:00:00","19143"
"Shelby","Iowa","19","0","0","2020-05-12 13:00:00","19165"
"Lee","Iowa","18","0","0","2020-05-12 13:00:00","19111"
"Winneshiek","Iowa","18","0","0","2020-05-12 13:00:00","19191"
"Harrison","Iowa","17","0","0","2020-05-12 13:00:00","19085"
"Lyon","Iowa","16","0","0","2020-05-12 13:00:00","19119"
"Obrien","Iowa","16","0","0","2020-05-12 13:00:00","undefined"
"Grundy","Iowa","15","0","0","2020-05-12 13:00:00","19075"
"Cerro Gordo","Iowa","14","0","0","2020-05-12 13:00:00","19033"
"Marion","Iowa","14","0","0","2020-05-12 13:00:00","19125"
"Greene","Iowa","13","0","0","2020-05-12 13:00:00","19073"
