"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Ford","Kansas","1132","7","0","2020-05-12 13:00:00","20057"
"Wyandotte","Kansas","1086","65","205","2020-05-12 13:00:00","20209"
"Finney","Kansas","992","4","8","2020-05-12 13:00:00","20055"
"Leavenworth","Kansas","937","6","89","2020-05-12 13:00:00","20103"
"Seward","Kansas","707","0","326","2020-05-12 13:00:00","20175"
"Johnson","Kansas","604","52","0","2020-05-12 13:00:00","20091"
"Sedgwick","Kansas","469","19","291","2020-05-12 13:00:00","20173"
"Lyon","Kansas","303","2","231","2020-05-12 13:00:00","20111"
"Shawnee","Kansas","166","5","102","2020-05-12 13:00:00","20177"
"Riley","Kansas","58","0","46","2020-05-12 13:00:00","20161"
"Douglas","Kansas","57","0","45","2020-05-12 13:00:00","20045"
"Coffey","Kansas","50","8","39","2020-05-12 13:00:00","20031"
"Reno","Kansas","41","0","38","2020-05-12 13:00:00","20155"
"Kearny","Kansas","31","0","14","2020-05-12 13:00:00","20093"
"Wabaunsee","Kansas","27","0","4","2020-05-12 13:00:00","20197"
"Franklin","Kansas","26","0","13","2020-05-12 13:00:00","20059"
"McPherson","Kansas","26","0","17","2020-05-12 13:00:00","20113"
"Barton","Kansas","22","1","0","2020-05-12 13:00:00","20009"
"Labette","Kansas","22","0","22","2020-05-12 13:00:00","20099"
"Meade","Kansas","22","0","3","2020-05-12 13:00:00","20119"
"Montgomery","Kansas","21","2","13","2020-05-12 13:00:00","20125"
"Saline","Kansas","21","2","0","2020-05-12 13:00:00","20169"
"Clark","Kansas","19","1","0","2020-05-12 13:00:00","20025"
"Pottawatomie","Kansas","19","0","12","2020-05-12 13:00:00","20149"
"Stevens","Kansas","18","0","8","2020-05-12 13:00:00","20189"
"Haskell","Kansas","16","0","7","2020-05-12 13:00:00","20081"
"Atchison","Kansas","14","0","11","2020-05-12 13:00:00","20005"
"Butler","Kansas","14","0","13","2020-05-12 13:00:00","20015"
"Geary","Kansas","14","0","9","2020-05-12 13:00:00","20061"
"Jefferson","Kansas","13","0","7","2020-05-12 13:00:00","20087"
"Grant","Kansas","11","0","0","2020-05-12 13:00:00","20067"
"Harvey","Kansas","9","0","6","2020-05-12 13:00:00","20079"
"Stanton","Kansas","9","0","4","2020-05-12 13:00:00","20187"
"Cherokee","Kansas","8","0","8","2020-05-12 13:00:00","20021"
"Crawford","Kansas","8","1","6","2020-05-12 13:00:00","20037"
"Doniphan","Kansas","8","0","3","2020-05-12 13:00:00","20043"
"Ellis","Kansas","8","0","8","2020-05-12 13:00:00","20051"
"Gray","Kansas","8","0","6","2020-05-12 13:00:00","20069"
"Hamilton","Kansas","8","0","0","2020-05-12 13:00:00","20075"
"Bourbon","Kansas","6","1","5","2020-05-12 13:00:00","20011"
"Linn","Kansas","6","0","6","2020-05-12 13:00:00","20107"
"Miami","Kansas","6","0","5","2020-05-12 13:00:00","20121"
"Osage","Kansas","6","0","5","2020-05-12 13:00:00","20139"
"Rooks","Kansas","6","0","0","2020-05-12 13:00:00","20163"
