"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Jefferson","Kentucky","1691","112","0","2020-05-12 13:00:00","21111"
"Warren","Kentucky","573","2","0","2020-05-12 13:00:00","21227"
"Muhlenberg","Kentucky","457","6","0","2020-05-12 13:00:00","21177"
"Kenton","Kentucky","401","26","0","2020-05-12 13:00:00","21117"
"Fayette","Kentucky","392","9","132","2020-05-12 13:00:00","21067"
"Daviess","Kentucky","270","4","39","2020-05-12 13:00:00","21059"
"Boone","Kentucky","232","4","0","2020-05-12 13:00:00","21015"
"Hopkins","Kentucky","214","26","0","2020-05-12 13:00:00","21107"
"Butler","Kentucky","201","6","0","2020-05-12 13:00:00","21031"
"Graves","Kentucky","149","18","0","2020-05-12 13:00:00","21083"
"unknown","Kentucky","123","28","2146","2020-05-12 13:00:00","undefined"
"Campbell","Kentucky","118","9","0","2020-05-12 13:00:00","21037"
"Grayson","Kentucky","98","6","0","2020-05-12 13:00:00","21085"
"Christian","Kentucky","95","3","0","2020-05-12 13:00:00","21047"
"Adair","Kentucky","88","13","0","2020-05-12 13:00:00","21001"
"Bullitt","Kentucky","83","4","0","2020-05-12 13:00:00","21029"
"Henderson","Kentucky","80","3","10","2020-05-12 13:00:00","21101"
"McCracken","Kentucky","72","2","0","2020-05-12 13:00:00","21145"
"Ohio","Kentucky","72","0","2","2020-05-12 13:00:00","21183"
"Hardin","Kentucky","61","2","0","2020-05-12 13:00:00","21093"
"Jackson","Kentucky","60","12","0","2020-05-12 13:00:00","21109"
"Logan","Kentucky","57","1","0","2020-05-12 13:00:00","21141"
"Shelby","Kentucky","52","3","0","2020-05-12 13:00:00","21211"
"Jessamine","Kentucky","47","0","0","2020-05-12 13:00:00","21113"
"Edmonson","Kentucky","45","6","0","2020-05-12 13:00:00","21061"
"Pulaski","Kentucky","44","2","0","2020-05-12 13:00:00","21199"
"Calloway","Kentucky","40","1","0","2020-05-12 13:00:00","21035"
"Oldham","Kentucky","37","0","0","2020-05-12 13:00:00","21185"
"Madison","Kentucky","34","1","0","2020-05-12 13:00:00","21151"
"Marshall","Kentucky","34","1","0","2020-05-12 13:00:00","21157"
"Boyd","Kentucky","33","3","0","2020-05-12 13:00:00","21019"
"Scott","Kentucky","32","0","0","2020-05-12 13:00:00","21209"
"Simpson","Kentucky","32","2","0","2020-05-12 13:00:00","21213"
"Grant","Kentucky","31","3","0","2020-05-12 13:00:00","21081"
"Nelson","Kentucky","31","0","0","2020-05-12 13:00:00","21179"
"Allen","Kentucky","29","1","0","2020-05-12 13:00:00","21003"
"Webster","Kentucky","29","0","0","2020-05-12 13:00:00","21233"
"Barren","Kentucky","28","0","0","2020-05-12 13:00:00","21009"
"Clark","Kentucky","21","0","0","2020-05-12 13:00:00","21049"
"Laurel","Kentucky","21","2","0","2020-05-12 13:00:00","21125"
"Harrison","Kentucky","19","0","0","2020-05-12 13:00:00","21097"
"Meade","Kentucky","18","2","0","2020-05-12 13:00:00","21163"
"Russell","Kentucky","18","4","0","2020-05-12 13:00:00","21207"
"Woodford","Kentucky","18","0","0","2020-05-12 13:00:00","21239"
"Boyle","Kentucky","17","0","0","2020-05-12 13:00:00","21021"
"Franklin","Kentucky","17","0","0","2020-05-12 13:00:00","21073"
"Marion","Kentucky","17","0","0","2020-05-12 13:00:00","21155"
"McLean","Kentucky","17","1","2","2020-05-12 13:00:00","21149"
"Spencer","Kentucky","17","0","0","2020-05-12 13:00:00","21215"
"Perry","Kentucky","16","0","0","2020-05-12 13:00:00","21193"
"Floyd","Kentucky","15","0","0","2020-05-12 13:00:00","21071"
"Pike","Kentucky","15","2","0","2020-05-12 13:00:00","21195"
"Todd","Kentucky","15","0","0","2020-05-12 13:00:00","21219"
"Lyon","Kentucky","14","3","0","2020-05-12 13:00:00","21143"
"Breckinridge","Kentucky","13","0","0","2020-05-12 13:00:00","21027"
"Caldwell","Kentucky","13","0","0","2020-05-12 13:00:00","21033"
"Greenup","Kentucky","13","0","0","2020-05-12 13:00:00","21089"
"McCreary","Kentucky","13","0","0","2020-05-12 13:00:00","21147"
"Rockcastle","Kentucky","13","0","0","2020-05-12 13:00:00","21203"
"Whitley","Kentucky","12","0","0","2020-05-12 13:00:00","21235"
"Mercer","Kentucky","11","0","0","2020-05-12 13:00:00","21167"
"Montgomery","Kentucky","11","0","1","2020-05-12 13:00:00","21173"
"Henry","Kentucky","10","0","0","2020-05-12 13:00:00","21103"
"Union","Kentucky","10","0","2","2020-05-12 13:00:00","21225"
"Anderson","Kentucky","9","1","0","2020-05-12 13:00:00","21005"
"Bracken","Kentucky","9","0","0","2020-05-12 13:00:00","21023"
"Taylor","Kentucky","9","0","0","2020-05-12 13:00:00","21217"
"Trigg","Kentucky","9","0","0","2020-05-12 13:00:00","21221"
"Wayne","Kentucky","9","0","0","2020-05-12 13:00:00","21231"
"Ballard","Kentucky","8","0","0","2020-05-12 13:00:00","21007"
"Bourbon","Kentucky","8","1","0","2020-05-12 13:00:00","21017"
"Hart","Kentucky","8","0","0","2020-05-12 13:00:00","21099"
"Knox","Kentucky","7","0","0","2020-05-12 13:00:00","21121"
"Mason","Kentucky","7","0","0","2020-05-12 13:00:00","21161"
"Bath","Kentucky","6","1","0","2020-05-12 13:00:00","21011"
"Carter","Kentucky","6","0","0","2020-05-12 13:00:00","21043"
"Hancock","Kentucky","6","0","1","2020-05-12 13:00:00","21091"
