"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Jefferson","Louisiana","6755","402","0","2020-05-12 13:00:00","22051"
"Orleans","Louisiana","6693","470","0","2020-05-12 13:00:00","22071"
"East Baton Rouge","Louisiana","2398","188","0","2020-05-12 13:00:00","22033"
"Caddo","Louisiana","1765","132","0","2020-05-12 13:00:00","22017"
"St. Tammany","Louisiana","1463","136","0","2020-05-12 13:00:00","22103"
"Ouachita","Louisiana","842","25","0","2020-05-12 13:00:00","22073"
"St. John the Baptist","Louisiana","801","77","0","2020-05-12 13:00:00","22095"
"Lafourche","Louisiana","713","59","0","2020-05-12 13:00:00","22057"
"Ascension","Louisiana","695","48","0","2020-05-12 13:00:00","22005"
"Tangipahoa","Louisiana","670","28","0","2020-05-12 13:00:00","22105"
"St. Charles","Louisiana","595","43","0","2020-05-12 13:00:00","22089"
"Terrebonne","Louisiana","528","39","0","2020-05-12 13:00:00","22109"
"St. Bernard","Louisiana","514","20","0","2020-05-12 13:00:00","22087"
"Lafayette","Louisiana","508","22","0","2020-05-12 13:00:00","22055"
"Iberville","Louisiana","501","36","0","2020-05-12 13:00:00","22047"
"Calcasieu","Louisiana","496","37","0","2020-05-12 13:00:00","22019"
"Rapides","Louisiana","370","13","0","2020-05-12 13:00:00","22079"
"Washington","Louisiana","342","26","0","2020-05-12 13:00:00","22117"
"Bossier","Louisiana","312","21","0","2020-05-12 13:00:00","22015"
"Iberia","Louisiana","286","26","0","2020-05-12 13:00:00","22045"
"Livingston","Louisiana","281","24","0","2020-05-12 13:00:00","22063"
"St. Martin","Louisiana","260","21","0","2020-05-12 13:00:00","22099"
"St. James","Louisiana","256","20","0","2020-05-12 13:00:00","22093"
"St. Mary","Louisiana","250","26","0","2020-05-12 13:00:00","22101"
"Assumption","Louisiana","228","11","0","2020-05-12 13:00:00","22007"
"De Soto","Louisiana","215","14","0","2020-05-12 13:00:00","22031"
"St. Landry","Louisiana","214","50","0","2020-05-12 13:00:00","22097"
"Franklin","Louisiana","208","4","0","2020-05-12 13:00:00","22041"
"Plaquemines","Louisiana","190","17","0","2020-05-12 13:00:00","22075"
"West Feliciana","Louisiana","184","6","0","2020-05-12 13:00:00","22125"
"Union","Louisiana","169","10","0","2020-05-12 13:00:00","22111"
"Acadia","Louisiana","152","11","0","2020-05-12 13:00:00","22001"
"East Feliciana","Louisiana","136","20","0","2020-05-12 13:00:00","22037"
"Pointe Coupee","Louisiana","136","17","0","2020-05-12 13:00:00","22077"
"West Baton Rouge","Louisiana","123","29","0","2020-05-12 13:00:00","22121"
"Lincoln","Louisiana","107","11","0","2020-05-12 13:00:00","22061"
"Richland","Louisiana","103","1","0","2020-05-12 13:00:00","22083"
"Natchitoches","Louisiana","100","9","0","2020-05-12 13:00:00","22069"
"Webster","Louisiana","100","4","0","2020-05-12 13:00:00","22119"
"Allen","Louisiana","90","9","0","2020-05-12 13:00:00","22003"
"Catahoula","Louisiana","85","3","0","2020-05-12 13:00:00","22025"
"Bienville","Louisiana","77","20","0","2020-05-12 13:00:00","22013"
"Avoyelles","Louisiana","75","7","0","2020-05-12 13:00:00","22009"
"Jefferson Davis","Louisiana","68","6","0","2020-05-12 13:00:00","22053"
"Evangeline","Louisiana","67","1","0","2020-05-12 13:00:00","22039"
"Jackson","Louisiana","67","5","0","2020-05-12 13:00:00","22049"
"Morehouse","Louisiana","65","5","0","2020-05-12 13:00:00","22067"
"unknown","Louisiana","64","74","22608","2020-05-12 13:00:00","undefined"
"Claiborne","Louisiana","59","9","0","2020-05-12 13:00:00","22027"
"Winn","Louisiana","52","2","0","2020-05-12 13:00:00","22127"
"Caldwell","Louisiana","48","0","0","2020-05-12 13:00:00","22021"
"Beauregard","Louisiana","46","4","0","2020-05-12 13:00:00","22011"
"Concordia","Louisiana","43","4","0","2020-05-12 13:00:00","22029"
"Vermilion","Louisiana","41","2","0","2020-05-12 13:00:00","22113"
"Red River","Louisiana","36","6","0","2020-05-12 13:00:00","22081"
"St. Helena","Louisiana","35","1","0","2020-05-12 13:00:00","22091"
"La Salle","Louisiana","33","0","0","2020-05-12 13:00:00","undefined"
"East Carroll","Louisiana","23","0","0","2020-05-12 13:00:00","22035"
"Sabine","Louisiana","19","1","0","2020-05-12 13:00:00","22085"
"Grant","Louisiana","18","0","0","2020-05-12 13:00:00","22043"
"Vernon","Louisiana","18","2","0","2020-05-12 13:00:00","22115"
"Madison","Louisiana","13","0","0","2020-05-12 13:00:00","22065"
"Tensas","Louisiana","6","0","0","2020-05-12 13:00:00","22107"
"West Carroll","Louisiana","5","0","0","2020-05-12 13:00:00","22123"
"Cameron","Louisiana","3","0","0","2020-05-12 13:00:00","22023"
