"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Cumberland","Maine","714","31","385","2020-05-12 13:00:00","23005"
"York","Maine","262","8","175","2020-05-12 13:00:00","23031"
"Kennebec","Maine","110","8","63","2020-05-12 13:00:00","23011"
"Androscoggin","Maine","92","2","44","2020-05-12 13:00:00","23001"
"Penobscot","Maine","90","0","68","2020-05-12 13:00:00","23019"
"Waldo","Maine","49","14","32","2020-05-12 13:00:00","23027"
"Franklin","Maine","31","1","19","2020-05-12 13:00:00","23007"
"Sagadahoc","Maine","21","1","15","2020-05-12 13:00:00","23023"
"Knox","Maine","19","0","14","2020-05-12 13:00:00","23013"
"Oxford","Maine","17","0","15","2020-05-12 13:00:00","23017"
"Somerset","Maine","17","0","14","2020-05-12 13:00:00","23025"
"Lincoln","Maine","15","0","12","2020-05-12 13:00:00","23015"
"Hancock","Maine","10","1","9","2020-05-12 13:00:00","23009"
"Aroostook","Maine","6","0","4","2020-05-12 13:00:00","23003"
"unknown","Maine","6","0","21","2020-05-12 13:00:00","undefined"
"Washington","Maine","2","0","2","2020-05-12 13:00:00","23029"
"Piscataquis","Maine","1","0","1","2020-05-12 13:00:00","23021"
