"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Prince George's","Maryland","9687","359","0","2020-05-12 13:00:00","24033"
"Montgomery","Maryland","6909","388","3","2020-05-12 13:00:00","24031"
"Baltimore","Maryland","3948","194","0","2020-05-12 13:00:00","24510"
"Baltimore City","Maryland","3353","171","0","2020-05-12 13:00:00","24510"
"Anne Arundel","Maryland","2492","124","0","2020-05-12 13:00:00","24003"
"Frederick","Maryland","1267","74","52","2020-05-12 13:00:00","24021"
"Howard","Maryland","1223","31","0","2020-05-12 13:00:00","24027"
"Charles","Maryland","756","54","0","2020-05-12 13:00:00","24017"
"Wicomico","Maryland","690","16","0","2020-05-12 13:00:00","24045"
"Harford","Maryland","605","25","0","2020-05-12 13:00:00","24025"
"Carroll","Maryland","583","58","0","2020-05-12 13:00:00","24013"
"Washington","Maryland","283","9","0","2020-05-12 13:00:00","24043"
"Cecil","Maryland","267","13","0","2020-05-12 13:00:00","24015"
"St. Mary's","Maryland","244","9","0","2020-05-12 13:00:00","24037"
"Calvert","Maryland","209","11","0","2020-05-12 13:00:00","24009"
"Caroline","Maryland","167","0","0","2020-05-12 13:00:00","24011"
"Allegany","Maryland","146","12","0","2020-05-12 13:00:00","24001"
"Kent","Maryland","116","13","0","2020-05-12 13:00:00","24029"
"Worcester","Maryland","113","4","0","2020-05-12 13:00:00","24047"
"Queen Anne's","Maryland","100","9","0","2020-05-12 13:00:00","24035"
"Dorchester","Maryland","98","2","0","2020-05-12 13:00:00","24019"
"Talbot","Maryland","61","1","0","2020-05-12 13:00:00","24041"
"Somerset","Maryland","50","0","0","2020-05-12 13:00:00","24039"
"Garrett","Maryland","6","0","0","2020-05-12 13:00:00","24023"
"unknown","Maryland","6","145","2243","2020-05-12 13:00:00","undefined"
