"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Middlesex","Massachusetts","17774","1235","2510","2020-05-12 13:00:00","25017"
"Suffolk","Massachusetts","15356","731","4825","2020-05-12 13:00:00","25025"
"Essex","Massachusetts","11432","669","1237","2020-05-12 13:00:00","25009"
"Worcester","Massachusetts","7818","457","114","2020-05-12 13:00:00","25027"
"Norfolk","Massachusetts","7004","661","679","2020-05-12 13:00:00","25021"
"Plymouth","Massachusetts","6457","408","1244","2020-05-12 13:00:00","25023"
"Bristol","Massachusetts","4999","274","0","2020-05-12 13:00:00","25005"
"Hampden","Massachusetts","4763","458","0","2020-05-12 13:00:00","25013"
"Barnstable","Massachusetts","1075","73","0","2020-05-12 13:00:00","25001"
"unknown","Massachusetts","981","603","46","2020-05-12 13:00:00","undefined"
"Hampshire","Massachusetts","688","57","0","2020-05-12 13:00:00","25015"
"Berkshire","Massachusetts","478","37","0","2020-05-12 13:00:00","25003"
"Franklin","Massachusetts","296","42","0","2020-05-12 13:00:00","25011"
"Dukes and Nantucket","Massachusetts","35","1","0","2020-05-12 13:00:00","undefined"
