"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Wayne--Detroit","Michigan","9851","1192","0","2020-05-12 13:00:00","undefined"
"Wayne--Non Detroit","Michigan","8343","913","0","2020-05-12 13:00:00","undefined"
"Oakland","Michigan","7752","849","0","2020-05-12 13:00:00","26125"
"Macomb","Michigan","6064","699","0","2020-05-12 13:00:00","26099"
"Kent","Michigan","2332","42","0","2020-05-12 13:00:00","26081"
"Michigan Department of Corrections (MDOC)","Michigan","2139","54","0","2020-05-12 13:00:00","undefined"
"Genesee","Michigan","1765","224","0","2020-05-12 13:00:00","26049"
"Washtenaw","Michigan","1192","81","69","2020-05-12 13:00:00","26161"
"Saginaw","Michigan","809","85","0","2020-05-12 13:00:00","26145"
"Kalamazoo","Michigan","622","32","0","2020-05-12 13:00:00","26077"
"Ingham","Michigan","586","17","104","2020-05-12 13:00:00","26065"
"Ottawa","Michigan","420","19","103","2020-05-12 13:00:00","26139"
"Berrien","Michigan","403","24","0","2020-05-12 13:00:00","26021"
"Jackson","Michigan","400","26","0","2020-05-12 13:00:00","26075"
"Monroe","Michigan","393","17","0","2020-05-12 13:00:00","26115"
"Muskegon","Michigan","384","20","0","2020-05-12 13:00:00","26121"
"Livingston","Michigan","376","22","0","2020-05-12 13:00:00","26093"
"St. Clair","Michigan","358","25","0","2020-05-12 13:00:00","26147"
"Calhoun","Michigan","268","17","0","2020-05-12 13:00:00","26025"
"Shiawassee","Michigan","211","17","0","2020-05-12 13:00:00","26155"
"Bay","Michigan","204","9","0","2020-05-12 13:00:00","26017"
"Lapeer","Michigan","177","30","0","2020-05-12 13:00:00","26087"
"Out of State","Michigan","166","2","0","2020-05-12 13:00:00","undefined"
"Allegan","Michigan","157","2","0","2020-05-12 13:00:00","26005"
"Hillsdale","Michigan","153","22","0","2020-05-12 13:00:00","26059"
"Eaton","Michigan","151","6","24","2020-05-12 13:00:00","26045"
"Tuscola","Michigan","139","17","0","2020-05-12 13:00:00","26157"
"Clinton","Michigan","128","10","0","2020-05-12 13:00:00","26037"
"Lenawee","Michigan","128","2","0","2020-05-12 13:00:00","26091"
"Federal Correctional Institution (FCI)","Michigan","114","3","0","2020-05-12 13:00:00","undefined"
"Ionia","Michigan","110","3","0","2020-05-12 13:00:00","26067"
"Otsego","Michigan","98","10","0","2020-05-12 13:00:00","26137"
"Van Buren","Michigan","93","4","0","2020-05-12 13:00:00","26159"
"Alpena","Michigan","87","8","0","2020-05-12 13:00:00","26007"
"Branch","Michigan","80","2","0","2020-05-12 13:00:00","26023"
"unknown","Michigan","78","12","22385","2020-05-12 13:00:00","undefined"
"Midland","Michigan","66","8","0","2020-05-12 13:00:00","26111"
"St. Joseph","Michigan","65","1","0","2020-05-12 13:00:00","26149"
"Isabella","Michigan","62","7","0","2020-05-12 13:00:00","26073"
"Crawford","Michigan","57","4","0","2020-05-12 13:00:00","26039"
"Iosco","Michigan","55","8","0","2020-05-12 13:00:00","26069"
"Barry","Michigan","51","1","1","2020-05-12 13:00:00","26015"
"Marquette","Michigan","51","10","0","2020-05-12 13:00:00","26103"
"Montcalm","Michigan","46","1","0","2020-05-12 13:00:00","26117"
"Cass","Michigan","42","2","0","2020-05-12 13:00:00","26027"
"Sanilac","Michigan","38","5","0","2020-05-12 13:00:00","26151"
"Huron","Michigan","36","1","0","2020-05-12 13:00:00","26063"
"Newaygo","Michigan","35","0","0","2020-05-12 13:00:00","26123"
"Gratiot","Michigan","33","4","0","2020-05-12 13:00:00","26057"
"Oceana","Michigan","30","1","0","2020-05-12 13:00:00","26127"
"Arenac","Michigan","27","1","0","2020-05-12 13:00:00","26011"
"Emmet","Michigan","21","2","0","2020-05-12 13:00:00","26047"
"Mason","Michigan","21","0","0","2020-05-12 13:00:00","26105"
"Grand Traverse","Michigan","20","5","0","2020-05-12 13:00:00","26055"
"Roscommon","Michigan","20","0","0","2020-05-12 13:00:00","26143"
"Cheboygan","Michigan","19","1","0","2020-05-12 13:00:00","26031"
"Kalkaska","Michigan","18","2","0","2020-05-12 13:00:00","26079"
"Gladwin","Michigan","17","1","0","2020-05-12 13:00:00","26051"
"Mecosta","Michigan","16","2","0","2020-05-12 13:00:00","26107"
"Missaukee","Michigan","16","1","0","2020-05-12 13:00:00","26113"
"Ogemaw","Michigan","16","0","0","2020-05-12 13:00:00","26129"
"Charlevoix","Michigan","14","1","0","2020-05-12 13:00:00","26029"
"Delta","Michigan","14","2","0","2020-05-12 13:00:00","26041"
"Clare","Michigan","12","2","0","2020-05-12 13:00:00","26035"
"Manistee","Michigan","12","0","0","2020-05-12 13:00:00","26101"
"Presque Isle","Michigan","11","0","0","2020-05-12 13:00:00","26141"
"Wexford","Michigan","11","2","0","2020-05-12 13:00:00","26165"
"Antrim","Michigan","10","0","0","2020-05-12 13:00:00","26009"
"Leelanau","Michigan","9","0","0","2020-05-12 13:00:00","26089"
"Osceola","Michigan","9","0","0","2020-05-12 13:00:00","26133"
"Benzie","Michigan","6","0","0","2020-05-12 13:00:00","26019"
"Mackinac","Michigan","6","0","0","2020-05-12 13:00:00","26097"
"Menominee","Michigan","6","0","0","2020-05-12 13:00:00","26109"
"Montmorency","Michigan","6","0","0","2020-05-12 13:00:00","26119"
"Dickinson","Michigan","5","2","0","2020-05-12 13:00:00","26043"
"Oscoda","Michigan","5","1","0","2020-05-12 13:00:00","26135"
"Alcona","Michigan","4","1","0","2020-05-12 13:00:00","26001"
"Gogebic","Michigan","4","1","0","2020-05-12 13:00:00","26053"
"Schoolcraft","Michigan","4","0","0","2020-05-12 13:00:00","26153"
"Chippewa","Michigan","2","0","0","2020-05-12 13:00:00","26033"
"Houghton","Michigan","2","0","0","2020-05-12 13:00:00","26061"
"Lake","Michigan","2","0","0","2020-05-12 13:00:00","26085"
"Baraga","Michigan","1","0","0","2020-05-12 13:00:00","26013"
"Luce","Michigan","1","0","0","2020-05-12 13:00:00","26095"
