"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Hennepin","Minnesota","3744","398","0","2020-05-12 13:00:00","27053"
"Stearns","Minnesota","1443","6","0","2020-05-12 13:00:00","27145"
"Nobles","Minnesota","1269","2","0","2020-05-12 13:00:00","27105"
"Ramsey","Minnesota","986","47","0","2020-05-12 13:00:00","27123"
"Anoka","Minnesota","571","29","0","2020-05-12 13:00:00","27003"
"Dakota","Minnesota","471","15","0","2020-05-12 13:00:00","27037"
"Olmsted","Minnesota","374","9","0","2020-05-12 13:00:00","27109"
"Kandiyohi","Minnesota","316","1","0","2020-05-12 13:00:00","27067"
"Washington","Minnesota","256","15","0","2020-05-12 13:00:00","27163"
"Clay","Minnesota","247","17","0","2020-05-12 13:00:00","27027"
"Scott","Minnesota","155","1","0","2020-05-12 13:00:00","27139"
"Rice","Minnesota","126","2","0","2020-05-12 13:00:00","27131"
"Sherburne","Minnesota","114","1","0","2020-05-12 13:00:00","27141"
"Martin","Minnesota","112","4","0","2020-05-12 13:00:00","27091"
"Wright","Minnesota","110","1","0","2020-05-12 13:00:00","27171"
"St. Louis","Minnesota","96","12","0","2020-05-12 13:00:00","27137"
"Benton","Minnesota","93","2","0","2020-05-12 13:00:00","27009"
"Carver","Minnesota","92","1","0","2020-05-12 13:00:00","27019"
"Pine","Minnesota","73","0","0","2020-05-12 13:00:00","27115"
"Winona","Minnesota","71","15","0","2020-05-12 13:00:00","27169"
"Blue Earth","Minnesota","67","0","0","2020-05-12 13:00:00","27013"
"Steele","Minnesota","65","0","0","2020-05-12 13:00:00","27147"
"Carlton","Minnesota","64","0","0","2020-05-12 13:00:00","27017"
"Polk","Minnesota","53","1","0","2020-05-12 13:00:00","27119"
"Cottonwood","Minnesota","47","0","0","2020-05-12 13:00:00","27033"
"Freeborn","Minnesota","46","0","0","2020-05-12 13:00:00","27047"
"Mower","Minnesota","45","0","0","2020-05-12 13:00:00","27099"
"Todd","Minnesota","38","0","0","2020-05-12 13:00:00","27153"
"unknown","Minnesota","34","1","7536","2020-05-12 13:00:00","undefined"
"Itasca","Minnesota","33","0","0","2020-05-12 13:00:00","27061"
"Jackson","Minnesota","33","0","0","2020-05-12 13:00:00","27063"
"Le Sueur","Minnesota","30","0","0","2020-05-12 13:00:00","27079"
"Murray","Minnesota","29","0","0","2020-05-12 13:00:00","27101"
"Dodge","Minnesota","26","0","0","2020-05-12 13:00:00","27039"
"Becker","Minnesota","25","0","0","2020-05-12 13:00:00","27005"
"Goodhue","Minnesota","25","0","0","2020-05-12 13:00:00","27049"
"Otter Tail","Minnesota","25","0","0","2020-05-12 13:00:00","27111"
"Watonwan","Minnesota","25","0","0","2020-05-12 13:00:00","27165"
"Crow Wing","Minnesota","23","1","0","2020-05-12 13:00:00","27035"
"Meeker","Minnesota","21","0","0","2020-05-12 13:00:00","27093"
"Nicollet","Minnesota","21","2","0","2020-05-12 13:00:00","27103"
"Chisago","Minnesota","20","1","0","2020-05-12 13:00:00","27025"
"Rock","Minnesota","19","0","0","2020-05-12 13:00:00","27133"
"Lyon","Minnesota","18","0","0","2020-05-12 13:00:00","27083"
"Douglas","Minnesota","16","0","0","2020-05-12 13:00:00","27041"
"Waseca","Minnesota","16","0","0","2020-05-12 13:00:00","27161"
"Chippewa","Minnesota","14","0","0","2020-05-12 13:00:00","27023"
"Morrison","Minnesota","14","0","0","2020-05-12 13:00:00","27097"
"Fillmore","Minnesota","13","1","0","2020-05-12 13:00:00","27045"
"McLeod","Minnesota","13","0","0","2020-05-12 13:00:00","27085"
"Wabasha","Minnesota","13","0","0","2020-05-12 13:00:00","27157"
"Wilkin","Minnesota","11","3","0","2020-05-12 13:00:00","27167"
"Faribault","Minnesota","10","0","0","2020-05-12 13:00:00","27043"
"Kanabec","Minnesota","10","0","0","2020-05-12 13:00:00","27065"
"Norman","Minnesota","10","0","0","2020-05-12 13:00:00","27107"
"Brown","Minnesota","9","1","0","2020-05-12 13:00:00","27015"
"Cass","Minnesota","8","1","0","2020-05-12 13:00:00","27021"
"Isanti","Minnesota","8","0","0","2020-05-12 13:00:00","27059"
"Marshall","Minnesota","8","0","0","2020-05-12 13:00:00","27089"
"Swift","Minnesota","8","0","0","2020-05-12 13:00:00","27151"
"Mille Lacs","Minnesota","7","1","0","2020-05-12 13:00:00","27095"
"Pipestone","Minnesota","7","0","0","2020-05-12 13:00:00","27117"
"Beltrami","Minnesota","6","0","0","2020-05-12 13:00:00","27007"
"Renville","Minnesota","6","0","0","2020-05-12 13:00:00","27129"
"Pope","Minnesota","5","0","0","2020-05-12 13:00:00","27121"
"Lincoln","Minnesota","4","0","0","2020-05-12 13:00:00","27081"
"Sibley","Minnesota","4","0","0","2020-05-12 13:00:00","27143"
"Wadena","Minnesota","4","0","0","2020-05-12 13:00:00","27159"
"Mahnomen","Minnesota","3","1","0","2020-05-12 13:00:00","27087"
"Redwood","Minnesota","3","0","0","2020-05-12 13:00:00","27127"
"Traverse","Minnesota","3","0","0","2020-05-12 13:00:00","27155"
