"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Hinds","Mississippi","675","15","0","2020-05-12 13:00:00","28049"
"Lauderdale","Mississippi","492","44","0","2020-05-12 13:00:00","28075"
"Madison","Mississippi","466","12","0","2020-05-12 13:00:00","28089"
"Scott","Mississippi","462","6","0","2020-05-12 13:00:00","28123"
"DeSoto","Mississippi","336","5","0","2020-05-12 13:00:00","28033"
"Neshoba","Mississippi","320","15","0","2020-05-12 13:00:00","28099"
"Forrest","Mississippi","315","21","0","2020-05-12 13:00:00","28035"
"Leake","Mississippi","307","4","0","2020-05-12 13:00:00","28079"
"Jackson","Mississippi","276","11","0","2020-05-12 13:00:00","28059"
"Rankin","Mississippi","251","6","0","2020-05-12 13:00:00","28121"
"Jones","Mississippi","249","5","0","2020-05-12 13:00:00","28067"
"Holmes","Mississippi","223","19","0","2020-05-12 13:00:00","28051"
"Monroe","Mississippi","199","21","0","2020-05-12 13:00:00","28095"
"Harrison","Mississippi","198","6","0","2020-05-12 13:00:00","28047"
"Attala","Mississippi","196","4","0","2020-05-12 13:00:00","28007"
"Pearl River","Mississippi","190","24","0","2020-05-12 13:00:00","28109"
"Lincoln","Mississippi","186","14","0","2020-05-12 13:00:00","28085"
"Leflore","Mississippi","185","18","0","2020-05-12 13:00:00","28083"
"Pike","Mississippi","170","10","0","2020-05-12 13:00:00","28113"
"Yazoo","Mississippi","169","2","0","2020-05-12 13:00:00","28163"
"Copiah","Mississippi","163","1","0","2020-05-12 13:00:00","28029"
"Adams","Mississippi","160","13","0","2020-05-12 13:00:00","28001"
"Lamar","Mississippi","156","4","0","2020-05-12 13:00:00","28073"
"Newton","Mississippi","142","1","0","2020-05-12 13:00:00","28101"
"Bolivar","Mississippi","118","9","0","2020-05-12 13:00:00","28011"
"Warren","Mississippi","117","2","0","2020-05-12 13:00:00","28149"
"Noxubee","Mississippi","105","2","0","2020-05-12 13:00:00","28103"
"Smith","Mississippi","104","6","0","2020-05-12 13:00:00","28129"
"Carroll","Mississippi","103","4","0","2020-05-12 13:00:00","28015"
"Lafayette","Mississippi","101","3","0","2020-05-12 13:00:00","28071"
