"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"St. Louis","Missouri","3951","266","1581","2020-05-12 13:00:00","29189"
"St. Louis City","Missouri","1526","90","0","2020-05-12 13:00:00","29510"
"Kansas City","Missouri","783","16","0","2020-05-12 13:00:00","undefined"
"St. Charles","Missouri","673","50","0","2020-05-12 13:00:00","29183"
"Buchanan","Missouri","447","2","0","2020-05-12 13:00:00","29021"
"Jackson","Missouri","388","16","2","2020-05-12 13:00:00","29095"
"Jefferson","Missouri","309","12","238","2020-05-12 13:00:00","29099"
"Saline","Missouri","219","0","140","2020-05-12 13:00:00","29195"
"Franklin","Missouri","130","13","64","2020-05-12 13:00:00","29071"
"Greene","Missouri","103","8","80","2020-05-12 13:00:00","29077"
"Lincoln","Missouri","103","1","44","2020-05-12 13:00:00","29113"
"Boone","Missouri","100","1","91","2020-05-12 13:00:00","29019"
"Clay","Missouri","96","1","0","2020-05-12 13:00:00","29047"
"Scott","Missouri","81","6","13","2020-05-12 13:00:00","29201"
"Cass","Missouri","69","8","0","2020-05-12 13:00:00","29037"
"Pettis","Missouri","67","0","2","2020-05-12 13:00:00","29159"
"Pemiscot","Missouri","65","3","0","2020-05-12 13:00:00","29155"
"Johnson","Missouri","63","0","32","2020-05-12 13:00:00","29101"
"Lafayette","Missouri","62","2","28","2020-05-12 13:00:00","29107"
"Cole","Missouri","56","1","37","2020-05-12 13:00:00","29051"
"Cape Girardeau","Missouri","51","1","0","2020-05-12 13:00:00","29031"
"Mississippi","Missouri","49","0","0","2020-05-12 13:00:00","29133"
"Perry","Missouri","45","0","35","2020-05-12 13:00:00","29157"
"Platte","Missouri","45","0","13","2020-05-12 13:00:00","29165"
"Moniteau","Missouri","44","0","4","2020-05-12 13:00:00","29135"
"Camden","Missouri","36","1","13","2020-05-12 13:00:00","29029"
"Pulaski","Missouri","36","1","4","2020-05-12 13:00:00","29169"
"St. Francois","Missouri","33","2","27","2020-05-12 13:00:00","29187"
"Stoddard","Missouri","29","0","0","2020-05-12 13:00:00","29207"
"Warren","Missouri","28","0","6","2020-05-12 13:00:00","29219"
"Butler","Missouri","27","0","12","2020-05-12 13:00:00","29023"
"Dunklin","Missouri","24","2","13","2020-05-12 13:00:00","29069"
"Callaway","Missouri","23","1","15","2020-05-12 13:00:00","29027"
"Christian","Missouri","20","0","0","2020-05-12 13:00:00","29043"
"Jasper","Missouri","18","0","11","2020-05-12 13:00:00","29097"
"Webster","Missouri","16","0","0","2020-05-12 13:00:00","29225"
"Clinton","Missouri","14","0","0","2020-05-12 13:00:00","29049"
"Pike","Missouri","13","0","6","2020-05-12 13:00:00","29163"
"Adair","Missouri","12","0","5","2020-05-12 13:00:00","29001"
"New Madrid","Missouri","12","0","0","2020-05-12 13:00:00","29143"
"Ray","Missouri","12","0","0","2020-05-12 13:00:00","29177"
"Taney","Missouri","12","2","0","2020-05-12 13:00:00","29213"
"Newton","Missouri","11","1","0","2020-05-12 13:00:00","29145"
"Joplin","Missouri","10","0","0","2020-05-12 13:00:00","undefined"
"Wright","Missouri","10","0","0","2020-05-12 13:00:00","29229"
"Cedar","Missouri","9","0","0","2020-05-12 13:00:00","29039"
"Cooper","Missouri","9","0","2","2020-05-12 13:00:00","29053"
"Henry","Missouri","9","1","0","2020-05-12 13:00:00","29083"
"Washington","Missouri","9","1","0","2020-05-12 13:00:00","29221"
"Andrew","Missouri","8","0","0","2020-05-12 13:00:00","29003"
"Benton","Missouri","8","0","0","2020-05-12 13:00:00","29015"
"Crawford","Missouri","8","0","0","2020-05-12 13:00:00","29055"
"Randolph","Missouri","8","0","1","2020-05-12 13:00:00","29175"
"Ste. Genevieve","Missouri","8","1","0","2020-05-12 13:00:00","29186"
