"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Gallatin","Montana","149","1","0","2020-05-12 13:00:00","30031"
"Yellowstone","Montana","82","2","0","2020-05-12 13:00:00","30111"
"Missoula","Montana","39","1","0","2020-05-12 13:00:00","30063"
"Flathead","Montana","37","2","0","2020-05-12 13:00:00","30029"
"Toole","Montana","29","6","0","2020-05-12 13:00:00","30101"
"Cascade","Montana","16","2","0","2020-05-12 13:00:00","30013"
"Lewis and Clark","Montana","16","0","0","2020-05-12 13:00:00","30049"
"Silver Bow","Montana","11","0","0","2020-05-12 13:00:00","30093"
"Madison","Montana","8","1","0","2020-05-12 13:00:00","30057"
"Park","Montana","8","0","0","2020-05-12 13:00:00","30067"
"Lincoln","Montana","7","1","0","2020-05-12 13:00:00","30053"
"Roosevelt","Montana","7","0","0","2020-05-12 13:00:00","30085"
"Carbon","Montana","6","0","0","2020-05-12 13:00:00","30009"
"Glacier","Montana","6","0","0","2020-05-12 13:00:00","30035"
"Lake","Montana","5","0","0","2020-05-12 13:00:00","30047"
"Ravalli","Montana","5","0","0","2020-05-12 13:00:00","30081"
"Broadwater","Montana","4","0","0","2020-05-12 13:00:00","30007"
"Big Horn","Montana","3","0","0","2020-05-12 13:00:00","30003"
"Deer Lodge","Montana","3","0","0","2020-05-12 13:00:00","30023"
"Golden Valley","Montana","3","0","0","2020-05-12 13:00:00","30037"
"Jefferson","Montana","3","0","0","2020-05-12 13:00:00","30043"
"Richland","Montana","3","0","0","2020-05-12 13:00:00","30083"
"Pondera","Montana","2","0","0","2020-05-12 13:00:00","30073"
"Beaverhead","Montana","1","0","0","2020-05-12 13:00:00","30001"
"Hill","Montana","1","0","0","2020-05-12 13:00:00","30041"
"Liberty","Montana","1","0","0","2020-05-12 13:00:00","30051"
"Meagher","Montana","1","0","0","2020-05-12 13:00:00","30059"
"Musselshell","Montana","1","0","0","2020-05-12 13:00:00","30065"
"Stillwater","Montana","1","0","0","2020-05-12 13:00:00","30095"
"Wheatland","Montana","1","0","0","2020-05-12 13:00:00","30107"
