"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Douglas","Nebraska","1616","14","228","2020-05-12 13:00:00","31055"
"Dakota","Nebraska","1378","3","0","2020-05-12 13:00:00","31043"
"Hall","Nebraska","1332","28","0","2020-05-12 13:00:00","31079"
"Dawson","Nebraska","712","0","0","2020-05-12 13:00:00","31047"
"Lancaster","Nebraska","634","1","0","2020-05-12 13:00:00","31109"
"Colfax","Nebraska","419","0","0","2020-05-12 13:00:00","31037"
"Platte","Nebraska","373","0","0","2020-05-12 13:00:00","31141"
"Saline","Nebraska","367","0","0","2020-05-12 13:00:00","31151"
"Madison","Nebraska","257","3","0","2020-05-12 13:00:00","31119"
"Sarpy","Nebraska","248","0","0","2020-05-12 13:00:00","31153"
"Adams","Nebraska","227","3","0","2020-05-12 13:00:00","31001"
"Dodge","Nebraska","157","0","0","2020-05-12 13:00:00","31053"
"Buffalo","Nebraska","121","1","0","2020-05-12 13:00:00","31019"
"unknown","Nebraska","99","29","0","2020-05-12 13:00:00","undefined"
"Hamilton","Nebraska","46","7","0","2020-05-12 13:00:00","31081"
"Scotts Bluff","Nebraska","44","0","0","2020-05-12 13:00:00","31157"
"Gage","Nebraska","41","3","0","2020-05-12 13:00:00","31067"
"Lincoln","Nebraska","40","1","0","2020-05-12 13:00:00","31111"
"Custer","Nebraska","27","3","0","2020-05-12 13:00:00","31041"
"York","Nebraska","25","0","0","2020-05-12 13:00:00","31185"
"Dixon","Nebraska","24","0","0","2020-05-12 13:00:00","31051"
"Merrick","Nebraska","23","0","0","2020-05-12 13:00:00","31121"
"Butler","Nebraska","22","0","0","2020-05-12 13:00:00","31023"
"Washington","Nebraska","22","1","0","2020-05-12 13:00:00","31177"
"Howard","Nebraska","21","0","0","2020-05-12 13:00:00","31093"
"Seward","Nebraska","17","1","0","2020-05-12 13:00:00","31159"
"Cuming","Nebraska","14","0","0","2020-05-12 13:00:00","31039"
"Thurston","Nebraska","13","0","0","2020-05-12 13:00:00","31173"
"Clay","Nebraska","12","0","0","2020-05-12 13:00:00","31035"
"Gosper","Nebraska","12","0","0","2020-05-12 13:00:00","31073"
"Cass","Nebraska","11","0","0","2020-05-12 13:00:00","31025"
"Phelps","Nebraska","11","0","0","2020-05-12 13:00:00","31137"
"Saunders","Nebraska","11","0","0","2020-05-12 13:00:00","31155"
"Kimball","Nebraska","9","0","0","2020-05-12 13:00:00","31105"
"Morrill","Nebraska","9","0","0","2020-05-12 13:00:00","31123"
"Polk","Nebraska","9","0","0","2020-05-12 13:00:00","31143"
"Cheyenne","Nebraska","8","0","0","2020-05-12 13:00:00","31033"
"Stanton","Nebraska","8","0","0","2020-05-12 13:00:00","31167"
"Kearney","Nebraska","7","0","0","2020-05-12 13:00:00","31099"
"Burt","Nebraska","6","0","0","2020-05-12 13:00:00","31021"
"Cedar","Nebraska","6","0","0","2020-05-12 13:00:00","31027"
"Knox","Nebraska","6","0","0","2020-05-12 13:00:00","31107"
"Antelope","Nebraska","5","0","0","2020-05-12 13:00:00","31003"
"Franklin","Nebraska","5","0","0","2020-05-12 13:00:00","31061"
"Jefferson","Nebraska","5","0","0","2020-05-12 13:00:00","31095"
"Johnson","Nebraska","5","0","0","2020-05-12 13:00:00","31097"
"Red Willow","Nebraska","5","0","0","2020-05-12 13:00:00","31145"
"Webster","Nebraska","5","0","0","2020-05-12 13:00:00","31181"
"Furnas","Nebraska","4","0","0","2020-05-12 13:00:00","31065"
"Nance","Nebraska","4","0","0","2020-05-12 13:00:00","31125"
"Fillmore","Nebraska","3","0","0","2020-05-12 13:00:00","31059"
"Mcpherson","Nebraska","3","0","0","2020-05-12 13:00:00","31117"
"Otoe","Nebraska","3","0","0","2020-05-12 13:00:00","31131"
"Boone","Nebraska","2","0","0","2020-05-12 13:00:00","31011"
"Greeley","Nebraska","2","0","0","2020-05-12 13:00:00","31077"
"Keith","Nebraska","2","0","0","2020-05-12 13:00:00","31101"
"Sherman","Nebraska","2","0","0","2020-05-12 13:00:00","31163"
"Wayne","Nebraska","2","0","0","2020-05-12 13:00:00","31179"
"Box Butte","Nebraska","1","0","0","2020-05-12 13:00:00","31013"
"Cherry","Nebraska","1","0","0","2020-05-12 13:00:00","31031"
"Dawes","Nebraska","1","0","0","2020-05-12 13:00:00","31045"
"Frontier","Nebraska","1","0","0","2020-05-12 13:00:00","31063"
"Hitchcock","Nebraska","1","0","0","2020-05-12 13:00:00","31087"
"Holt","Nebraska","1","0","0","2020-05-12 13:00:00","31089"
"Nemaha","Nebraska","1","0","0","2020-05-12 13:00:00","31127"
"Pierce","Nebraska","1","0","0","2020-05-12 13:00:00","31139"
"Thomas","Nebraska","1","0","0","2020-05-12 13:00:00","31171"
"Valley","Nebraska","1","0","0","2020-05-12 13:00:00","31175"
