"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Clark","Nevada","4762","260","3998","2020-05-12 13:00:00","32003"
"Washoe","Nevada","1100","39","529","2020-05-12 13:00:00","32031"
"unknown","Nevada","76","12","0","2020-05-12 13:00:00","undefined"
"Humboldt","Nevada","69","3","13","2020-05-12 13:00:00","32013"
"Carson City","Nevada","56","2","42","2020-05-12 13:00:00","32510"
"Lyon","Nevada","44","0","21","2020-05-12 13:00:00","32019"
"Nye","Nevada","44","0","18","2020-05-12 13:00:00","32023"
"Douglas","Nevada","24","0","19","2020-05-12 13:00:00","32005"
"Elko","Nevada","18","1","12","2020-05-12 13:00:00","32007"
"Lander","Nevada","17","0","1","2020-05-12 13:00:00","32015"
"Mineral","Nevada","4","0","4","2020-05-12 13:00:00","32021"
"Churchill","Nevada","3","0","0","2020-05-12 13:00:00","32001"
"White Pine","Nevada","3","0","3","2020-05-12 13:00:00","32033"
"Lincoln","Nevada","1","0","14","2020-05-12 13:00:00","32017"
