"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Rockingham","New Hampshire","994","28","0","2020-05-12 13:00:00","33015"
"Hillsborough-Manchester","New Hampshire","714","28","0","2020-05-12 13:00:00","undefined"
"Hillsborough-Other","New Hampshire","490","4","0","2020-05-12 13:00:00","undefined"
"Hillsborough-Nashua","New Hampshire","292","8","0","2020-05-12 13:00:00","undefined"
"Merrimack","New Hampshire","243","6","0","2020-05-12 13:00:00","33013"
"Strafford","New Hampshire","196","8","0","2020-05-12 13:00:00","33017"
"Grafton","New Hampshire","58","1","0","2020-05-12 13:00:00","33009"
"Belknap","New Hampshire","46","0","0","2020-05-12 13:00:00","33001"
"Cheshire","New Hampshire","43","2","0","2020-05-12 13:00:00","33005"
"Carroll","New Hampshire","37","0","0","2020-05-12 13:00:00","33003"
"unknown","New Hampshire","34","57","1231","2020-05-12 13:00:00","undefined"
"Countytba","New Hampshire","14","0","0","2020-05-12 13:00:00","undefined"
"Sullivan","New Hampshire","14","1","0","2020-05-12 13:00:00","33019"
"Coos","New Hampshire","2","0","0","2020-05-12 13:00:00","33007"
