"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Hudson","New Jersey","17801","996","441","2020-05-12 13:00:00","34017"
"Bergen","New Jersey","17028","1358","0","2020-05-12 13:00:00","34003"
"Essex","New Jersey","15727","1431","60","2020-05-12 13:00:00","34013"
"Passaic","New Jersey","14645","747","0","2020-05-12 13:00:00","34031"
"Union","New Jersey","14164","875","1165","2020-05-12 13:00:00","34039"
"Middlesex","New Jersey","14036","794","0","2020-05-12 13:00:00","34023"
"Ocean","New Jersey","7569","547","0","2020-05-12 13:00:00","34029"
"Monmouth","New Jersey","6988","445","0","2020-05-12 13:00:00","34025"
"Morris","New Jersey","5876","518","1","2020-05-12 13:00:00","34027"
"Mercer","New Jersey","5393","340","12","2020-05-12 13:00:00","34021"
"Camden","New Jersey","4959","227","0","2020-05-12 13:00:00","34007"
"Somerset","New Jersey","4093","335","0","2020-05-12 13:00:00","34035"
"Burlington","New Jersey","3665","200","0","2020-05-12 13:00:00","34005"
"unknown","New Jersey","1702","3","0","2020-05-12 13:00:00","undefined"
"Gloucester","New Jersey","1690","83","0","2020-05-12 13:00:00","34015"
"Atlantic","New Jersey","1533","77","351","2020-05-12 13:00:00","34001"
"Cumberland","New Jersey","1363","40","0","2020-05-12 13:00:00","34011"
"Warren","New Jersey","1047","104","239","2020-05-12 13:00:00","34041"
"Sussex","New Jersey","1033","128","749","2020-05-12 13:00:00","34037"
"Hunterdon","New Jersey","723","45","0","2020-05-12 13:00:00","34019"
"Cape May","New Jersey","462","32","196","2020-05-12 13:00:00","34009"
"Salem","New Jersey","411","18","0","2020-05-12 13:00:00","34033"
