"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"McKinley","New Mexico","1585","50","0","2020-05-12 13:00:00","35031"
"San Juan","New Mexico","1107","71","0","2020-05-12 13:00:00","35045"
"Bernalillo","New Mexico","1086","48","0","2020-05-12 13:00:00","35001"
"Sandoval","New Mexico","467","21","0","2020-05-12 13:00:00","35043"
"Doña Ana","New Mexico","245","2","0","2020-05-12 13:00:00","35013"
"Santa Fe","New Mexico","112","1","0","2020-05-12 13:00:00","35049"
"Cibola","New Mexico","86","4","0","2020-05-12 13:00:00","35006"
"Valencia","New Mexico","57","1","0","2020-05-12 13:00:00","35061"
"Socorro","New Mexico","49","3","0","2020-05-12 13:00:00","35053"
"Curry","New Mexico","31","0","0","2020-05-12 13:00:00","35009"
"unknown","New Mexico","30","6","1285","2020-05-12 13:00:00","undefined"
"Rio Arriba","New Mexico","28","0","0","2020-05-12 13:00:00","35039"
"Chaves","New Mexico","27","2","0","2020-05-12 13:00:00","35005"
"Taos","New Mexico","20","0","0","2020-05-12 13:00:00","35055"
"Torrance","New Mexico","18","1","0","2020-05-12 13:00:00","35057"
"Grant","New Mexico","15","0","0","2020-05-12 13:00:00","35017"
"Guadalupe","New Mexico","15","0","0","2020-05-12 13:00:00","35019"
"Lea","New Mexico","15","0","0","2020-05-12 13:00:00","35025"
"Eddy","New Mexico","14","1","0","2020-05-12 13:00:00","35015"
"Otero","New Mexico","12","0","0","2020-05-12 13:00:00","35035"
"Roosevelt","New Mexico","11","0","0","2020-05-12 13:00:00","35041"
"Luna","New Mexico","8","1","0","2020-05-12 13:00:00","35029"
"San Miguel","New Mexico","7","0","0","2020-05-12 13:00:00","35047"
"Los Alamos","New Mexico","6","0","0","2020-05-12 13:00:00","35028"
"Colfax","New Mexico","5","0","0","2020-05-12 13:00:00","35007"
"Quay","New Mexico","4","1","0","2020-05-12 13:00:00","35037"
"Union","New Mexico","3","0","0","2020-05-12 13:00:00","35059"
"Catron","New Mexico","2","1","0","2020-05-12 13:00:00","35003"
"Lincoln","New Mexico","2","0","0","2020-05-12 13:00:00","35027"
"Harding","New Mexico","1","0","0","2020-05-12 13:00:00","35021"
"Sierra","New Mexico","1","0","0","2020-05-12 13:00:00","35051"
