"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"New York","New York","190535","19931","0","2020-05-12 13:00:00","36061"
"Nassau","New York","38337","1973","3205","2020-05-12 13:00:00","36059"
"Suffolk","New York","37363","1639","3209","2020-05-12 13:00:00","36103"
"Westchester","New York","31384","1227","9371","2020-05-12 13:00:00","36119"
"Rockland","New York","12484","576","0","2020-05-12 13:00:00","36087"
"Orange","New York","9839","388","0","2020-05-12 13:00:00","36071"
"Erie","New York","4483","357","479","2020-05-12 13:00:00","36029"
"Dutchess","New York","3378","98","984","2020-05-12 13:00:00","36027"
"Monroe","New York","1850","147","921","2020-05-12 13:00:00","36055"
"Ulster","New York","1505","58","637","2020-05-12 13:00:00","36111"
"Albany","New York","1456","59","799","2020-05-12 13:00:00","36001"
"Onondaga","New York","1329","69","694","2020-05-12 13:00:00","36067"
"Putnam","New York","1244","7","0","2020-05-12 13:00:00","36079"
"Sullivan","New York","1109","25","656","2020-05-12 13:00:00","36105"
"Oneida","New York","669","21","284","2020-05-12 13:00:00","36065"
"Niagara","New York","664","42","332","2020-05-12 13:00:00","36063"
"Schenectady","New York","575","28","367","2020-05-12 13:00:00","36093"
"Rensselaer","New York","411","23","146","2020-05-12 13:00:00","36083"
"Saratoga","New York","403","11","121","2020-05-12 13:00:00","36091"
"Broome","New York","378","23","238","2020-05-12 13:00:00","36007"
"Columbia","New York","320","19","125","2020-05-12 13:00:00","36021"
"Madison","New York","257","6","128","2020-05-12 13:00:00","36053"
"Steuben","New York","245","39","104","2020-05-12 13:00:00","36101"
"Warren","New York","217","0","0","2020-05-12 13:00:00","36113"
"Washington","New York","210","8","75","2020-05-12 13:00:00","36115"
"Greene","New York","206","10","121","2020-05-12 13:00:00","36039"
"St. Lawrence","New York","190","0","0","2020-05-12 13:00:00","36089"
"Genesee","New York","173","3","88","2020-05-12 13:00:00","36037"
"Tompkins","New York","133","0","106","2020-05-12 13:00:00","36109"
"Chemung","New York","131","1","10","2020-05-12 13:00:00","36015"
"Orleans","New York","130","14","36","2020-05-12 13:00:00","36073"
"Clinton","New York","112","4","94","2020-05-12 13:00:00","36019"
"Chenango","New York","109","0","0","2020-05-12 13:00:00","36017"
"Fulton","New York","109","0","0","2020-05-12 13:00:00","36035"
"Ontario","New York","107","9","47","2020-05-12 13:00:00","36069"
"Tioga","New York","107","14","32","2020-05-12 13:00:00","36107"
"Livingston","New York","102","6","51","2020-05-12 13:00:00","36051"
"Herkimer","New York","81","3","0","2020-05-12 13:00:00","36043"
"Wayne","New York","81","2","49","2020-05-12 13:00:00","36117"
"Wyoming","New York","77","5","51","2020-05-12 13:00:00","36121"
"Oswego","New York","75","3","56","2020-05-12 13:00:00","36075"
"Delaware","New York","74","4","49","2020-05-12 13:00:00","36025"
"Jefferson","New York","68","0","9","2020-05-12 13:00:00","36045"
"Montgomery","New York","67","1","43","2020-05-12 13:00:00","36057"
"Otsego","New York","67","4","57","2020-05-12 13:00:00","36077"
"Cattaraugus","New York","61","0","0","2020-05-12 13:00:00","36009"
"Cayuga","New York","60","1","50","2020-05-12 13:00:00","36011"
"Seneca","New York","49","0","0","2020-05-12 13:00:00","36099"
"Schoharie","New York","46","0","0","2020-05-12 13:00:00","36095"
"Chautauqua","New York","41","4","31","2020-05-12 13:00:00","36013"
"Allegany","New York","38","0","31","2020-05-12 13:00:00","36003"
"Cortland","New York","33","0","31","2020-05-12 13:00:00","36023"
"Essex","New York","32","0","8","2020-05-12 13:00:00","36031"
"Yates","New York","21","1","2","2020-05-12 13:00:00","36123"
"Franklin","New York","17","0","4","2020-05-12 13:00:00","36033"
"Lewis","New York","10","0","5","2020-05-12 13:00:00","36049"
"Schuyler","New York","8","0","6","2020-05-12 13:00:00","36097"
"Hamilton","New York","5","0","0","2020-05-12 13:00:00","36041"
