"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Mecklenburg","North Carolina","2134","63","508","2020-05-12 13:00:00","37119"
"Wake","North Carolina","1051","23","0","2020-05-12 13:00:00","37183"
"Durham","North Carolina","886","34","0","2020-05-12 13:00:00","37063"
"Wayne","North Carolina","752","13","71","2020-05-12 13:00:00","37191"
"Guilford","North Carolina","641","38","0","2020-05-12 13:00:00","37081"
"Rowan","North Carolina","488","25","185","2020-05-12 13:00:00","37159"
"Chatham","North Carolina","458","11","0","2020-05-12 13:00:00","37037"
"Forsyth","North Carolina","395","5","95","2020-05-12 13:00:00","37067"
"Robeson","North Carolina","391","6","0","2020-05-12 13:00:00","37155"
"Cumberland","North Carolina","368","9","0","2020-05-12 13:00:00","37051"
"Randolph","North Carolina","354","6","0","2020-05-12 13:00:00","37151"
"Cabarrus","North Carolina","352","17","217","2020-05-12 13:00:00","37025"
"Union","North Carolina","301","17","0","2020-05-12 13:00:00","37179"
"Lee","North Carolina","277","1","1","2020-05-12 13:00:00","37105"
"Duplin","North Carolina","258","4","0","2020-05-12 13:00:00","37061"
"Orange","North Carolina","253","33","0","2020-05-12 13:00:00","37135"
"Wilkes","North Carolina","242","1","0","2020-05-12 13:00:00","37193"
"Henderson","North Carolina","230","28","0","2020-05-12 13:00:00","37089"
"Harnett","North Carolina","228","13","0","2020-05-12 13:00:00","37085"
"Wilson","North Carolina","216","8","120","2020-05-12 13:00:00","37195"
"Columbus","North Carolina","213","16","0","2020-05-12 13:00:00","37047"
"Johnston","North Carolina","212","18","2","2020-05-12 13:00:00","37101"
"Davidson","North Carolina","205","10","142","2020-05-12 13:00:00","37057"
"Alamance","North Carolina","183","7","78","2020-05-12 13:00:00","37001"
"Gaston","North Carolina","178","5","147","2020-05-12 13:00:00","37071"
"Pitt","North Carolina","169","2","113","2020-05-12 13:00:00","37147"
"Granville","North Carolina","167","6","0","2020-05-12 13:00:00","37077"
"Sampson","North Carolina","167","1","3","2020-05-12 13:00:00","37163"
"Vance","North Carolina","162","12","0","2020-05-12 13:00:00","37181"
"Moore","North Carolina","156","9","0","2020-05-12 13:00:00","37125"
"Edgecombe","North Carolina","155","7","79","2020-05-12 13:00:00","37065"
"Rutherford","North Carolina","154","7","0","2020-05-12 13:00:00","37161"
"Iredell","North Carolina","153","6","64","2020-05-12 13:00:00","37097"
"Burke","North Carolina","137","11","0","2020-05-12 13:00:00","37023"
"Hoke","North Carolina","123","0","0","2020-05-12 13:00:00","37093"
"Nash","North Carolina","123","3","24","2020-05-12 13:00:00","37127"
"Northampton","North Carolina","123","7","60","2020-05-12 13:00:00","37131"
"Lenoir","North Carolina","122","4","0","2020-05-12 13:00:00","37107"
"New Hanover","North Carolina","117","3","67","2020-05-12 13:00:00","37129"
"Franklin","North Carolina","111","22","0","2020-05-12 13:00:00","37069"
"Buncombe","North Carolina","102","5","34","2020-05-12 13:00:00","37021"
"Halifax","North Carolina","94","1","26","2020-05-12 13:00:00","37083"
"Richmond","North Carolina","91","2","14","2020-05-12 13:00:00","37153"
"Catawba","North Carolina","83","2","33","2020-05-12 13:00:00","37035"
"Pasquotank","North Carolina","82","5","0","2020-05-12 13:00:00","37139"
"Bertie","North Carolina","61","3","17","2020-05-12 13:00:00","37015"
"Caldwell","North Carolina","60","0","14","2020-05-12 13:00:00","37027"
"Onslow","North Carolina","56","2","35","2020-05-12 13:00:00","37133"
"Craven","North Carolina","55","4","19","2020-05-12 13:00:00","37049"
"Bladen","North Carolina","54","1","1","2020-05-12 13:00:00","37017"
"Yadkin","North Carolina","54","1","7","2020-05-12 13:00:00","37197"
"Hertford","North Carolina","51","1","3","2020-05-12 13:00:00","37091"
"Brunswick","North Carolina","50","2","32","2020-05-12 13:00:00","37019"
"Cleveland","North Carolina","50","2","32","2020-05-12 13:00:00","37045"
"Montgomery","North Carolina","46","2","10","2020-05-12 13:00:00","37123"
"Rockingham","North Carolina","43","2","7","2020-05-12 13:00:00","37157"
"Surry","North Carolina","43","1","0","2020-05-12 13:00:00","37171"
"Caswell","North Carolina","41","1","0","2020-05-12 13:00:00","37033"
"Scotland","North Carolina","41","0","0","2020-05-12 13:00:00","37165"
"Lincoln","North Carolina","40","0","18","2020-05-12 13:00:00","37109"
"Pender","North Carolina","39","1","0","2020-05-12 13:00:00","37141"
