"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Cass","North Dakota","821","21","0","2020-05-12 13:00:00","38017"
"Grand Forks","North Dakota","287","2","0","2020-05-12 13:00:00","38035"
"Burleigh","North Dakota","104","0","0","2020-05-12 13:00:00","38015"
"Stark","North Dakota","61","2","0","2020-05-12 13:00:00","38089"
"Morton","North Dakota","37","2","0","2020-05-12 13:00:00","38059"
"Mountrail","North Dakota","37","0","0","2020-05-12 13:00:00","38061"
"Ward","North Dakota","27","1","0","2020-05-12 13:00:00","38101"
"Williams","North Dakota","19","0","0","2020-05-12 13:00:00","38105"
"McKenzie","North Dakota","15","0","0","2020-05-12 13:00:00","38053"
"Stutsman","North Dakota","15","0","0","2020-05-12 13:00:00","38093"
"Dunn","North Dakota","12","0","0","2020-05-12 13:00:00","38025"
"Richland","North Dakota","9","0","0","2020-05-12 13:00:00","38077"
"Walsh","North Dakota","8","0","0","2020-05-12 13:00:00","38099"
"Ramsey","North Dakota","7","0","0","2020-05-12 13:00:00","38071"
"Pembina","North Dakota","6","0","0","2020-05-12 13:00:00","38067"
"Burke","North Dakota","5","0","0","2020-05-12 13:00:00","38013"
"McLean","North Dakota","5","0","0","2020-05-12 13:00:00","38055"
"Barnes","North Dakota","4","0","0","2020-05-12 13:00:00","38003"
"Mercer","North Dakota","4","0","0","2020-05-12 13:00:00","38057"
"Pierce","North Dakota","3","0","0","2020-05-12 13:00:00","38069"
"Ransom","North Dakota","3","0","0","2020-05-12 13:00:00","38073"
"Rolette","North Dakota","3","0","0","2020-05-12 13:00:00","38079"
"Sargent","North Dakota","3","0","0","2020-05-12 13:00:00","38081"
"Slope","North Dakota","3","0","0","2020-05-12 13:00:00","38087"
"Benson","North Dakota","2","0","0","2020-05-12 13:00:00","38005"
"Eddy","North Dakota","2","0","0","2020-05-12 13:00:00","38027"
"Grant","North Dakota","2","0","0","2020-05-12 13:00:00","38037"
"McHenry","North Dakota","2","1","0","2020-05-12 13:00:00","38049"
"Wells","North Dakota","2","0","0","2020-05-12 13:00:00","38103"
"Bowman","North Dakota","1","0","0","2020-05-12 13:00:00","38011"
"Divide","North Dakota","1","0","0","2020-05-12 13:00:00","38023"
"Emmons","North Dakota","1","1","0","2020-05-12 13:00:00","38029"
"Foster","North Dakota","1","0","0","2020-05-12 13:00:00","38031"
"McIntosh","North Dakota","1","0","0","2020-05-12 13:00:00","38051"
"Nelson","North Dakota","1","0","0","2020-05-12 13:00:00","38063"
"Oliver","North Dakota","1","0","0","2020-05-12 13:00:00","38065"
"Renville","North Dakota","1","0","0","2020-05-12 13:00:00","38075"
"Sioux","North Dakota","1","0","0","2020-05-12 13:00:00","38085"
"Traill","North Dakota","1","0","0","2020-05-12 13:00:00","38097"
