"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Franklin","Ohio","3881","124","0","2020-05-12 13:00:00","39049"
"Cuyahoga","Ohio","2861","147","608","2020-05-12 13:00:00","39035"
"Marion","Ohio","2404","14","94","2020-05-12 13:00:00","39101"
"Pickaway","Ohio","1933","23","1353","2020-05-12 13:00:00","39129"
"Hamilton","Ohio","1823","101","399","2020-05-12 13:00:00","39061"
"Lucas","Ohio","1806","165","0","2020-05-12 13:00:00","39095"
"Mahoning","Ohio","1144","123","0","2020-05-12 13:00:00","39099"
"Summit","Ohio","915","78","0","2020-05-12 13:00:00","39153"
"Lorain","Ohio","554","45","257","2020-05-12 13:00:00","39093"
"Stark","Ohio","511","67","0","2020-05-12 13:00:00","39151"
"Butler","Ohio","479","13","0","2020-05-12 13:00:00","39017"
"Montgomery","Ohio","422","10","0","2020-05-12 13:00:00","39113"
"Trumbull","Ohio","408","35","0","2020-05-12 13:00:00","39155"
"Columbiana","Ohio","336","37","0","2020-05-12 13:00:00","39029"
"Miami","Ohio","313","28","0","2020-05-12 13:00:00","39109"
"Portage","Ohio","280","46","0","2020-05-12 13:00:00","39133"
"Belmont","Ohio","258","7","101","2020-05-12 13:00:00","39013"
"Wood","Ohio","225","31","0","2020-05-12 13:00:00","39173"
"Delaware","Ohio","222","4","165","2020-05-12 13:00:00","39041"
"Tuscarawas","Ohio","216","1","54","2020-05-12 13:00:00","39157"
"Warren","Ohio","209","13","0","2020-05-12 13:00:00","39165"
"Lake","Ohio","199","8","0","2020-05-12 13:00:00","39085"
"Medina","Ohio","195","17","0","2020-05-12 13:00:00","39103"
"Ashtabula","Ohio","193","19","0","2020-05-12 13:00:00","39007"
"Geauga","Ohio","191","19","0","2020-05-12 13:00:00","39055"
"Wayne","Ohio","186","42","0","2020-05-12 13:00:00","39169"
"Fairfield","Ohio","178","3","25","2020-05-12 13:00:00","39045"
"Licking","Ohio","164","7","31","2020-05-12 13:00:00","39089"
"Allen","Ohio","146","29","0","2020-05-12 13:00:00","39003"
"Clermont","Ohio","125","3","0","2020-05-12 13:00:00","39025"
"Richland","Ohio","121","2","14","2020-05-12 13:00:00","39139"
"Washington","Ohio","114","17","0","2020-05-12 13:00:00","39167"
"Clark","Ohio","98","3","0","2020-05-12 13:00:00","39023"
"Darke","Ohio","89","14","0","2020-05-12 13:00:00","39037"
"Morrow","Ohio","87","1","0","2020-05-12 13:00:00","39117"
"Madison","Ohio","84","3","0","2020-05-12 13:00:00","39097"
"Mercer","Ohio","84","1","4","2020-05-12 13:00:00","39107"
"Erie","Ohio","83","3","0","2020-05-12 13:00:00","39043"
"Crawford","Ohio","77","1","11","2020-05-12 13:00:00","39033"
"Putnam","Ohio","76","13","0","2020-05-12 13:00:00","39137"
"Greene","Ohio","63","5","0","2020-05-12 13:00:00","39057"
"Jefferson","Ohio","56","2","6","2020-05-12 13:00:00","39081"
"Ross","Ohio","53","1","0","2020-05-12 13:00:00","39141"
"Sandusky","Ohio","52","8","0","2020-05-12 13:00:00","39143"
"Ottawa","Ohio","47","2","0","2020-05-12 13:00:00","39123"
"Williams","Ohio","44","1","0","2020-05-12 13:00:00","39171"
"Auglaize","Ohio","43","3","0","2020-05-12 13:00:00","39011"
"Hancock","Ohio","39","1","0","2020-05-12 13:00:00","39063"
"Huron","Ohio","38","1","8","2020-05-12 13:00:00","39077"
"Clinton","Ohio","35","0","0","2020-05-12 13:00:00","39027"
"Shelby","Ohio","32","1","12","2020-05-12 13:00:00","39149"
"Fulton","Ohio","31","0","0","2020-05-12 13:00:00","39051"
"Hardin","Ohio","28","0","0","2020-05-12 13:00:00","39065"
"Preble","Ohio","28","1","0","2020-05-12 13:00:00","39135"
"Union","Ohio","28","0","0","2020-05-12 13:00:00","39159"
"Muskingum","Ohio","27","0","0","2020-05-12 13:00:00","39119"
"Defiance","Ohio","26","1","0","2020-05-12 13:00:00","39039"
"Wyandot","Ohio","26","2","0","2020-05-12 13:00:00","39175"
"Lawrence","Ohio","25","0","0","2020-05-12 13:00:00","39087"
"Carroll","Ohio","24","1","0","2020-05-12 13:00:00","39019"
"Fayette","Ohio","23","0","0","2020-05-12 13:00:00","39047"
"Logan","Ohio","23","0","0","2020-05-12 13:00:00","39091"
"Hocking","Ohio","22","1","0","2020-05-12 13:00:00","39073"
"Guernsey","Ohio","21","0","0","2020-05-12 13:00:00","39059"
"Knox","Ohio","20","1","0","2020-05-12 13:00:00","39083"
"Champaign","Ohio","19","1","0","2020-05-12 13:00:00","39021"
"Coshocton","Ohio","19","0","9","2020-05-12 13:00:00","39031"
"Monroe","Ohio","19","0","0","2020-05-12 13:00:00","39111"
"Brown","Ohio","17","1","0","2020-05-12 13:00:00","39015"
"Ashland","Ohio","15","0","0","2020-05-12 13:00:00","39005"
"Perry","Ohio","14","1","3","2020-05-12 13:00:00","39127"
"Seneca","Ohio","14","1","5","2020-05-12 13:00:00","39147"
"Scioto","Ohio","13","0","0","2020-05-12 13:00:00","39145"
"Highland","Ohio","12","1","4","2020-05-12 13:00:00","39071"
"Vinton","Ohio","12","0","0","2020-05-12 13:00:00","39163"
"Henry","Ohio","9","0","0","2020-05-12 13:00:00","39069"
"Paulding","Ohio","9","0","0","2020-05-12 13:00:00","39125"
"Gallia","Ohio","8","1","0","2020-05-12 13:00:00","39053"
"Holmes","Ohio","8","1","0","2020-05-12 13:00:00","39075"
"Jackson","Ohio","8","0","0","2020-05-12 13:00:00","39079"
"Adams","Ohio","6","0","3","2020-05-12 13:00:00","39001"
"Athens","Ohio","6","1","0","2020-05-12 13:00:00","39009"
"Harrison","Ohio","6","0","0","2020-05-12 13:00:00","39067"
"Morgan","Ohio","5","0","0","2020-05-12 13:00:00","39115"
"Noble","Ohio","5","0","0","2020-05-12 13:00:00","39121"
"Pike","Ohio","5","0","0","2020-05-12 13:00:00","39131"
"unknown","Ohio","5","0","0","2020-05-12 13:00:00","undefined"
"Meigs","Ohio","3","0","0","2020-05-12 13:00:00","39105"
"Van Wert","Ohio","3","0","2","2020-05-12 13:00:00","39161"
