"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Oklahoma","Oklahoma","954","43","690","2020-05-12 13:00:00","40109"
"Tulsa","Oklahoma","708","36","520","2020-05-12 13:00:00","40143"
"Cleveland","Oklahoma","456","32","364","2020-05-12 13:00:00","40027"
"Texas","Oklahoma","404","4","183","2020-05-12 13:00:00","40139"
"Washington","Oklahoma","301","29","226","2020-05-12 13:00:00","40147"
"Wagoner","Oklahoma","129","17","93","2020-05-12 13:00:00","40145"
"Comanche","Oklahoma","124","2","73","2020-05-12 13:00:00","40031"
"Canadian","Oklahoma","111","3","89","2020-05-12 13:00:00","40017"
"Caddo","Oklahoma","108","9","52","2020-05-12 13:00:00","40015"
"unknown","Oklahoma","108","5","1508","2020-05-12 13:00:00","undefined"
"Delaware","Oklahoma","93","16","71","2020-05-12 13:00:00","40041"
"Osage","Oklahoma","89","8","62","2020-05-12 13:00:00","40113"
"Mcclain","Oklahoma","85","2","33","2020-05-12 13:00:00","40087"
"Creek","Oklahoma","82","7","66","2020-05-12 13:00:00","40037"
"Adair","Oklahoma","72","3","54","2020-05-12 13:00:00","40001"
"Rogers","Oklahoma","70","5","57","2020-05-12 13:00:00","40131"
"Greer","Oklahoma","65","6","55","2020-05-12 13:00:00","40055"
"Pottawatomie","Oklahoma","54","4","38","2020-05-12 13:00:00","40125"
"Kay","Oklahoma","48","7","38","2020-05-12 13:00:00","40071"
"Grady","Oklahoma","46","2","38","2020-05-12 13:00:00","40051"
"Payne","Oklahoma","45","1","41","2020-05-12 13:00:00","40119"
"Pittsburg","Oklahoma","39","3","26","2020-05-12 13:00:00","40121"
"Ottawa","Oklahoma","34","1","25","2020-05-12 13:00:00","40115"
"Cherokee","Oklahoma","30","1","23","2020-05-12 13:00:00","40021"
"Muskogee","Oklahoma","29","6","20","2020-05-12 13:00:00","40101"
"Pawnee","Oklahoma","29","2","22","2020-05-12 13:00:00","40117"
"Mayes","Oklahoma","25","4","20","2020-05-12 13:00:00","40097"
"Garfield","Oklahoma","22","1","13","2020-05-12 13:00:00","40047"
"Nowata","Oklahoma","22","0","19","2020-05-12 13:00:00","40105"
"Stephens","Oklahoma","22","1","21","2020-05-12 13:00:00","40137"
"Seminole","Oklahoma","21","2","11","2020-05-12 13:00:00","40133"
"Beaver","Oklahoma","20","0","12","2020-05-12 13:00:00","40007"
"Jackson","Oklahoma","19","1","17","2020-05-12 13:00:00","40065"
"Tillman","Oklahoma","19","0","1","2020-05-12 13:00:00","40141"
"Logan","Oklahoma","18","1","13","2020-05-12 13:00:00","40083"
"Lincoln","Oklahoma","17","2","10","2020-05-12 13:00:00","40081"
"Okmulgee","Oklahoma","16","0","16","2020-05-12 13:00:00","40111"
"Garvin","Oklahoma","15","1","12","2020-05-12 13:00:00","40049"
"Sequoyah","Oklahoma","14","3","7","2020-05-12 13:00:00","40135"
"Craig","Oklahoma","13","0","11","2020-05-12 13:00:00","40035"
"Le Flore","Oklahoma","13","1","9","2020-05-12 13:00:00","40079"
"Bryan","Oklahoma","12","1","5","2020-05-12 13:00:00","40013"
"Custer","Oklahoma","11","0","11","2020-05-12 13:00:00","40039"
"Pontotoc","Oklahoma","10","2","8","2020-05-12 13:00:00","40123"
"Kingfisher","Oklahoma","8","0","8","2020-05-12 13:00:00","40073"
"Mccurtain","Oklahoma","8","0","8","2020-05-12 13:00:00","40089"
"Noble","Oklahoma","7","0","5","2020-05-12 13:00:00","40103"
"Beckham","Oklahoma","6","0","4","2020-05-12 13:00:00","40009"
"Carter","Oklahoma","6","1","1","2020-05-12 13:00:00","40019"
"Kiowa","Oklahoma","6","0","4","2020-05-12 13:00:00","40075"
"Cotton","Oklahoma","5","2","3","2020-05-12 13:00:00","40033"
"Haskell","Oklahoma","5","0","5","2020-05-12 13:00:00","40061"
"Latimer","Oklahoma","5","1","2","2020-05-12 13:00:00","40077"
"Major","Oklahoma","5","1","2","2020-05-12 13:00:00","40093"
"Mcintosh","Oklahoma","5","0","3","2020-05-12 13:00:00","40091"
"Blaine","Oklahoma","3","0","0","2020-05-12 13:00:00","40011"
"Choctaw","Oklahoma","3","0","1","2020-05-12 13:00:00","40023"
"Jefferson","Oklahoma","3","0","2","2020-05-12 13:00:00","40067"
"Johnston","Oklahoma","3","0","3","2020-05-12 13:00:00","40069"
"Love","Oklahoma","3","0","1","2020-05-12 13:00:00","40085"
"Woods","Oklahoma","3","0","2","2020-05-12 13:00:00","40151"
"Dewey","Oklahoma","2","0","2","2020-05-12 13:00:00","40043"
"Grant","Oklahoma","2","0","2","2020-05-12 13:00:00","40053"
"Marshall","Oklahoma","2","0","2","2020-05-12 13:00:00","40095"
"Murray","Oklahoma","2","0","1","2020-05-12 13:00:00","40099"
"Alfalfa","Oklahoma","1","0","1","2020-05-12 13:00:00","40003"
"Atoka","Oklahoma","1","0","1","2020-05-12 13:00:00","40005"
"Cimarron","Oklahoma","1","0","1","2020-05-12 13:00:00","40025"
"Harper","Oklahoma","1","0","1","2020-05-12 13:00:00","40059"
"Okfuskee","Oklahoma","1","0","1","2020-05-12 13:00:00","40107"
"Pushmataha","Oklahoma","1","0","1","2020-05-12 13:00:00","40127"
"Woodward","Oklahoma","1","0","1","2020-05-12 13:00:00","40153"
