"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Multnomah","Oregon","899","53","195","2020-05-12 13:00:00","41051"
"Marion","Oregon","694","23","200","2020-05-12 13:00:00","41047"
"Washington","Oregon","587","13","260","2020-05-12 13:00:00","41067"
"Clackamas","Oregon","268","9","99","2020-05-12 13:00:00","41005"
"Linn","Oregon","103","8","44","2020-05-12 13:00:00","41043"
"Polk","Oregon","87","6","23","2020-05-12 13:00:00","41053"
"Deschutes","Oregon","86","0","58","2020-05-12 13:00:00","41017"
"Umatilla","Oregon","85","2","21","2020-05-12 13:00:00","41059"
"Lane","Oregon","60","2","37","2020-05-12 13:00:00","41039"
"Benton","Oregon","49","5","15","2020-05-12 13:00:00","41003"
"Jackson","Oregon","49","0","38","2020-05-12 13:00:00","41029"
"Yamhill","Oregon","49","7","24","2020-05-12 13:00:00","41071"
"Klamath","Oregon","40","0","31","2020-05-12 13:00:00","41035"
"Clatsop","Oregon","33","0","5","2020-05-12 13:00:00","41007"
"Coos","Oregon","30","0","0","2020-05-12 13:00:00","41011"
"Douglas","Oregon","24","0","17","2020-05-12 13:00:00","41019"
"Jefferson","Oregon","24","0","3","2020-05-12 13:00:00","41031"
"Josephine","Oregon","24","1","9","2020-05-12 13:00:00","41033"
"Columbia","Oregon","15","0","8","2020-05-12 13:00:00","41009"
"Wasco","Oregon","15","1","7","2020-05-12 13:00:00","41065"
"Malheur","Oregon","14","0","5","2020-05-12 13:00:00","41045"
"Hood River","Oregon","13","0","3","2020-05-12 13:00:00","41027"
"Morrow","Oregon","12","0","2","2020-05-12 13:00:00","41049"
"Lincoln","Oregon","6","0","4","2020-05-12 13:00:00","41041"
"Tillamook","Oregon","6","0","6","2020-05-12 13:00:00","41057"
"Curry","Oregon","4","0","4","2020-05-12 13:00:00","41015"
"Union","Oregon","4","0","3","2020-05-12 13:00:00","41061"
"Baker","Oregon","1","0","0","2020-05-12 13:00:00","41001"
"Crook","Oregon","1","0","1","2020-05-12 13:00:00","41013"
"Grant","Oregon","1","0","1","2020-05-12 13:00:00","41023"
"Harney","Oregon","1","0","0","2020-05-12 13:00:00","41025"
"Sherman","Oregon","1","0","1","2020-05-12 13:00:00","41055"
"unknown","Oregon","1","0","553","2020-05-12 13:00:00","undefined"
"Wallowa","Oregon","1","0","1","2020-05-12 13:00:00","41063"
