"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Philadelphia","Pennsylvania","18313","893","0","2020-05-12 13:00:00","42101"
"Montgomery","Pennsylvania","5292","525","0","2020-05-12 13:00:00","42091"
"Delaware","Pennsylvania","5046","399","0","2020-05-12 13:00:00","42045"
"Bucks","Pennsylvania","4028","349","996","2020-05-12 13:00:00","42017"
"Berks","Pennsylvania","3417","171","29","2020-05-12 13:00:00","42011"
"Lehigh","Pennsylvania","3259","121","0","2020-05-12 13:00:00","42077"
"Northampton","Pennsylvania","2465","160","0","2020-05-12 13:00:00","42095"
"Luzerne","Pennsylvania","2426","112","0","2020-05-12 13:00:00","42079"
"Lancaster","Pennsylvania","2256","233","0","2020-05-12 13:00:00","42071"
"Chester","Pennsylvania","1884","187","0","2020-05-12 13:00:00","42029"
"Allegheny","Pennsylvania","1511","123","0","2020-05-12 13:00:00","42003"
"Monroe","Pennsylvania","1224","64","0","2020-05-12 13:00:00","42089"
"Lackawanna","Pennsylvania","1187","117","0","2020-05-12 13:00:00","42069"
"Dauphin","Pennsylvania","830","36","42","2020-05-12 13:00:00","42043"
"Lebanon","Pennsylvania","815","16","0","2020-05-12 13:00:00","42075"
"York","Pennsylvania","784","13","0","2020-05-12 13:00:00","42133"
"Franklin","Pennsylvania","513","12","0","2020-05-12 13:00:00","42055"
"Beaver","Pennsylvania","491","78","0","2020-05-12 13:00:00","42007"
"Schuylkill","Pennsylvania","453","13","0","2020-05-12 13:00:00","42107"
"Cumberland","Pennsylvania","451","33","0","2020-05-12 13:00:00","42041"
"Pike","Pennsylvania","433","21","0","2020-05-12 13:00:00","42103"
"Westmoreland","Pennsylvania","418","30","0","2020-05-12 13:00:00","42129"
"Columbia","Pennsylvania","328","28","0","2020-05-12 13:00:00","42037"
"Carbon","Pennsylvania","198","17","0","2020-05-12 13:00:00","42025"
"Butler","Pennsylvania","195","6","0","2020-05-12 13:00:00","42019"
"Huntingdon","Pennsylvania","187","0","0","2020-05-12 13:00:00","42061"
"Adams","Pennsylvania","167","5","0","2020-05-12 13:00:00","42001"
"Lycoming","Pennsylvania","132","4","0","2020-05-12 13:00:00","42081"
"Northumberland","Pennsylvania","125","0","0","2020-05-12 13:00:00","42097"
"Washington","Pennsylvania","124","4","0","2020-05-12 13:00:00","42125"
"Erie","Pennsylvania","123","2","53","2020-05-12 13:00:00","42049"
"Centre","Pennsylvania","119","2","0","2020-05-12 13:00:00","42027"
"Wayne","Pennsylvania","117","5","0","2020-05-12 13:00:00","42127"
"Juniata","Pennsylvania","93","1","0","2020-05-12 13:00:00","42067"
"Fayette","Pennsylvania","85","4","0","2020-05-12 13:00:00","42051"
"Susquehanna","Pennsylvania","81","13","0","2020-05-12 13:00:00","42115"
"Indiana","Pennsylvania","76","5","0","2020-05-12 13:00:00","42063"
"Mercer","Pennsylvania","75","2","0","2020-05-12 13:00:00","42085"
"Lawrence","Pennsylvania","70","7","0","2020-05-12 13:00:00","42073"
"Armstrong","Pennsylvania","55","5","0","2020-05-12 13:00:00","42005"
"Mifflin","Pennsylvania","52","0","0","2020-05-12 13:00:00","42087"
"Montour","Pennsylvania","49","0","0","2020-05-12 13:00:00","42093"
"Cambria","Pennsylvania","44","1","0","2020-05-12 13:00:00","42021"
"Clinton","Pennsylvania","41","0","0","2020-05-12 13:00:00","42035"
"Union","Pennsylvania","41","1","0","2020-05-12 13:00:00","42119"
"Bradford","Pennsylvania","38","2","0","2020-05-12 13:00:00","42015"
"Perry","Pennsylvania","35","1","0","2020-05-12 13:00:00","42099"
"Snyder","Pennsylvania","33","1","0","2020-05-12 13:00:00","42109"
"Somerset","Pennsylvania","32","1","0","2020-05-12 13:00:00","42111"
"Wyoming","Pennsylvania","30","3","0","2020-05-12 13:00:00","42131"
"Bedford","Pennsylvania","29","1","0","2020-05-12 13:00:00","42009"
"Blair","Pennsylvania","29","0","0","2020-05-12 13:00:00","42013"
"Greene","Pennsylvania","27","1","0","2020-05-12 13:00:00","42059"
"Clearfield","Pennsylvania","25","0","0","2020-05-12 13:00:00","42033"
"Clarion","Pennsylvania","23","1","0","2020-05-12 13:00:00","42031"
"Crawford","Pennsylvania","21","0","0","2020-05-12 13:00:00","42039"
"Tioga","Pennsylvania","16","1","0","2020-05-12 13:00:00","42117"
"Fulton","Pennsylvania","8","0","0","2020-05-12 13:00:00","42057"
"Forest","Pennsylvania","7","0","0","2020-05-12 13:00:00","42053"
"Jefferson","Pennsylvania","7","0","0","2020-05-12 13:00:00","42065"
"Venango","Pennsylvania","7","0","0","2020-05-12 13:00:00","42121"
"McKean","Pennsylvania","6","1","0","2020-05-12 13:00:00","42083"
"Elk","Pennsylvania","5","1","0","2020-05-12 13:00:00","42047"
"Potter","Pennsylvania","4","0","0","2020-05-12 13:00:00","42105"
"Cameron","Pennsylvania","2","0","0","2020-05-12 13:00:00","42023"
"Warren","Pennsylvania","2","0","0","2020-05-12 13:00:00","42123"
"Sullivan","Pennsylvania","1","0","0","2020-05-12 13:00:00","42113"
