"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Richland","South Carolina","1119","57","0","2020-05-12 13:00:00","45079"
"Greenville","South Carolina","946","45","0","2020-05-12 13:00:00","45045"
"Charleston","South Carolina","491","11","0","2020-05-12 13:00:00","45019"
"Lexington","South Carolina","484","24","0","2020-05-12 13:00:00","45063"
"Florence","South Carolina","444","23","0","2020-05-12 13:00:00","45041"
"Spartanburg","South Carolina","346","12","0","2020-05-12 13:00:00","45083"
"Sumter","South Carolina","290","13","0","2020-05-12 13:00:00","45085"
"Beaufort","South Carolina","280","12","0","2020-05-12 13:00:00","45013"
"Horry","South Carolina","267","18","0","2020-05-12 13:00:00","45051"
"Clarendon","South Carolina","265","27","0","2020-05-12 13:00:00","45027"
"Kershaw","South Carolina","257","12","0","2020-05-12 13:00:00","45055"
"York","South Carolina","242","5","0","2020-05-12 13:00:00","45091"
"Berkeley","South Carolina","195","15","0","2020-05-12 13:00:00","45015"
"Anderson","South Carolina","186","8","0","2020-05-12 13:00:00","45007"
"Darlington","South Carolina","179","3","0","2020-05-12 13:00:00","45031"
"Williamsburg","South Carolina","142","7","0","2020-05-12 13:00:00","45089"
"Aiken","South Carolina","119","6","0","2020-05-12 13:00:00","45003"
"Lee","South Carolina","115","8","0","2020-05-12 13:00:00","45061"
"Lancaster","South Carolina","111","5","0","2020-05-12 13:00:00","45057"
"Dorchester","South Carolina","108","3","0","2020-05-12 13:00:00","45035"
"Dillon","South Carolina","102","0","0","2020-05-12 13:00:00","45033"
"Orangeburg","South Carolina","101","2","0","2020-05-12 13:00:00","45075"
"Saluda","South Carolina","90","0","0","2020-05-12 13:00:00","45081"
"Fairfield","South Carolina","81","5","0","2020-05-12 13:00:00","45039"
"Chesterfield","South Carolina","80","1","0","2020-05-12 13:00:00","45025"
"Pickens","South Carolina","73","1","0","2020-05-12 13:00:00","45077"
"Greenwood","South Carolina","63","0","0","2020-05-12 13:00:00","45047"
"Marlboro","South Carolina","59","1","0","2020-05-12 13:00:00","45069"
"Georgetown","South Carolina","51","3","0","2020-05-12 13:00:00","45043"
"Marion","South Carolina","49","3","0","2020-05-12 13:00:00","45067"
"Laurens","South Carolina","48","2","0","2020-05-12 13:00:00","45059"
"Chester","South Carolina","40","0","0","2020-05-12 13:00:00","45023"
"Edgefield","South Carolina","39","2","0","2020-05-12 13:00:00","45037"
"Oconee","South Carolina","37","0","0","2020-05-12 13:00:00","45073"
"Abbeville","South Carolina","34","0","0","2020-05-12 13:00:00","45001"
"Barnwell","South Carolina","33","0","0","2020-05-12 13:00:00","45011"
"Colleton","South Carolina","32","4","0","2020-05-12 13:00:00","45029"
"Newberry","South Carolina","31","1","0","2020-05-12 13:00:00","45071"
"Union","South Carolina","31","0","0","2020-05-12 13:00:00","45087"
"Hampton","South Carolina","28","1","0","2020-05-12 13:00:00","45049"
"Allendale","South Carolina","26","3","0","2020-05-12 13:00:00","45005"
"Jasper","South Carolina","25","1","0","2020-05-12 13:00:00","45053"
"Cherokee","South Carolina","22","0","0","2020-05-12 13:00:00","45021"
"Bamberg","South Carolina","16","0","0","2020-05-12 13:00:00","45009"
"Calhoun","South Carolina","8","1","0","2020-05-12 13:00:00","45017"
"McCormick","South Carolina","7","1","0","2020-05-12 13:00:00","45065"
