"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Minnehaha","South Dakota","2952","29","1771","2020-05-12 13:00:00","46099"
"Lincoln","South Dakota","191","0","130","2020-05-12 13:00:00","46083"
"Brown","South Dakota","127","0","49","2020-05-12 13:00:00","46013"
"Union","South Dakota","53","0","27","2020-05-12 13:00:00","46127"
"Yankton","South Dakota","30","0","24","2020-05-12 13:00:00","46135"
"Pennington","South Dakota","27","1","10","2020-05-12 13:00:00","46103"
"Beadle","South Dakota","21","2","19","2020-05-12 13:00:00","46005"
"Turner","South Dakota","18","0","16","2020-05-12 13:00:00","46125"
"Codington","South Dakota","15","0","15","2020-05-12 13:00:00","46029"
"Hughes","South Dakota","15","0","10","2020-05-12 13:00:00","46065"
"Brookings","South Dakota","14","0","14","2020-05-12 13:00:00","46011"
"Moody","South Dakota","14","0","5","2020-05-12 13:00:00","46101"
"Roberts","South Dakota","14","0","8","2020-05-12 13:00:00","46109"
"Day","South Dakota","10","0","4","2020-05-12 13:00:00","46037"
"Todd","South Dakota","10","0","4","2020-05-12 13:00:00","46121"
"Clay","South Dakota","9","0","6","2020-05-12 13:00:00","46027"
"Lawrence","South Dakota","9","0","9","2020-05-12 13:00:00","46081"
"Stanley","South Dakota","8","0","7","2020-05-12 13:00:00","46117"
"Davison","South Dakota","7","0","5","2020-05-12 13:00:00","46035"
"Jerauld","South Dakota","6","1","5","2020-05-12 13:00:00","46073"
"Charles Mix","South Dakota","5","0","4","2020-05-12 13:00:00","46023"
"Lake","South Dakota","5","0","4","2020-05-12 13:00:00","46079"
"Walworth","South Dakota","5","0","5","2020-05-12 13:00:00","46129"
"Bon Homme","South Dakota","4","0","4","2020-05-12 13:00:00","46009"
"McCook","South Dakota","4","1","3","2020-05-12 13:00:00","46087"
"Meade","South Dakota","4","0","1","2020-05-12 13:00:00","46093"
"Spink","South Dakota","4","0","3","2020-05-12 13:00:00","46115"
"Grant","South Dakota","3","0","0","2020-05-12 13:00:00","46051"
"Hutchinson","South Dakota","3","0","3","2020-05-12 13:00:00","46067"
"Lyman","South Dakota","3","0","2","2020-05-12 13:00:00","46085"
"Sanborn","South Dakota","3","0","3","2020-05-12 13:00:00","46111"
"Aurora","South Dakota","2","0","1","2020-05-12 13:00:00","46003"
"Clark","South Dakota","2","0","1","2020-05-12 13:00:00","46025"
"Fall River","South Dakota","2","0","1","2020-05-12 13:00:00","46047"
"Hamlin","South Dakota","2","0","2","2020-05-12 13:00:00","46057"
"unknown","South Dakota","2","0","54","2020-05-12 13:00:00","undefined"
"Brule","South Dakota","1","0","0","2020-05-12 13:00:00","46015"
"Buffalo","South Dakota","1","0","1","2020-05-12 13:00:00","46017"
"Corson","South Dakota","1","0","1","2020-05-12 13:00:00","46031"
"Deuel","South Dakota","1","0","1","2020-05-12 13:00:00","46039"
"Douglas","South Dakota","1","0","1","2020-05-12 13:00:00","46043"
"Faulk","South Dakota","1","0","1","2020-05-12 13:00:00","46049"
"Hand","South Dakota","1","0","1","2020-05-12 13:00:00","46059"
"Hyde","South Dakota","1","0","1","2020-05-12 13:00:00","46069"
"Marshall","South Dakota","1","0","1","2020-05-12 13:00:00","46091"
"McPherson","South Dakota","1","0","1","2020-05-12 13:00:00","46089"
"Miner","South Dakota","1","0","1","2020-05-12 13:00:00","46097"
"Oglala Lakota","South Dakota","1","0","1","2020-05-12 13:00:00","46102"
"Sully","South Dakota","1","0","1","2020-05-12 13:00:00","46119"
"Ziebach","South Dakota","1","0","0","2020-05-12 13:00:00","46137"
