"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Davidson","Tennessee","3465","32","1886","2020-05-12 13:00:00","47037"
"Shelby","Tennessee","3372","70","1877","2020-05-12 13:00:00","47157"
"Trousdale","Tennessee","1363","2","20","2020-05-12 13:00:00","47169"
"Rutherford","Tennessee","745","14","281","2020-05-12 13:00:00","47149"
"Sumner","Tennessee","699","38","343","2020-05-12 13:00:00","47165"
"Bledsoe","Tennessee","604","0","552","2020-05-12 13:00:00","47007"
"Williamson","Tennessee","445","10","307","2020-05-12 13:00:00","47187"
"Out-of-state","Tennessee","395","6","157","2020-05-12 13:00:00","undefined"
"Tipton","Tennessee","373","2","83","2020-05-12 13:00:00","47167"
"Wilson","Tennessee","302","7","172","2020-05-12 13:00:00","47189"
"Knox","Tennessee","280","5","227","2020-05-12 13:00:00","47093"
"Hamilton","Tennessee","240","13","108","2020-05-12 13:00:00","47065"
"Bedford","Tennessee","238","3","144","2020-05-12 13:00:00","47003"
"Robertson","Tennessee","220","0","140","2020-05-12 13:00:00","47147"
"unknown","Tennessee","209","1","1337","2020-05-12 13:00:00","undefined"
"Montgomery","Tennessee","180","2","87","2020-05-12 13:00:00","47125"
"Putnam","Tennessee","178","5","95","2020-05-12 13:00:00","47141"
"Hardeman","Tennessee","171","0","16","2020-05-12 13:00:00","47069"
"Madison","Tennessee","156","1","128","2020-05-12 13:00:00","47113"
"McMinn","Tennessee","122","8","32","2020-05-12 13:00:00","47107"
"Dickson","Tennessee","86","0","48","2020-05-12 13:00:00","47043"
"Cumberland","Tennessee","85","1","56","2020-05-12 13:00:00","47035"
"Fayette","Tennessee","80","1","60","2020-05-12 13:00:00","47047"
"Blount","Tennessee","72","3","56","2020-05-12 13:00:00","47009"
"Bradley","Tennessee","72","1","51","2020-05-12 13:00:00","47011"
"Cheatham","Tennessee","66","0","31","2020-05-12 13:00:00","47021"
"Sevier","Tennessee","65","2","48","2020-05-12 13:00:00","47155"
"Washington","Tennessee","65","0","55","2020-05-12 13:00:00","47179"
"Lake","Tennessee","61","0","49","2020-05-12 13:00:00","47095"
"Macon","Tennessee","59","3","27","2020-05-12 13:00:00","47111"
"Sullivan","Tennessee","57","1","50","2020-05-12 13:00:00","47163"
"Gibson","Tennessee","56","1","40","2020-05-12 13:00:00","47053"
"Maury","Tennessee","55","0","37","2020-05-12 13:00:00","47119"
"Coffee","Tennessee","54","0","28","2020-05-12 13:00:00","47031"
"Hickman","Tennessee","52","0","23","2020-05-12 13:00:00","47081"
"Greene","Tennessee","46","2","41","2020-05-12 13:00:00","47059"
"Dyer","Tennessee","43","0","34","2020-05-12 13:00:00","47045"
"Loudon","Tennessee","43","0","39","2020-05-12 13:00:00","47105"
"Franklin","Tennessee","41","1","31","2020-05-12 13:00:00","47051"
"Lauderdale","Tennessee","36","0","19","2020-05-12 13:00:00","47097"
"Anderson","Tennessee","33","1","27","2020-05-12 13:00:00","47001"
"Hawkins","Tennessee","31","2","28","2020-05-12 13:00:00","47073"
"Monroe","Tennessee","31","1","17","2020-05-12 13:00:00","47123"
"Grundy","Tennessee","30","1","24","2020-05-12 13:00:00","47061"
"Marion","Tennessee","29","1","24","2020-05-12 13:00:00","47115"
"DeKalb","Tennessee","28","0","16","2020-05-12 13:00:00","47041"
"Haywood","Tennessee","27","1","20","2020-05-12 13:00:00","47075"
"Jefferson","Tennessee","27","0","18","2020-05-12 13:00:00","47089"
"Marshall","Tennessee","24","1","20","2020-05-12 13:00:00","47117"
"Smith","Tennessee","24","1","18","2020-05-12 13:00:00","47159"
"Weakley","Tennessee","24","0","22","2020-05-12 13:00:00","47183"
"Carroll","Tennessee","22","1","17","2020-05-12 13:00:00","47017"
"Hamblen","Tennessee","22","2","16","2020-05-12 13:00:00","47063"
"Meigs","Tennessee","22","0","8","2020-05-12 13:00:00","47121"
"Lawrence","Tennessee","21","0","17","2020-05-12 13:00:00","47099"
"Cocke","Tennessee","19","0","16","2020-05-12 13:00:00","47029"
"Carter","Tennessee","18","1","13","2020-05-12 13:00:00","47019"
"Campbell","Tennessee","17","1","16","2020-05-12 13:00:00","47013"
"Lincoln","Tennessee","16","0","11","2020-05-12 13:00:00","47103"
"Obion","Tennessee","16","1","11","2020-05-12 13:00:00","47131"
"White","Tennessee","16","0","8","2020-05-12 13:00:00","47185"
"Henry","Tennessee","15","0","13","2020-05-12 13:00:00","47079"
"Overton","Tennessee","14","0","8","2020-05-12 13:00:00","47133"
"Cannon","Tennessee","13","0","8","2020-05-12 13:00:00","47015"
"Perry","Tennessee","13","0","10","2020-05-12 13:00:00","47135"
"Chester","Tennessee","12","0","10","2020-05-12 13:00:00","47023"
"Crockett","Tennessee","12","0","7","2020-05-12 13:00:00","47033"
"Humphreys","Tennessee","12","1","6","2020-05-12 13:00:00","47085"
"Morgan","Tennessee","12","0","6","2020-05-12 13:00:00","47129"
"Polk","Tennessee","12","0","8","2020-05-12 13:00:00","47139"
"Scott","Tennessee","12","0","12","2020-05-12 13:00:00","47151"
"Warren","Tennessee","12","0","8","2020-05-12 13:00:00","47177"
"McNairy","Tennessee","11","0","11","2020-05-12 13:00:00","47109"
"Henderson","Tennessee","10","0","8","2020-05-12 13:00:00","47077"
"Jackson","Tennessee","10","0","7","2020-05-12 13:00:00","47087"
"Giles","Tennessee","9","0","7","2020-05-12 13:00:00","47055"
"Hardin","Tennessee","8","0","4","2020-05-12 13:00:00","47071"
"Roane","Tennessee","8","0","8","2020-05-12 13:00:00","47145"
"Benton","Tennessee","7","1","5","2020-05-12 13:00:00","47005"
"Claiborne","Tennessee","7","0","5","2020-05-12 13:00:00","47025"
"Grainger","Tennessee","7","0","5","2020-05-12 13:00:00","47057"
"Sequatchie","Tennessee","7","0","6","2020-05-12 13:00:00","47153"
"Stewart","Tennessee","7","0","2","2020-05-12 13:00:00","47161"
"Clay","Tennessee","6","0","5","2020-05-12 13:00:00","47027"
"Fentress","Tennessee","6","0","3","2020-05-12 13:00:00","47049"
"Houston","Tennessee","6","0","4","2020-05-12 13:00:00","47083"
"Rhea","Tennessee","6","0","5","2020-05-12 13:00:00","47143"
"Johnson","Tennessee","5","0","3","2020-05-12 13:00:00","47091"
"Decatur","Tennessee","4","0","4","2020-05-12 13:00:00","47039"
"Wayne","Tennessee","4","0","3","2020-05-12 13:00:00","47181"
"Moore","Tennessee","3","0","3","2020-05-12 13:00:00","47127"
"Unicoi","Tennessee","3","0","1","2020-05-12 13:00:00","47171"
"Union","Tennessee","3","0","3","2020-05-12 13:00:00","47173"
"Lewis","Tennessee","2","0","2","2020-05-12 13:00:00","47101"
"Van Buren","Tennessee","2","0","2","2020-05-12 13:00:00","47175"
"Pickett","Tennessee","1","0","0","2020-05-12 13:00:00","47137"
