"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Dallas","Texas","6123","145","2294","2020-05-12 13:00:00","48113"
"Houston city","Texas","4760","100","1046","2020-05-12 13:00:00","undefined"
"Tarrant","Texas","3695","103","780","2020-05-12 13:00:00","48439"
"Harris","Texas","3416","79","1943","2020-05-12 13:00:00","48201"
"Travis","Texas","2171","65","720","2020-05-12 13:00:00","48453"
"Bexar","Texas","1901","56","867","2020-05-12 13:00:00","48029"
"Fort Bend","Texas","1385","38","236","2020-05-12 13:00:00","48157"
"El Paso","Texas","1340","33","685","2020-05-12 13:00:00","48141"
"Potter","Texas","1124","15","158","2020-05-12 13:00:00","48375"
"Collin","Texas","939","29","605","2020-05-12 13:00:00","48085"
"Denton","Texas","922","25","440","2020-05-12 13:00:00","48121"
"Montgomery","Texas","724","17","255","2020-05-12 13:00:00","48339"
"Galveston","Texas","685","29","400","2020-05-12 13:00:00","48167"
"Brazoria","Texas","661","9","338","2020-05-12 13:00:00","48039"
"Lubbock","Texas","592","49","308","2020-05-12 13:00:00","48303"
"Moore","Texas","526","9","201","2020-05-12 13:00:00","48341"
"Cameron","Texas","512","22","265","2020-05-12 13:00:00","48061"
"Webb","Texas","435","17","209","2020-05-12 13:00:00","48479"
"Hidalgo","Texas","389","8","218","2020-05-12 13:00:00","48215"
"Jefferson","Texas","381","25","213","2020-05-12 13:00:00","48245"
"Williamson","Texas","380","14","217","2020-05-12 13:00:00","48491"
"Randall","Texas","358","3","105","2020-05-12 13:00:00","48381"
"Walker","Texas","342","2","132","2020-05-12 13:00:00","48471"
"Brazos","Texas","271","18","120","2020-05-12 13:00:00","48041"
"Bell","Texas","220","3","131","2020-05-12 13:00:00","48027"
"Ellis","Texas","211","11","105","2020-05-12 13:00:00","48139"
"Nacogdoches","Texas","211","9","100","2020-05-12 13:00:00","48347"
"Coryell","Texas","208","2","19","2020-05-12 13:00:00","48099"
"Taylor","Texas","208","6","178","2020-05-12 13:00:00","48441"
"Hays","Texas","203","2","117","2020-05-12 13:00:00","48209"
"Harrison","Texas","186","9","58","2020-05-12 13:00:00","48203"
"Smith","Texas","174","3","118","2020-05-12 13:00:00","48423"
"Washington","Texas","164","18","32","2020-05-12 13:00:00","48477"
"Panola","Texas","162","8","61","2020-05-12 13:00:00","48365"
"Shelby","Texas","152","5","81","2020-05-12 13:00:00","48419"
"Victoria","Texas","150","5","104","2020-05-12 13:00:00","48469"
"Nueces","Texas","132","3","78","2020-05-12 13:00:00","48355"
"Kaufman","Texas","120","1","60","2020-05-12 13:00:00","48257"
"Gregg","Texas","118","0","54","2020-05-12 13:00:00","48183"
"Hardin","Texas","115","3","86","2020-05-12 13:00:00","48199"
"Bastrop","Texas","110","2","35","2020-05-12 13:00:00","48021"
"Rockwall","Texas","104","5","44","2020-05-12 13:00:00","48397"
"Johnson","Texas","103","4","50","2020-05-12 13:00:00","48251"
"Midland","Texas","101","11","35","2020-05-12 13:00:00","48329"
"Angelina","Texas","100","0","19","2020-05-12 13:00:00","48005"
"Ector","Texas","99","4","70","2020-05-12 13:00:00","48135"
"Guadalupe","Texas","97","0","63","2020-05-12 13:00:00","48187"
"Jones","Texas","95","0","11","2020-05-12 13:00:00","48253"
"McLennan","Texas","94","4","85","2020-05-12 13:00:00","48309"
"Grayson","Texas","91","0","35","2020-05-12 13:00:00","48181"
"Lamar","Texas","89","4","8","2020-05-12 13:00:00","48277"
"Orange","Texas","85","2","57","2020-05-12 13:00:00","48361"
"Tom Green","Texas","84","1","55","2020-05-12 13:00:00","48451"
"Bowie","Texas","76","2","57","2020-05-12 13:00:00","48037"
"Gray","Texas","75","0","32","2020-05-12 13:00:00","48179"
"Wichita","Texas","75","2","52","2020-05-12 13:00:00","48485"
"Liberty","Texas","66","1","33","2020-05-12 13:00:00","48291"
"Comal","Texas","65","6","48","2020-05-12 13:00:00","48091"
"Matagorda","Texas","64","3","51","2020-05-12 13:00:00","48321"
"Deaf Smith","Texas","59","0","18","2020-05-12 13:00:00","48117"
