"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Salt Lake","Utah","3365","45","0","2020-05-12 13:00:00","49035"
"Utah","Utah","1358","11","0","2020-05-12 13:00:00","49049"
"Summit","Utah","386","0","0","2020-05-12 13:00:00","49043"
"Davis","Utah","338","2","0","2020-05-12 13:00:00","49011"
"Weber-Morgan","Utah","197","2","93","2020-05-12 13:00:00","undefined"
"Wasatch","Utah","183","1","0","2020-05-12 13:00:00","49051"
"Southwest Utah","Utah","170","3","0","2020-05-12 13:00:00","undefined"
"San Juan","Utah","149","3","0","2020-05-12 13:00:00","49037"
"Bear River","Utah","81","1","0","2020-05-12 13:00:00","undefined"
"Tooele","Utah","77","0","0","2020-05-12 13:00:00","49045"
"Central Utah","Utah","28","0","0","2020-05-12 13:00:00","undefined"
"TriCounty","Utah","16","0","1","2020-05-12 13:00:00","undefined"
"Southeast Utah","Utah","14","0","11","2020-05-12 13:00:00","undefined"
"unknown","Utah","4","8","1778","2020-05-12 13:00:00","undefined"
