"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Chittenden","Vermont","432","37","0","2020-05-12 13:00:00","50007"
"Franklin","Vermont","99","5","0","2020-05-12 13:00:00","50011"
"Windham","Vermont","74","3","0","2020-05-12 13:00:00","50025"
"Addison","Vermont","62","2","0","2020-05-12 13:00:00","50001"
"Bennington","Vermont","60","1","0","2020-05-12 13:00:00","50003"
"Rutland","Vermont","49","1","0","2020-05-12 13:00:00","50021"
"Windsor","Vermont","45","2","0","2020-05-12 13:00:00","50027"
"Washington","Vermont","38","1","0","2020-05-12 13:00:00","50023"
"Lamoille","Vermont","26","1","0","2020-05-12 13:00:00","50015"
"unknown","Vermont","15","1","777","2020-05-12 13:00:00","undefined"
"Caledonia","Vermont","14","0","0","2020-05-12 13:00:00","50005"
"Orleans","Vermont","9","0","0","2020-05-12 13:00:00","50019"
"Orange","Vermont","8","0","0","2020-05-12 13:00:00","50017"
"Grand Isle","Vermont","4","0","0","2020-05-12 13:00:00","50013"
"Essex","Vermont","2","0","0","2020-05-12 13:00:00","50009"
