"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Fairfax","Virginia","6200","243","0","2020-05-12 13:00:00","51059"
"Prince William","Virginia","2991","53","0","2020-05-12 13:00:00","51153"
"Arlington","Virginia","1399","60","0","2020-05-12 13:00:00","51013"
"Alexandria","Virginia","1224","30","0","2020-05-12 13:00:00","51510"
"Loudoun","Virginia","1195","30","0","2020-05-12 13:00:00","51107"
"Henrico","Virginia","1083","110","0","2020-05-12 13:00:00","51087"
"Chesterfield","Virginia","789","26","0","2020-05-12 13:00:00","51041"
"Harrisonburg","Virginia","583","21","0","2020-05-12 13:00:00","51660"
"Richmond City","Virginia","546","18","0","2020-05-12 13:00:00","51760"
"Accomack","Virginia","524","7","0","2020-05-12 13:00:00","51001"
"Virginia Beach","Virginia","505","17","2","2020-05-12 13:00:00","51810"
"Manassas City","Virginia","428","3","0","2020-05-12 13:00:00","51683"
"Stafford","Virginia","384","2","0","2020-05-12 13:00:00","51179"
"Rockingham","Virginia","360","2","0","2020-05-12 13:00:00","51165"
"Chesapeake","Virginia","340","9","0","2020-05-12 13:00:00","51550"
"Norfolk","Virginia","308","5","0","2020-05-12 13:00:00","51710"
"Culpeper","Virginia","276","5","0","2020-05-12 13:00:00","51047"
"Spotsylvania","Virginia","257","4","0","2020-05-12 13:00:00","51177"
"Shenandoah","Virginia","250","6","0","2020-05-12 13:00:00","51171"
"Buckingham","Virginia","246","1","0","2020-05-12 13:00:00","51029"
"Suffolk","Virginia","216","19","0","2020-05-12 13:00:00","51800"
"Portsmouth","Virginia","208","8","0","2020-05-12 13:00:00","51740"
"Richmond","Virginia","190","3","0","2020-05-12 13:00:00","51159"
"Fauquier","Virginia","180","4","0","2020-05-12 13:00:00","51061"
"James City","Virginia","173","15","0","2020-05-12 13:00:00","51095"
"Hanover","Virginia","171","16","0","2020-05-12 13:00:00","51085"
"Northampton","Virginia","170","5","0","2020-05-12 13:00:00","51131"
"Frederick","Virginia","166","2","0","2020-05-12 13:00:00","51069"
"Newport News","Virginia","164","10","0","2020-05-12 13:00:00","51700"
"Hampton","Virginia","146","3","0","2020-05-12 13:00:00","51650"
"Manassas Park","Virginia","135","2","0","2020-05-12 13:00:00","51685"
"Mecklenburg","Virginia","134","10","0","2020-05-12 13:00:00","51117"
"Southampton","Virginia","131","1","0","2020-05-12 13:00:00","51175"
"Page","Virginia","129","12","0","2020-05-12 13:00:00","51139"
"Albemarle","Virginia","123","4","0","2020-05-12 13:00:00","51003"
"Isle of Wight","Virginia","112","3","0","2020-05-12 13:00:00","51093"
"Roanoke City","Virginia","106","1","0","2020-05-12 13:00:00","51770"
"Warren","Virginia","86","1","0","2020-05-12 13:00:00","51187"
"Goochland","Virginia","81","5","0","2020-05-12 13:00:00","51075"
"Fluvanna","Virginia","79","6","0","2020-05-12 13:00:00","51065"
"Roanoke","Virginia","79","0","0","2020-05-12 13:00:00","51161"
"Lynchburg","Virginia","69","1","0","2020-05-12 13:00:00","51680"
"Charlottesville","Virginia","68","2","0","2020-05-12 13:00:00","51540"
"Colonial Heights","Virginia","66","6","0","2020-05-12 13:00:00","51570"
"Montgomery","Virginia","66","1","0","2020-05-12 13:00:00","51121"
"Prince Edward","Virginia","66","2","0","2020-05-12 13:00:00","51147"
"Winchester","Virginia","66","0","0","2020-05-12 13:00:00","51840"
"Augusta","Virginia","64","1","0","2020-05-12 13:00:00","51015"
"Fredericksburg","Virginia","61","0","0","2020-05-12 13:00:00","51630"
"York","Virginia","57","2","0","2020-05-12 13:00:00","51199"
"Louisa","Virginia","56","0","0","2020-05-12 13:00:00","51109"
"Galax","Virginia","55","0","0","2020-05-12 13:00:00","51640"
"Emporia","Virginia","49","3","0","2020-05-12 13:00:00","51595"
"Washington","Virginia","49","3","0","2020-05-12 13:00:00","51191"
"Petersburg","Virginia","48","2","0","2020-05-12 13:00:00","51730"
"Greensville","Virginia","47","7","0","2020-05-12 13:00:00","51081"
"Orange","Virginia","47","0","0","2020-05-12 13:00:00","51137"
"Prince George","Virginia","45","0","0","2020-05-12 13:00:00","51149"
"King George","Virginia","42","4","0","2020-05-12 13:00:00","51099"
"Williamsburg","Virginia","42","3","0","2020-05-12 13:00:00","51830"
"Danville","Virginia","39","1","0","2020-05-12 13:00:00","51590"
"Fairfax City","Virginia","39","3","0","2020-05-12 13:00:00","51600"
"Hopewell","Virginia","39","0","0","2020-05-12 13:00:00","51670"
"Bedford","Virginia","38","1","0","2020-05-12 13:00:00","51019"
"Caroline","Virginia","38","2","0","2020-05-12 13:00:00","51033"
"Westmoreland","Virginia","38","0","0","2020-05-12 13:00:00","51193"
"Falls Church","Virginia","37","4","0","2020-05-12 13:00:00","51610"
"Carroll","Virginia","34","0","0","2020-05-12 13:00:00","51035"
"Sussex","Virginia","34","1","0","2020-05-12 13:00:00","51183"
"Salem","Virginia","32","0","0","2020-05-12 13:00:00","51775"
"Botetourt","Virginia","30","3","0","2020-05-12 13:00:00","51023"
"Dinwiddie","Virginia","28","0","0","2020-05-12 13:00:00","51053"
"Franklin","Virginia","28","0","0","2020-05-12 13:00:00","51067"
"Gloucester","Virginia","27","1","0","2020-05-12 13:00:00","51073"
"Franklin City","Virginia","26","1","0","2020-05-12 13:00:00","51620"
"New Kent","Virginia","26","1","0","2020-05-12 13:00:00","51127"
"Henry","Virginia","25","1","0","2020-05-12 13:00:00","51089"
"Essex","Virginia","24","0","0","2020-05-12 13:00:00","51057"
"Appomattox","Virginia","22","0","0","2020-05-12 13:00:00","51011"
"Halifax","Virginia","22","0","0","2020-05-12 13:00:00","51083"
"Wise","Virginia","22","1","0","2020-05-12 13:00:00","51195"
"Charles City","Virginia","21","1","0","2020-05-12 13:00:00","51036"
"Madison","Virginia","21","1","0","2020-05-12 13:00:00","51113"
"Waynesboro","Virginia","21","0","0","2020-05-12 13:00:00","51820"
"Brunswick","Virginia","19","0","0","2020-05-12 13:00:00","51025"
"Powhatan","Virginia","18","0","0","2020-05-12 13:00:00","51145"
"Staunton","Virginia","18","0","0","2020-05-12 13:00:00","51790"
"Amelia","Virginia","17","1","0","2020-05-12 13:00:00","51007"
"Pittsylvania","Virginia","17","1","0","2020-05-12 13:00:00","51143"
"Amherst","Virginia","16","0","0","2020-05-12 13:00:00","51009"
"Buchanan","Virginia","16","0","0","2020-05-12 13:00:00","51027"
"Clarke","Virginia","16","0","0","2020-05-12 13:00:00","51043"
"Grayson","Virginia","15","0","0","2020-05-12 13:00:00","51077"
"Greene","Virginia","15","1","0","2020-05-12 13:00:00","51079"
"Nottoway","Virginia","14","0","0","2020-05-12 13:00:00","51135"
"Campbell","Virginia","13","0","0","2020-05-12 13:00:00","51031"
"Cumberland","Virginia","13","0","0","2020-05-12 13:00:00","51049"
"Smyth","Virginia","13","0","0","2020-05-12 13:00:00","51173"
"Wythe","Virginia","13","1","0","2020-05-12 13:00:00","51197"
"King William","Virginia","12","1","0","2020-05-12 13:00:00","51101"
"Charlotte","Virginia","11","0","0","2020-05-12 13:00:00","51037"
"Lee","Virginia","10","0","0","2020-05-12 13:00:00","51105"
"Middlesex","Virginia","10","0","0","2020-05-12 13:00:00","51119"
"Nelson","Virginia","10","0","0","2020-05-12 13:00:00","51125"
"Northumberland","Virginia","10","1","0","2020-05-12 13:00:00","51133"
"Rappahannock","Virginia","10","0","0","2020-05-12 13:00:00","51157"
"Pulaski","Virginia","9","0","0","2020-05-12 13:00:00","51155"
"Rockbridge","Virginia","9","0","0","2020-05-12 13:00:00","51163"
"Buena Vista City","Virginia","8","0","0","2020-05-12 13:00:00","51530"
"Giles","Virginia","8","0","0","2020-05-12 13:00:00","51071"
"Poquoson","Virginia","7","0","0","2020-05-12 13:00:00","51735"
"Scott","Virginia","7","2","0","2020-05-12 13:00:00","51169"
"Tazewell","Virginia","7","0","0","2020-05-12 13:00:00","51185"
"Alleghany","Virginia","6","0","0","2020-05-12 13:00:00","51005"
"Lancaster","Virginia","6","0","0","2020-05-12 13:00:00","51103"
"Lunenburg","Virginia","6","0","0","2020-05-12 13:00:00","51111"
"Russell","Virginia","6","0","0","2020-05-12 13:00:00","51167"
"unknown","Virginia","6","140","3271","2020-05-12 13:00:00","undefined"
"King and Queen","Virginia","5","0","0","2020-05-12 13:00:00","51097"
"Lexington","Virginia","5","0","0","2020-05-12 13:00:00","51678"
"Mathews","Virginia","5","0","0","2020-05-12 13:00:00","51115"
"Surry","Virginia","5","1","0","2020-05-12 13:00:00","51181"
"Craig","Virginia","4","0","0","2020-05-12 13:00:00","51045"
"Patrick","Virginia","4","0","0","2020-05-12 13:00:00","51141"
"Bristol","Virginia","3","0","0","2020-05-12 13:00:00","51520"
"Floyd","Virginia","3","0","0","2020-05-12 13:00:00","51063"
"Radford","Virginia","3","0","0","2020-05-12 13:00:00","51750"
"Highland","Virginia","2","0","0","2020-05-12 13:00:00","51091"
"Martinsville","Virginia","2","0","0","2020-05-12 13:00:00","51690"
"Norton","Virginia","2","0","0","2020-05-12 13:00:00","51720"
"Covington","Virginia","1","0","0","2020-05-12 13:00:00","51580"
