"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"King","Washington","7068","506","0","2020-05-12 13:00:00","53033"
"Snohomish","Washington","2971","119","1981","2020-05-12 13:00:00","53061"
"Yakima","Washington","1864","62","0","2020-05-12 13:00:00","53077"
"Pierce","Washington","1712","58","0","2020-05-12 13:00:00","53053"
"Benton and Franklin","Washington","1239","68","0","2020-05-12 13:00:00","undefined"
"unknown","Washington","619","0","0","2020-05-12 13:00:00","undefined"
"Skagit","Washington","402","14","81","2020-05-12 13:00:00","53057"
"Clark","Washington","386","24","0","2020-05-12 13:00:00","53011"
"Spokane","Washington","384","29","0","2020-05-12 13:00:00","53063"
"Whatcom","Washington","338","34","0","2020-05-12 13:00:00","53073"
"Grant","Washington","186","3","76","2020-05-12 13:00:00","53025"
"Island","Washington","181","9","0","2020-05-12 13:00:00","53029"
"Kitsap","Washington","156","2","0","2020-05-12 13:00:00","53035"
"Chelan","Washington","152","6","0","2020-05-12 13:00:00","53007"
"Thurston","Washington","121","1","82","2020-05-12 13:00:00","53067"
"Douglas","Washington","114","2","0","2020-05-12 13:00:00","53017"
"Walla Walla","Washington","103","2","15","2020-05-12 13:00:00","53071"
"Cowlitz","Washington","66","0","19","2020-05-12 13:00:00","53015"
"Adams","Washington","49","0","0","2020-05-12 13:00:00","53001"
"Kittitas","Washington","40","0","12","2020-05-12 13:00:00","53037"
"Okanogan","Washington","31","2","21","2020-05-12 13:00:00","53047"
"Lewis","Washington","30","3","0","2020-05-12 13:00:00","53041"
"Jefferson","Washington","29","0","0","2020-05-12 13:00:00","53031"
"Mason","Washington","28","1","0","2020-05-12 13:00:00","53045"
"Klickitat","Washington","22","3","13","2020-05-12 13:00:00","53039"
"Clallam","Washington","19","0","17","2020-05-12 13:00:00","53009"
"Asotin","Washington","18","2","0","2020-05-12 13:00:00","53003"
"San Juan","Washington","15","0","0","2020-05-12 13:00:00","53055"
"Whitman","Washington","15","0","0","2020-05-12 13:00:00","53075"
"Grays Harbor","Washington","13","0","0","2020-05-12 13:00:00","53027"
"Pacific","Washington","9","0","0","2020-05-12 13:00:00","53049"
"Stevens","Washington","9","1","0","2020-05-12 13:00:00","53065"
"Wahkiakum","Washington","4","0","0","2020-05-12 13:00:00","53069"
"Skamania","Washington","3","0","0","2020-05-12 13:00:00","53059"
"Lincoln","Washington","2","0","1","2020-05-12 13:00:00","53043"
"Pend Oreille","Washington","2","0","0","2020-05-12 13:00:00","53051"
"Columbia","Washington","1","0","1","2020-05-12 13:00:00","53013"
"Ferry","Washington","1","0","0","2020-05-12 13:00:00","53019"
