"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Berkeley","West Virginia","190","5","0","2020-05-12 13:00:00","54003"
"Kanawha","West Virginia","185","11","0","2020-05-12 13:00:00","54039"
"Jackson","West Virginia","136","15","0","2020-05-12 13:00:00","54035"
"Monongalia","West Virginia","113","5","0","2020-05-12 13:00:00","54061"
"Wayne","West Virginia","93","7","0","2020-05-12 13:00:00","54099"
"Jefferson","West Virginia","88","1","0","2020-05-12 13:00:00","54037"
"Cabell","West Virginia","53","0","0","2020-05-12 13:00:00","54011"
"Marion","West Virginia","46","2","0","2020-05-12 13:00:00","54049"
"Wood","West Virginia","43","2","0","2020-05-12 13:00:00","54107"
"Ohio","West Virginia","38","1","0","2020-05-12 13:00:00","54069"
"Fayette","West Virginia","35","0","0","2020-05-12 13:00:00","54019"
"Harrison","West Virginia","34","1","0","2020-05-12 13:00:00","54033"
"Putnam","West Virginia","28","0","0","2020-05-12 13:00:00","54079"
"Mineral","West Virginia","23","0","0","2020-05-12 13:00:00","54057"
"Marshall","West Virginia","22","0","0","2020-05-12 13:00:00","54051"
"Hardy","West Virginia","16","0","0","2020-05-12 13:00:00","54031"
"Morgan","West Virginia","16","0","0","2020-05-12 13:00:00","54065"
"Preston","West Virginia","14","0","0","2020-05-12 13:00:00","54077"
"Logan","West Virginia","13","1","0","2020-05-12 13:00:00","54045"
"Mason","West Virginia","13","0","0","2020-05-12 13:00:00","54053"
"Hancock","West Virginia","12","0","0","2020-05-12 13:00:00","54029"
"Mercer","West Virginia","11","0","0","2020-05-12 13:00:00","54055"
"Raleigh","West Virginia","10","0","0","2020-05-12 13:00:00","54081"
"Boone","West Virginia","9","0","0","2020-05-12 13:00:00","54005"
"Hampshire","West Virginia","9","1","0","2020-05-12 13:00:00","54027"
"Gilmer","West Virginia","8","0","0","2020-05-12 13:00:00","54021"
"Greenbrier","West Virginia","8","0","0","2020-05-12 13:00:00","54025"
"Nicholas","West Virginia","8","0","0","2020-05-12 13:00:00","54067"
"Roane","West Virginia","8","0","0","2020-05-12 13:00:00","54087"
"Taylor","West Virginia","8","0","0","2020-05-12 13:00:00","54091"
"Barbour","West Virginia","7","1","0","2020-05-12 13:00:00","54001"
"McDowell","West Virginia","6","0","0","2020-05-12 13:00:00","54047"
"Monroe","West Virginia","6","0","0","2020-05-12 13:00:00","54063"
"Wetzel","West Virginia","6","0","0","2020-05-12 13:00:00","54103"
"Lincoln","West Virginia","5","0","0","2020-05-12 13:00:00","54043"
"Pendleton","West Virginia","5","0","0","2020-05-12 13:00:00","54071"
"Randolph","West Virginia","5","0","0","2020-05-12 13:00:00","54083"
"Upshur","West Virginia","5","0","0","2020-05-12 13:00:00","54097"
"Lewis","West Virginia","4","0","0","2020-05-12 13:00:00","54041"
"Tucker","West Virginia","4","0","0","2020-05-12 13:00:00","54093"
"unknown","West Virginia","4","20","775","2020-05-12 13:00:00","undefined"
"Brooke","West Virginia","3","0","0","2020-05-12 13:00:00","54009"
"Grant","West Virginia","3","0","0","2020-05-12 13:00:00","54023"
"Tyler","West Virginia","3","0","0","2020-05-12 13:00:00","54095"
"Wirt","West Virginia","3","0","0","2020-05-12 13:00:00","54105"
"Braxton","West Virginia","2","0","0","2020-05-12 13:00:00","54007"
"Clay","West Virginia","2","0","0","2020-05-12 13:00:00","54015"
"Mingo","West Virginia","2","1","0","2020-05-12 13:00:00","54059"
"Pleasants","West Virginia","2","0","0","2020-05-12 13:00:00","54073"
"Pocahontas","West Virginia","2","0","0","2020-05-12 13:00:00","54075"
"Ritchie","West Virginia","1","0","0","2020-05-12 13:00:00","54085"
"Summers","West Virginia","1","0","0","2020-05-12 13:00:00","54089"
"Wyoming","West Virginia","1","0","0","2020-05-12 13:00:00","54109"
