"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Milwaukee","Wisconsin","4022","231","0","2020-05-12 13:00:00","55079"
"Brown","Wisconsin","1924","18","0","2020-05-12 13:00:00","55009"
"Racine","Wisconsin","724","16","0","2020-05-12 13:00:00","55101"
"Kenosha","Wisconsin","693","16","0","2020-05-12 13:00:00","55059"
"Dane","Wisconsin","474","22","1","2020-05-12 13:00:00","55025"
"Waukesha","Wisconsin","409","23","120","2020-05-12 13:00:00","55133"
"Rock","Wisconsin","361","13","0","2020-05-12 13:00:00","55105"
"Walworth","Wisconsin","240","10","18","2020-05-12 13:00:00","55127"
"Washington","Wisconsin","118","4","0","2020-05-12 13:00:00","55131"
"Outagamie","Wisconsin","117","2","0","2020-05-12 13:00:00","55087"
"Ozaukee","Wisconsin","107","9","0","2020-05-12 13:00:00","55089"
"Fond du Lac","Wisconsin","101","3","0","2020-05-12 13:00:00","55039"
"Winnebago","Wisconsin","100","1","0","2020-05-12 13:00:00","55139"
"Dodge","Wisconsin","74","1","0","2020-05-12 13:00:00","55027"
"Sauk","Wisconsin","72","4","0","2020-05-12 13:00:00","55111"
"Grant","Wisconsin","68","9","0","2020-05-12 13:00:00","55043"
"Sheboygan","Wisconsin","66","2","27","2020-05-12 13:00:00","55117"
"Eau Claire","Wisconsin","57","0","0","2020-05-12 13:00:00","55035"
"Jefferson","Wisconsin","51","2","0","2020-05-12 13:00:00","55055"
"Calumet","Wisconsin","41","1","0","2020-05-12 13:00:00","55015"
"Green","Wisconsin","33","0","0","2020-05-12 13:00:00","55045"
"Columbia","Wisconsin","32","1","0","2020-05-12 13:00:00","55021"
"La Crosse","Wisconsin","32","0","26","2020-05-12 13:00:00","55063"
"Chippewa","Wisconsin","30","0","0","2020-05-12 13:00:00","55017"
"Kewaunee","Wisconsin","29","1","0","2020-05-12 13:00:00","55061"
"St. Croix","Wisconsin","29","0","0","2020-05-12 13:00:00","55109"
"Oconto","Wisconsin","28","0","0","2020-05-12 13:00:00","55083"
"Marathon","Wisconsin","25","1","0","2020-05-12 13:00:00","55073"
"Shawano","Wisconsin","25","0","0","2020-05-12 13:00:00","55115"
"Clark","Wisconsin","24","4","0","2020-05-12 13:00:00","55019"
"Door","Wisconsin","22","3","0","2020-05-12 13:00:00","55029"
"Juneau","Wisconsin","21","1","0","2020-05-12 13:00:00","55057"
"Marinette","Wisconsin","21","1","0","2020-05-12 13:00:00","55075"
"Manitowoc","Wisconsin","19","1","0","2020-05-12 13:00:00","55071"
"Crawford","Wisconsin","17","0","0","2020-05-12 13:00:00","55023"
"Monroe","Wisconsin","15","1","13","2020-05-12 13:00:00","55081"
"Dunn","Wisconsin","14","0","0","2020-05-12 13:00:00","55033"
"Jackson","Wisconsin","14","1","0","2020-05-12 13:00:00","55053"
"Lafayette","Wisconsin","13","0","0","2020-05-12 13:00:00","55065"
"Pierce","Wisconsin","13","0","0","2020-05-12 13:00:00","55093"
"Richland","Wisconsin","13","2","0","2020-05-12 13:00:00","55103"
"Waupaca","Wisconsin","13","1","0","2020-05-12 13:00:00","55135"
"Barron","Wisconsin","11","0","0","2020-05-12 13:00:00","55005"
"Douglas","Wisconsin","11","0","0","2020-05-12 13:00:00","55031"
"Iowa","Wisconsin","10","0","0","2020-05-12 13:00:00","55049"
"Green Lake","Wisconsin","8","0","0","2020-05-12 13:00:00","55047"
"Oneida","Wisconsin","7","0","0","2020-05-12 13:00:00","55085"
"Portage","Wisconsin","7","0","0","2020-05-12 13:00:00","55097"
"Buffalo","Wisconsin","5","1","0","2020-05-12 13:00:00","55011"
"Polk","Wisconsin","5","0","0","2020-05-12 13:00:00","55095"
"Trempealeau","Wisconsin","5","0","0","2020-05-12 13:00:00","55121"
"Adams","Wisconsin","4","1","0","2020-05-12 13:00:00","55001"
"Forest","Wisconsin","4","0","0","2020-05-12 13:00:00","55041"
"Rusk","Wisconsin","4","0","0","2020-05-12 13:00:00","55107"
"Sawyer","Wisconsin","4","0","0","2020-05-12 13:00:00","55113"
"Vilas","Wisconsin","4","0","0","2020-05-12 13:00:00","55125"
"Waushara","Wisconsin","4","0","0","2020-05-12 13:00:00","55137"
"Wood","Wisconsin","4","0","0","2020-05-12 13:00:00","55141"
"Bayfield","Wisconsin","3","1","0","2020-05-12 13:00:00","55007"
"Marquette","Wisconsin","3","1","0","2020-05-12 13:00:00","55077"
"unknown","Wisconsin","3","2","4971","2020-05-12 13:00:00","undefined"
"Vernon","Wisconsin","3","0","0","2020-05-12 13:00:00","55123"
"Ashland","Wisconsin","2","0","0","2020-05-12 13:00:00","55003"
"Florence","Wisconsin","2","0","0","2020-05-12 13:00:00","55037"
"Iron","Wisconsin","2","1","0","2020-05-12 13:00:00","55051"
"Menominee","Wisconsin","2","0","0","2020-05-12 13:00:00","55078"
"Lincoln","Wisconsin","1","0","0","2020-05-12 13:00:00","55069"
"Price","Wisconsin","1","0","0","2020-05-12 13:00:00","55099"
"Washburn","Wisconsin","1","0","0","2020-05-12 13:00:00","55129"
