"County","State","Confirmed","Deaths","Recovered","Last Update","FIPS"
"Fremont","Wyoming","191","0","0","2020-05-12 13:00:00","56013"
"Laramie","Wyoming","166","0","0","2020-05-12 13:00:00","56021"
"Teton","Wyoming","98","0","0","2020-05-12 13:00:00","56039"
"Natrona","Wyoming","49","0","0","2020-05-12 13:00:00","56025"
"Campbell","Wyoming","29","0","0","2020-05-12 13:00:00","56005"
"Converse","Wyoming","23","0","0","2020-05-12 13:00:00","56009"
"Sweetwater","Wyoming","20","0","0","2020-05-12 13:00:00","56037"
"Sheridan","Wyoming","16","0","0","2020-05-12 13:00:00","56033"
"Johnson","Wyoming","15","1","0","2020-05-12 13:00:00","56019"
"Lincoln","Wyoming","11","0","0","2020-05-12 13:00:00","56023"
"Uinta","Wyoming","9","0","0","2020-05-12 13:00:00","56041"
"Albany","Wyoming","8","0","0","2020-05-12 13:00:00","56001"
"Carbon","Wyoming","5","0","0","2020-05-12 13:00:00","56007"
"Crook","Wyoming","5","0","0","2020-05-12 13:00:00","56011"
"Goshen","Wyoming","5","0","0","2020-05-12 13:00:00","56015"
"Big Horn","Wyoming","3","0","0","2020-05-12 13:00:00","56003"
"Hot Springs","Wyoming","3","0","0","2020-05-12 13:00:00","56017"
"Sublette","Wyoming","3","0","0","2020-05-12 13:00:00","56035"
"Niobrara","Wyoming","2","0","0","2020-05-12 13:00:00","56027"
"Park","Wyoming","1","0","0","2020-05-12 13:00:00","56029"
