,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,01001,Autauga,6.0,9.0,13.0,20.882987328,8.7216859511,2220:1,7108.0,41.0,3.6290788612,12.071202076,11.7,76.879477172
1,01003,Baldwin,2.0,5.0,6.0,17.50913436,11.333404467,1372:1,4041.0,44.0,3.6153821564,10.205617322,10.3,78.450258368
2,01005,Barbour,45.0,54.0,41.0,29.591801708,12.242792457,3159:1,6209.0,37.0,5.1713842112,7.5187969925,11.5,75.34193493
3,01007,Bibb,34.0,32.0,18.0,19.439724157,10.206252586,2061:1,5961.0,38.0,3.9718277335,8.3818598906,11.2,73.571820279
4,01009,Blount,24.0,15.0,45.0,21.745292814,13.360759494,4463:1,4060.0,39.0,3.5111573222,8.4463827073,11.7,74.145825897
5,01011,Bullock,56.0,63.0,58.0,30.999101851,11.440376122,3436:1,6632.0,28.0,4.6901172529,7.7602095257,11.2,73.530894789
6,01013,Butler,64.0,57.0,56.0,27.910673184,11.186009539,3965:1,9203.0,35.0,4.7902176352,9.079445145,10.6,72.918309203
7,01015,Calhoun,42.0,39.0,40.0,23.107733221,11.929167524,1572:1,6581.0,38.0,4.6528321587,14.469004951,11.8,73.039108585
8,01017,Chambers,44.0,37.0,35.0,23.995473603,11.938076809,2408:1,5622.0,42.0,3.9080911233,17.79728888,11.4,74.291076031
9,01019,Cherokee,37.0,7.0,33.0,20.698470599,11.172649917,2586:1,5521.0,41.0,3.5708139735,8.5083343002,11.4,73.998833761
10,01021,Chilton,15.0,33.0,52.0,21.185462911,13.759705874,4896:1,6148.0,42.0,3.6095707537,15.204120998,11.2,74.926750554
11,01023,Choctaw,52.0,44.0,23.0,24.863531285,11.342078708,2589:1,4968.0,34.0,5.5389859395,19.312475859,10.1,74.053901547
12,01025,Clarke,49.0,43.0,43.0,25.23508481,11.926366291,1853:1,6299.0,28.0,7.473449587,16.193995765,10.4,74.787459811
13,01027,Clay,25.0,41.0,48.0,23.795917414,13.883338091,2673:1,5249.0,43.0,3.9074291464,10.473554275,10.6,75.237156152
14,01029,Cleburne,21.0,19.0,63.0,19.284407812,13.34452371,3725:1,6416.0,34.0,4.2486505311,8.0536912752,11.0,74.766028857
15,01031,Coffee,4.0,10.0,17.0,19.425826811,11.99236659,1853:1,4863.0,37.0,3.9486957775,14.650884836,10.9,76.710348557
16,01033,Colbert,20.0,14.0,9.0,20.914454347,9.683862525,1557:1,6414.0,45.0,4.61776593,16.880733945,10.7,74.665950403
17,01035,Conecuh,53.0,56.0,61.0,28.608747789,12.033455306,2494:1,12070.0,44.0,5.2291944815,7.217900393,10.3,75.25023311
18,01037,Coosa,55.0,48.0,39.0,24.919103283,13.026201416,,4956.0,39.0,4.1819012797,10.228752092,11.0,73.819513253
19,01039,Covington,38.0,24.0,51.0,22.668806251,12.103617686,1952:1,9181.0,39.0,4.5783441122,12.671195945,10.5,73.994503819
20,01041,Crenshaw,18.0,45.0,59.0,22.146936238,12.267525036,6936:1,7057.0,36.0,4.0806605272,10.092999784,10.7,74.659042119
21,01043,Cullman,16.0,22.0,21.0,21.786493693,12.658246768,1799:1,6442.0,41.0,3.2804652392,11.721346142,11.6,74.539745814
22,01045,Dale,23.0,42.0,12.0,23.433107031,9.6988639182,5470:1,5120.0,41.0,4.2047713718,10.563523341,11.0,75.05295351
23,01047,Dallas,65.0,65.0,24.0,29.826897822,10.372407688,1352:1,7183.0,34.0,6.5477792732,11.985209741,11.1,71.185071339
24,01049,DeKalb,29.0,23.0,65.0,25.958981492,17.319033941,2387:1,5868.0,40.0,3.8169205749,8.5175307539,11.3,74.458450235
25,01051,Elmore,8.0,12.0,15.0,18.633862824,8.6557164469,3889:1,6334.0,39.0,3.4475345963,10.896580433,11.9,75.911969236
26,01053,Escambia,50.0,55.0,62.0,26.054891893,14.428344867,2881:1,7412.0,35.0,4.5707915273,14.420380805,10.2,72.907359326
27,01055,Etowah,39.0,34.0,46.0,21.483864058,12.46599573,1238:1,7421.0,36.0,4.1024689066,15.765656172,11.5,73.034731692
28,01057,Fayette,19.0,29.0,11.0,22.19934392,11.459956373,1029:1,5911.0,45.0,4.1190990435,7.8940976439,10.6,74.586536263
29,01059,Franklin,32.0,20.0,66.0,25.368021469,15.3034504,2250:1,8122.0,38.0,3.7316059987,9.5253214796,10.5,74.646282685
30,01061,Geneva,28.0,49.0,54.0,23.084669296,14.07272901,3303:1,6845.0,46.0,3.9259054465,8.7051966239,10.6,73.794841437
31,01063,Greene,61.0,59.0,55.0,33.985155643,11.446345257,2083:1,7121.0,30.0,6.7300916138,9.6038415366,10.5,74.796604716
