,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,04001,Apache,15.0,15.0,15.0,25.951201969,19.17271189,3113:1,5244.0,38.0,10.065327849,3.4913275424,5.7,72.923211086
1,04003,Cochise,8.0,6.0,6.0,18.069448591,10.456419859,1835:1,3324.0,33.0,5.6033270382,8.4164288692,7.5,78.75697821
2,04005,Coconino,9.0,5.0,4.0,15.884514142,13.11674912,1183:1,2370.0,39.0,5.4914832064,9.3765982838,5.6,78.980005501
3,04007,Gila,13.0,11.0,11.0,18.669721673,13.477246208,2140:1,3501.0,38.0,5.888093689,9.7194444964,5.8,74.06521565
4,04009,Graham,10.0,13.0,5.0,18.914279632,10.018351118,1703:1,2766.0,38.0,5.1350988036,4.8043559494,6.0,77.315999195
5,04011,Greenlee,3.0,9.0,7.0,17.865416233,8.6147821831,1891:1,2571.0,29.0,4.2523364486,5.2882072977,5.7,81.186807841
6,04012,La Paz,12.0,7.0,14.0,22.005996712,19.76077339,3434:1,4251.0,27.0,6.2318191989,4.3687199651,5.7,76.866540704
7,04013,Maricopa,2.0,1.0,3.0,15.622654225,12.081175995,1421:1,3050.0,47.0,4.1402073804,5.3029544933,10.6,80.379854898
8,04015,Mohave,11.0,12.0,12.0,18.912272625,13.362976831,2031:1,4000.0,38.0,5.774677559,5.6467181467,5.1,75.682292666
9,04017,Navajo,14.0,14.0,10.0,24.284684904,15.120113587,1602:1,3413.0,39.0,7.7614660821,6.7917324425,5.7,74.442247892
10,04019,Pima,4.0,3.0,1.0,17.160990512,10.86259278,1185:1,2929.0,47.0,4.4889472937,6.3064093652,7.9,79.566414097
11,04021,Pinal,5.0,8.0,8.0,20.091217453,11.027964753,6235:1,3118.0,42.0,5.0231180141,3.4167214814,11.7,82.236621291
12,04023,Santa Cruz,6.0,2.0,9.0,26.579217588,13.993283224,2009:1,2337.0,34.0,9.3298835705,4.1114861941,7.6,83.55016695
13,04025,Yavapai,7.0,4.0,2.0,15.400511422,12.924381971,1607:1,2246.0,42.0,4.4679884111,8.8969531223,5.1,78.945901109
14,04027,Yuma,1.0,10.0,13.0,22.726376366,14.199480988,2118:1,3604.0,39.0,17.041869802,4.5775631945,8.0,82.926694812
