,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,05001,Arkansas,52.0,49.0,44.0,23.123405671,8.9244531414,1797:1,6767.0,41.0,3.3958103638,13.357822675,10.0,74.104079317
1,05003,Ashley,49.0,57.0,57.0,24.022563465,9.2027221078,2535:1,7550.0,44.0,5.4666146037,13.804664004,9.6,74.877804053
2,05005,Baxter,7.0,1.0,2.0,18.946243722,8.3837602026,1334:1,4453.0,47.0,4.118325943,9.6723491718,9.7,77.062365179
3,05007,Benton,1.0,2.0,7.0,16.233360057,10.426607884,1654:1,3144.0,51.0,2.8808666409,8.5617724371,10.4,79.857051954
4,05009,Boone,9.0,26.0,6.0,21.217831003,8.6164801628,1335:1,3839.0,46.0,3.5380928355,10.700623311,9.4,76.812035712
5,05011,Bradley,60.0,59.0,62.0,28.442057219,11.556740466,1811:1,7001.0,50.0,4.4933516735,11.966126657,9.8,73.654388065
6,05013,Calhoun,53.0,29.0,28.0,23.975528912,8.3375570198,2624:1,4115.0,35.0,3.9101497504,13.340956737,9.7,73.695576481
7,05015,Carroll,25.0,5.0,39.0,22.022769181,12.77965783,1747:1,3898.0,42.0,3.2122794525,13.240767249,9.4,76.207376847
8,05017,Chicot,71.0,66.0,24.0,30.052423775,8.9078233927,967:1,7061.0,26.0,6.8862275449,8.4618277548,10.0,73.779280375
9,05019,Clark,32.0,22.0,4.0,23.742513205,7.2066968781,2229:1,4252.0,49.0,3.8204592902,15.251424214,10.1,75.638718913
10,05021,Clay,42.0,50.0,68.0,22.553831362,8.6579335473,7460:1,6965.0,31.0,4.3873179092,14.745308311,10.8,73.195824757
11,05023,Cleburne,23.0,6.0,20.0,20.06844482,9.1217696014,1789:1,4667.0,44.0,4.5345541748,15.170871926,10.1,75.71160271
12,05025,Cleveland,36.0,20.0,41.0,22.0305959,8.8858195212,8202:1,5769.0,44.0,3.9067231981,7.3152889539,9.8,74.505046371
13,05027,Columbia,48.0,51.0,19.0,26.520424178,8.2783138649,1688:1,5337.0,46.0,4.7714381048,13.967071571,9.8,75.559910047
14,05029,Conway,30.0,31.0,27.0,22.154074123,8.5021946967,1494:1,4012.0,27.0,4.3669187607,14.343086632,10.2,74.916093065
15,05031,Craighead,18.0,48.0,3.0,22.717330723,7.9404688636,864:1,5917.0,49.0,3.0635624538,8.402184568,10.8,76.832532885
16,05033,Crawford,16.0,21.0,29.0,20.108698295,9.8941616995,2520:1,4683.0,44.0,3.5814005435,7.6195313988,10.3,76.376156601
17,05035,Crittenden,70.0,70.0,15.0,25.870442919,7.9887379116,2868:1,4890.0,39.0,4.3089393022,9.2307692308,10.1,72.888538347
18,05037,Cross,64.0,45.0,46.0,23.667438515,8.8189674274,2409:1,6557.0,40.0,4.1661067061,17.197414458,10.2,72.67955455
19,05039,Dallas,44.0,35.0,34.0,22.724611879,8.0890538033,2464:1,4796.0,32.0,4.411241551,20.289463006,9.9,74.645275664
20,05041,Desha,73.0,71.0,73.0,31.97991039,9.5309168443,2353:1,8575.0,38.0,4.5379386368,17.001020061,10.0,72.200352515
21,05043,Drew,56.0,47.0,60.0,25.466292777,8.4215625216,1427:1,10206.0,43.0,5.0019337373,10.783415108,9.8,74.678673126
22,05045,Faulkner,5.0,40.0,8.0,20.651997468,7.9798883958,2027:1,3918.0,48.0,3.2793285184,9.0575314992,10.6,76.736489996
23,05047,Franklin,59.0,37.0,42.0,21.811707435,9.4372475275,3578:1,5538.0,48.0,3.5916824197,10.620458357,9.8,73.964128144
24,05049,Fulton,33.0,8.0,53.0,22.386930549,9.5882620564,1722:1,6902.0,38.0,3.9958376691,6.6362505185,9.7,75.566080075
25,05051,Garland,39.0,15.0,5.0,19.986587977,9.8247843604,1134:1,4743.0,54.0,4.0468661911,11.048267753,9.9,74.963188555
26,05053,Grant,8.0,12.0,13.0,20.228554588,6.0703517588,9083:1,4963.0,54.0,3.1126066579,9.9091659785,10.0,76.603883437
27,05055,Greene,28.0,32.0,12.0,20.034219944,7.0139960619,1733:1,5782.0,45.0,3.4978486459,11.098040086,10.8,74.289973508
28,05057,Hempstead,37.0,58.0,49.0,26.767114539,10.76914357,3644:1,5911.0,41.0,3.5627775535,10.521019167,10.1,76.121942286
29,05059,Hot Spring,46.0,44.0,21.0,20.161343444,7.6132015306,4796:1,5591.0,54.0,3.7661687987,10.424733425,10.2,73.652496668
30,05061,Howard,45.0,65.0,66.0,26.394572298,11.598574171,2246:1,5791.0,45.0,3.4616683553,13.355097195,10.0,74.277667672
31,05063,Independence,19.0,19.0,16.0,22.985249998,8.1407267798,1293:1,5283.0,44.0,4.0808778202,13.865187713,10.2,76.266663674
32,05065,Izard,34.0,25.0,63.0,20.424630773,10.390170295,2737:1,6526.0,38.0,5.5452865065,13.15212626,9.8,75.168099698
33,05067,Jackson,62.0,69.0,45.0,25.456038602,8.7250021095,2448:1,6959.0,49.0,6.1527825786,10.504814707,10.2,72.896082561
34,05069,Jefferson,69.0,64.0,11.0,25.737283487,7.2345256191,1471:1,4960.0,41.0,5.2875365211,14.323952832,10.4,73.28620647
35,05071,Johnson,22.0,33.0,25.0,24.322376912,10.567369301,1770:1,4187.0,48.0,4.5284825275,8.2856282013,9.8,76.03319228
36,05073,Lafayette,47.0,62.0,67.0,25.293873212,10.590988882,3431:1,6579.0,30.0,5.2462955547,10.201107549,9.7,75.449649416
37,05075,Lawrence,41.0,23.0,64.0,20.94174644,8.2793095368,3305:1,7665.0,25.0,3.9224263634,9.6822995461,10.4,73.389894994
38,05077,Lee,66.0,74.0,59.0,29.158042656,8.5520442778,9176:1,7217.0,34.0,4.8337332876,11.987794246,10.1,75.745810396
39,05079,Lincoln,29.0,56.0,56.0,24.863479648,9.3666708973,6823:1,6493.0,42.0,4.3058648849,8.0609702477,10.0,74.657056107
40,05081,Little River,35.0,52.0,32.0,24.336815437,8.9756801319,4120:1,5371.0,46.0,5.2689152233,12.946031232,10.1,74.533449393
41,05083,Logan,38.0,41.0,50.0,22.278881981,9.6222131672,5431:1,5631.0,33.0,4.0347468282,12.890157444,9.9,75.188287763
42,05085,Lonoke,10.0,30.0,23.0,18.911733535,7.1151847302,6075:1,5364.0,49.0,3.2109414232,8.5050344317,10.7,74.93233795
43,05087,Madison,50.0,38.0,58.0,21.945368576,11.462059517,5446:1,5305.0,43.0,2.8683005656,4.2842279209,9.2,73.347963366
44,05089,Marion,31.0,9.0,48.0,19.774073123,9.7206703911,8214:1,5431.0,35.0,4.1346449431,7.9133187241,9.4,74.594639269
45,05091,Miller,55.0,60.0,18.0,22.721385795,8.0762711864,1375:1,5478.0,43.0,4.816955684,10.003637686,10.1,73.86976633
46,05093,Mississippi,72.0,72.0,51.0,27.270440358,7.565356673,2342:1,8228.0,43.0,5.6824671616,12.334258403,10.7,71.590958423
47,05095,Monroe,75.0,63.0,54.0,28.112733004,8.4918094521,2362:1,6706.0,26.0,4.3335761107,9.8800282287,10.1,68.2494289
48,05097,Montgomery,4.0,4.0,71.0,21.744151884,11.429461227,4460:1,4727.0,29.0,4.8089591568,5.6060096423,9.5,77.299616811
49,05099,Nevada,54.0,55.0,37.0,25.589410117,8.3602771363,2776:1,5380.0,39.0,3.5427622474,9.6073015492,10.0,74.678201754
50,05101,Newton,13.0,7.0,31.0,21.745638421,9.6335078534,,2774.0,27.0,3.3816425121,5.1098620337,8.9,77.350640186
51,05103,Ouachita,63.0,67.0,14.0,27.010479833,6.9505055881,1989:1,5116.0,48.0,4.6540235777,19.272666331,9.9,74.102179555
52,05105,Perry,14.0,10.0,30.0,20.414403409,8.8549247938,10348:1,3981.0,43.0,4.1666666667,7.7309625048,10.0,76.163386704
53,05107,Phillips,74.0,75.0,52.0,32.867584003,7.3102602534,1857:1,7250.0,25.0,6.1440677966,11.307344389,10.2,71.764671134
