,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,06001,Alameda,7.0,6.0,11.0,12.412219044,5.7827935577,908:1,3298.0,44.0,2.9999469474,6.4755079095,10.4,82.87623703
1,06003,Alpine,33.0,44.0,44.0,16.46323334,7.5669383003,1120:0,2480.0,21.0,4.5703839122,0.0,5.6,
2,06005,Amador,25.0,19.0,14.0,13.102499807,6.1959071423,1486:1,3115.0,46.0,4.0051679587,7.7667892093,8.9,80.381028572
3,06007,Butte,43.0,42.0,28.0,17.448755904,7.1636527881,1626:1,4656.0,39.0,4.9585248072,7.7629593448,8.9,77.646220562
4,06009,Calaveras,23.0,22.0,23.0,12.329144758,7.3307759688,2284:1,3050.0,40.0,3.9576600628,8.5395226626,9.0,79.52590973
5,06011,Colusa,30.0,37.0,53.0,19.415265469,10.728094538,3115:1,3534.0,43.0,12.927340687,5.044714515,8.7,79.852589192
6,06013,Contra Costa,10.0,8.0,13.0,12.300484401,5.8956173288,970:1,3379.0,45.0,3.1514249783,5.621213851,11.6,82.392027357
7,06015,Del Norte,45.0,56.0,24.0,17.683363319,6.2334416396,1616:1,2869.0,36.0,5.5114948298,4.0043684019,8.5,76.502126341
8,06017,El Dorado,17.0,15.0,12.0,12.034088656,5.4030715273,1227:1,3277.0,45.0,3.5702977432,5.9263335573,9.3,81.942203041
9,06019,Fresno,48.0,41.0,39.0,23.79711945,8.7343786523,1490:1,4172.0,44.0,7.4555093866,5.2160464188,15.3,78.924969785
10,06021,Glenn,35.0,38.0,58.0,18.473347161,10.980544077,5619:1,5716.0,37.0,6.5341576023,7.4749056738,9.1,77.882197792
11,06023,Humboldt,47.0,49.0,36.0,15.683096182,8.8795523313,1440:1,2855.0,37.0,3.5619655068,8.9942524533,8.8,76.955787424
12,06025,Imperial,29.0,45.0,48.0,24.612959002,7.9044018727,4252:1,3679.0,31.0,18.091619168,4.4303451294,13.5,81.662205635
13,06027,Inyo,50.0,27.0,19.0,14.576148574,8.9622985488,901:1,2288.0,40.0,3.8624641834,7.7665594142,7.3,78.079912175
14,06029,Kern,52.0,57.0,54.0,22.520319051,8.5992791008,2021:1,4914.0,38.0,7.9755140221,4.7026208154,19.7,77.487421193
15,06031,Kings,32.0,54.0,57.0,21.445589321,9.0041260157,2502:1,4781.0,35.0,7.7438866327,3.864064863,16.7,79.66041685
16,06033,Lake,58.0,48.0,51.0,18.04353192,9.244419004,2215:1,3379.0,27.0,5.2273663965,6.3817202627,6.9,74.760216369
17,06035,Lassen,42.0,58.0,32.0,15.204460729,4.7716428085,3116:1,4434.0,33.0,4.7883624609,5.1342938741,7.4,78.730422689
18,06037,Los Angeles,21.0,12.0,49.0,16.418669345,10.059485018,1374:1,4346.0,38.0,4.6692577459,5.7283376693,14.2,82.291130635
