,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,08001,Adams,30.0,50.0,39.0,16.643578713,11.026551173,2298:1,3120.0,46.0,3.471144192,4.9486552179,9.2,79.164313075
1,08003,Alamosa,55.0,54.0,30.0,22.840436161,13.191061625,1273:1,2265.0,41.0,4.1671599384,10.271282702,4.6,76.176734491
2,08005,Arapahoe,11.0,19.0,9.0,11.684058075,8.5250561118,1195:1,3069.0,53.0,3.2228447278,7.9620310644,8.1,81.115142245
3,08007,Archuleta,19.0,13.0,42.0,13.831244068,12.915392457,1110:1,2929.0,32.0,3.4064665127,12.016522719,4.4,82.146124572
4,08009,Baca,29.0,41.0,60.0,15.613659835,15.795586527,1187:1,8662.0,22.0,1.8393898609,16.844469399,5.6,80.226380627
5,08011,Bent,53.0,59.0,49.0,19.999430047,10.371106693,,5023.0,35.0,3.1730292514,0.0,5.4,75.089520487
6,08013,Boulder,4.0,3.0,3.0,11.612699398,6.772989506,808:1,2572.0,53.0,2.8474579769,9.2709153711,7.7,82.96930928
7,08014,Broomfield,5.0,6.0,1.0,9.7237924569,4.7788025375,949:1,1582.0,58.0,2.9259594133,6.2919769977,8.5,82.903477007
8,08015,Chaffee,22.0,7.0,22.0,12.804392222,10.173031026,1091:1,2715.0,47.0,2.6885043263,15.78572156,4.2,82.021473515
9,08017,Cheyenne,31.0,32.0,51.0,12.989137495,14.8981026,1845:1,2371.0,38.0,1.8010291595,0.0,5.8,78.163133396
10,08019,Clear Creek,9.0,11.0,11.0,10.47247951,5.5105771742,9574:1,942.0,47.0,3.0288065844,4.1779820347,4.6,83.891454363
11,08021,Conejos,58.0,39.0,46.0,22.693590583,10.739709068,1637:1,2416.0,32.0,4.387254902,4.8875855327,4.4,75.81977446
12,08023,Costilla,57.0,58.0,54.0,27.970707818,14.85628966,,3019.0,34.0,4.2931937173,0.0,4.2,78.084972308
13,08025,Crowley,47.0,60.0,47.0,18.807642967,11.060948081,5810:1,3988.0,39.0,4.3705153294,6.8846815835,5.4,77.84818402
14,08027,Custer,44.0,23.0,29.0,13.443431862,12.610062893,1625:1,886.0,43.0,3.6562203229,32.827246615,4.2,76.919038452
15,08029,Delta,42.0,40.0,31.0,15.658743653,10.723033657,1274:1,2375.0,40.0,3.9391286782,13.412719183,5.3,78.042945564
16,08031,Denver,25.0,44.0,10.0,15.084856657,10.741990131,755:1,2728.0,48.0,3.1844618802,10.743364163,8.2,79.767451855
17,08033,Dolores,50.0,46.0,36.0,14.541086226,11.703511053,,1980.0,32.0,2.8404344194,0.0,4.4,76.138791216
18,08035,Douglas,1.0,1.0,4.0,8.1206450181,3.7801851723,1427:1,3171.0,54.0,2.8613260824,6.1139460601,7.0,84.02041569
19,08037,Eagle,3.0,4.0,12.0,12.262054388,12.249933178,1304:1,1140.0,52.0,2.7315160052,7.8507266487,4.2,90.122324738
20,08039,Elbert,8.0,17.0,32.0,10.793960606,7.7903486493,6411:1,2563.0,41.0,2.8403395041,4.6798221668,6.2,81.575938294
21,08041,El Paso,36.0,29.0,16.0,12.590610915,7.610916447,1669:1,2906.0,46.0,3.9361108804,8.609445792,6.1,78.802510615
22,08043,Fremont,46.0,47.0,28.0,16.074168981,9.0719463822,2162:1,2658.0,44.0,5.2014078999,9.4619314956,5.0,77.625509142
23,08045,Garfield,14.0,25.0,35.0,13.165406817,13.844038499,1137:1,2290.0,44.0,3.2113057668,9.6417334822,5.1,80.708841407
24,08047,Gilpin,33.0,16.0,20.0,10.475343256,4.3435144784,3007:1,,46.0,2.5462342536,4.9891900881,4.6,85.136854354
25,08049,Grand,20.0,18.0,19.0,11.836602538,10.638970066,1277:1,1627.0,46.0,2.6822627811,15.01207493,4.1,85.955398956
26,08051,Gunnison,15.0,22.0,23.0,13.138637749,10.489662677,1210:1,2620.0,44.0,2.5880857247,15.349194167,4.2,83.260934365
27,08053,Hinsdale,NR,NR,NR,12.127611981,10.526315789,794:0,,20.0,2.614379085,0.0,3.8,
28,08055,Huerfano,56.0,24.0,24.0,17.300850253,7.928331467,952:1,2630.0,27.0,6.529209622,9.0063044131,4.4,75.436501771
29,08057,Jackson,NR,NR,NR,13.964569197,13.644859813,693:1,5245.0,40.0,2.6239067055,0.0,3.4,
30,08059,Jefferson,7.0,8.0,7.0,9.347265343,6.7507525323,1170:1,2427.0,51.0,3.0271479946,7.7617457315,8.4,80.81213649
31,08061,Kiowa,43.0,48.0,56.0,13.462156227,11.260827719,1376:0,3055.0,31.0,1.7653167186,21.802325581,5.8,
32,08063,Kit Carson,28.0,33.0,58.0,14.33741347,14.905958868,1790:1,4352.0,35.0,2.0280811232,15.367421067,6.1,80.153064862
33,08065,Lake,40.0,36.0,33.0,16.46451412,11.744966443,1296:1,2308.0,46.0,2.6358806702,6.4283877603,3.9,85.182784154
34,08067,La Plata,13.0,27.0,13.0,12.422990795,11.554570091,882:1,1736.0,47.0,3.0257704652,9.8940437856,5.0,82.154493758
35,08069,Larimer,10.0,12.0,6.0,11.680454125,7.4209331016,1135:1,2433.0,54.0,2.8130541519,9.215759239,6.6,81.563008042
36,08071,Las Animas,60.0,49.0,52.0,19.748391603,12.198780122,1424:1,5223.0,27.0,4.7321972002,9.1304958562,4.8,74.712104472
37,08073,Lincoln,16.0,42.0,45.0,13.845761292,9.5330201713,2773:1,3957.0,42.0,2.4458700882,12.62170934,5.5,80.091985413
38,08075,Logan,38.0,53.0,27.0,14.565603901,10.528086108,1369:1,3179.0,43.0,2.914857801,10.04749726,5.7,78.567136636
39,08077,Mesa,32.0,45.0,15.0,14.089154482,9.5414318846,902:1,3157.0,48.0,4.0901919537,8.9700295483,6.4,78.833064131
40,08079,Mineral,NR,NR,NR,11.949737491,9.925093633,766:1,,47.0,2.5641025641,0.0,3.8,
41,08081,Moffat,37.0,37.0,44.0,13.356456687,9.9257380909,2626:1,3425.0,44.0,3.6548357303,6.8540095956,4.3,79.854587345
42,08083,Montezuma,49.0,51.0,40.0,15.432541411,13.798893718,1005:1,2207.0,39.0,4.7383415804,8.7987758225,5.1,78.328969595
43,08085,Montrose,39.0,35.0,26.0,16.251343254,12.203485811,1348:1,2341.0,46.0,3.6689303131,9.333716255,5.0,79.818703427
44,08087,Morgan,41.0,43.0,37.0,16.567497267,12.351543943,1410:1,2961.0,42.0,2.9320706611,12.414869467,6.3,78.159061329
45,08089,Otero,52.0,56.0,48.0,20.316636808,10.822910745,1527:1,5465.0,44.0,4.9797336422,12.004801921,5.7,75.744471859
46,08091,Ouray,35.0,10.0,5.0,11.163319261,8.6821266968,799:1,1049.0,47.0,3.5,14.601585315,4.1,85.230368395
47,08093,Park,27.0,9.0,34.0,10.59726292,8.7417958386,5968:1,1973.0,43.0,2.8916106455,4.4680256911,4.5,82.015000694
48,08095,Phillips,23.0,15.0,41.0,13.63905579,13.240206499,858:1,3336.0,35.0,1.8937987375,23.29916123,5.9,79.608084702
49,08097,Pitkin,2.0,2.0,14.0,10.585429711,12.251043734,1376:1,1566.0,54.0,3.8458153657,19.564002236,4.0,93.361728874
50,08099,Prowers,48.0,52.0,59.0,17.468110578,14.103502352,2414:1,5154.0,31.0,3.3192422107,10.770505385,6.4,76.777451712
51,08101,Pueblo,54.0,57.0,17.0,22.515117101,8.4312338892,1556:1,3511.0,53.0,4.9083148909,8.4697402012,6.0,76.496100233
