,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,12001,Alachua,26.0,22.0,1.0,17.61444956,11.865669582,633:1,5058.0,46.0,3.271466954,9.3277990889,8.3,79.130398872
1,12003,Baker,49.0,63.0,28.0,19.933229887,11.966438953,2828:1,4966.0,40.0,3.3869744713,6.3642470742,8.4,75.303626385
2,12005,Bay,44.0,43.0,33.0,19.769132811,14.834860487,1836:1,5756.0,39.0,3.9753055988,8.6073990946,9.8,76.079137779
3,12007,Bradford,64.0,56.0,55.0,22.592265688,13.269099859,3380:1,7074.0,33.0,3.2820240623,14.424143798,8.1,75.170652818
4,12009,Brevard,32.0,19.0,19.0,17.606259239,13.012913988,1367:1,4963.0,40.0,3.5240347414,7.451261283,7.3,77.739450445
5,12011,Broward,11.0,7.0,34.0,17.782269952,16.892308114,1363:1,5286.0,35.0,3.3698702582,5.5220421948,6.6,81.19630142
6,12013,Calhoun,55.0,55.0,60.0,24.27885071,15.210100612,2414:1,7492.0,22.0,4.1125541126,8.2855761928,9.7,74.240281392
7,12015,Charlotte,28.0,12.0,11.0,15.664628654,17.104715384,1556:1,4780.0,49.0,4.0096965597,6.1527305489,7.7,80.79011746
8,12017,Citrus,57.0,28.0,27.0,17.740636584,15.446198085,1942:1,4771.0,43.0,5.1988535325,7.6898253998,8.1,75.553575225
9,12019,Clay,27.0,35.0,24.0,17.649646777,11.350148781,2041:1,4810.0,38.0,3.2810794535,7.0206851058,8.6,77.897888334
10,12021,Collier,2.0,3.0,20.0,17.720359431,22.822206461,1336:1,3493.0,50.0,3.437251552,7.1336623042,7.7,86.061144123
11,12023,Columbia,61.0,58.0,41.0,22.958561177,12.380897934,2175:1,8203.0,38.0,3.7440758294,8.3318967994,8.8,75.419834367
12,12027,DeSoto,38.0,47.0,57.0,26.088680623,23.070258349,4096:1,5879.0,39.0,3.840917234,7.595898215,7.5,79.854369559
