,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,13001,Appling,94.0,146.0,158.0,22.395262135,19.145356662,2646:1,7237.0,31.0,4.3454223795,11.878408293,10.6,75.209436817
1,13003,Atkinson,118.0,155.0,151.0,26.527487503,22.387419585,,5718.0,37.0,3.5337310693,4.7950131863,10.4,73.972711279
2,13005,Bacon,111.0,110.0,159.0,20.004145373,19.383212075,1617:1,9126.0,33.0,3.8164919913,8.8347027123,10.4,73.169691896
3,13007,Baker,91.0,73.0,157.0,20.323393348,19.1636216,,10012.0,28.0,5.094494659,0.0,10.8,77.457131807
4,13009,Baldwin,124.0,89.0,46.0,23.518849376,15.912636505,1796:1,4560.0,41.0,5.0387596899,8.0167460918,11.4,74.864320886
5,13011,Banks,60.0,40.0,138.0,17.236689605,19.340388236,4659:1,6769.0,47.0,3.1138603481,8.0498014382,10.4,76.1053716
6,13013,Barrow,32.0,52.0,93.0,17.056110801,16.872808094,4651:1,5278.0,46.0,3.2850119753,6.7036844968,11.1,76.6202987
7,13015,Bartow,36.0,77.0,107.0,16.631131657,17.924706667,2388:1,6686.0,48.0,3.779458424,7.4247529842,11.2,76.632297258
8,13017,Ben Hill,137.0,151.0,110.0,23.965407268,16.268255468,2125:1,5991.0,37.0,5.8823529412,7.06048482,10.7,73.911810764
9,13019,Berrien,139.0,124.0,116.0,19.463769844,18.943405857,6395:1,5256.0,43.0,4.1594222282,4.6909204628,10.8,74.088262434
10,13021,Bibb,131.0,113.0,6.0,21.372593722,14.403617403,761:1,5329.0,42.0,4.5208923308,13.149114888,11.3,74.324891381
11,13023,Bleckley,65.0,78.0,94.0,19.120080473,13.774426508,3208:1,6835.0,47.0,5.7081545064,10.911925175,11.0,76.069766915
12,13025,Brantley,126.0,91.0,153.0,19.780695475,18.204584858,6244:1,6946.0,36.0,4.4755815535,6.4064919118,9.5,74.068613234
13,13027,Brooks,72.0,80.0,139.0,21.641199359,19.429778247,5196:1,5818.0,38.0,3.9324247587,7.6987232951,10.7,74.873547977
14,13029,Bryan,19.0,42.0,12.0,15.808502142,12.216420598,1278:1,4627.0,42.0,3.4027311395,8.3648138154,10.3,76.147113485
15,13031,Bulloch,68.0,83.0,90.0,20.57244783,16.779862877,1813:1,6884.0,48.0,4.1809988534,6.9600388712,10.6,77.064323444
16,13033,Burke,151.0,126.0,127.0,24.138329367,15.179476239,2815:1,5367.0,28.0,5.9997864845,7.5481751177,11.0,73.524130781
17,13035,Butts,102.0,84.0,80.0,20.159468362,14.960054011,4812:1,5151.0,38.0,4.0394638868,7.8972525874,11.3,73.805512814
18,13037,Calhoun,116.0,150.0,140.0,28.267014772,17.973079968,6455:1,5724.0,30.0,4.2553191489,10.844306739,10.6,76.936390509
19,13039,Camden,23.0,86.0,32.0,17.000566876,13.465055888,3120:1,4582.0,42.0,4.1559431894,9.0490913204,9.0,78.122863667
20,13043,Candler,146.0,153.0,154.0,25.521784917,20.794609665,2699:1,6598.0,33.0,3.4341172079,7.4094655923,10.5,73.069223282
21,13045,Carroll,53.0,99.0,54.0,18.98424509,15.978329626,2182:1,4235.0,40.0,4.0084502465,10.100838624,11.1,75.165854785
22,13047,Catoosa,22.0,38.0,17.0,14.696782062,12.739131225,2017:1,4463.0,47.0,3.4201954397,8.2644628099,11.0,77.486966919
23,13049,Charlton,49.0,111.0,108.0,19.83422109,15.711928336,3179:1,6592.0,39.0,4.2872008325,3.1458906803,8.9,78.3033645
24,13051,Chatham,43.0,55.0,18.0,18.439646474,16.223679374,1135:1,4502.0,45.0,3.7255889509,10.981029325,9.9,77.907619762
25,13053,Chattahoochee,44.0,102.0,4.0,19.655825864,12.133370227,1293:1,2514.0,37.0,5.583501006,0.0,11.5,77.81126558
26,13055,Chattooga,120.0,81.0,132.0,19.089461344,16.638034255,12385:1,6840.0,44.0,4.0907790598,9.2854259184,10.9,72.549350133
27,13057,Cherokee,5.0,8.0,22.0,14.869812088,12.837450411,2579:1,4084.0,48.0,3.113728266,6.9070536771,11.2,80.057206121
28,13059,Clarke,57.0,71.0,23.0,23.040954345,16.297159505,1531:1,5005.0,49.0,3.9528263522,10.703267645,11.0,78.53593466
29,13061,Clay,142.0,154.0,89.0,31.651918852,15.449835139,2962:1,4552.0,33.0,7.6923076923,10.128291695,10.5,74.609700928
30,13063,Clayton,89.0,93.0,120.0,23.104509724,18.832980029,3960:1,4867.0,39.0,4.8995619112,4.3134738193,11.5,76.485656358
31,13065,Clinch,150.0,159.0,145.0,26.89123479,16.597435434,6727:1,7636.0,35.0,4.5553145336,14.865467519,9.6,72.704633745
32,13067,Cobb,4.0,6.0,11.0,13.682978673,13.789606752,1418:1,4469.0,49.0,3.3933175221,7.6744549152,10.5,80.521249362
33,13069,Coffee,109.0,132.0,135.0,21.290074718,19.410566105,1870:1,6047.0,36.0,4.5165428403,8.8343330079,10.8,74.139815663
34,13071,Colquitt,125.0,140.0,155.0,23.811260945,23.554581231,2183:1,6689.0,37.0,3.7631664424,8.7269553834,11.0,74.055705513
35,13073,Columbia,8.0,9.0,3.0,13.406087787,11.291357484,953:1,3738.0,46.0,3.4809873249,7.322914124,11.2,80.091100046
36,13075,Cook,107.0,103.0,77.0,21.178480369,18.443683143,1571:1,5000.0,40.0,3.7788485924,6.366846096,10.7,75.099866366
37,13077,Coweta,10.0,25.0,19.0,15.399626882,12.516156133,1988:1,4182.0,44.0,3.4256173049,7.616305882,11.3,78.58895232
38,13079,Crawford,71.0,123.0,121.0,19.192404408,16.564417178,12295:1,6126.0,43.0,4.1557075224,4.8800325336,11.4,75.449049803
39,13081,Crisp,144.0,131.0,122.0,25.674578939,16.584930896,1197:1,9069.0,39.0,4.8515799553,8.3567909923,11.0,75.812642636
40,13083,Dade,45.0,34.0,35.0,15.993858343,14.901387874,3257:1,3490.0,42.0,3.6258158086,7.3687442432,10.5,76.266643403
41,13085,Dawson,20.0,7.0,45.0,13.541412955,17.213240955,1434:1,4810.0,47.0,3.3305647841,11.485294721,10.0,76.7973347
42,13087,Decatur,121.0,101.0,144.0,20.259666104,17.688192228,2226:1,6455.0,35.0,4.6662626612,11.977840994,10.9,73.882919541
43,13089,DeKalb,15.0,23.0,16.0,16.292444155,15.916535766,932:1,4513.0,44.0,4.0197976221,7.3016635845,10.2,80.160994245
44,13091,Dodge,92.0,115.0,95.0,20.770080711,16.613811404,2591:1,5629.0,41.0,5.1839464883,9.165460685,11.1,75.852592564
45,13093,Dooly,108.0,92.0,156.0,23.522594373,18.360726644,13737:1,8036.0,35.0,4.6150862905,7.2796098129,11.2,79.232028433
46,13095,Dougherty,152.0,149.0,29.0,25.38788847,14.427556285,1297:1,5324.0,40.0,5.1249967415,12.513686845,10.7,74.432446612
47,13097,Douglas,28.0,33.0,67.0,17.940186285,14.167003015,2767:1,5586.0,43.0,4.1179698217,4.9345991854,11.4,77.698138783
48,13099,Early,153.0,148.0,146.0,24.8050232,14.714898835,1471:1,8077.0,34.0,4.5833333333,12.626262626,10.8,73.881167124
49,13101,Echols,42.0,65.0,97.0,22.226981684,27.566765579,,2736.0,42.0,3.2105263158,0.0,9.5,82.292385254
50,13103,Effingham,27.0,64.0,38.0,14.283842538,13.605184371,3999:1,3839.0,39.0,3.3049289891,7.5022506752,10.4,76.153336641
51,13105,Elbert,101.0,112.0,129.0,19.942573367,17.592282441,1911:1,6204.0,32.0,4.8195843427,12.559526924,10.6,74.638674366
52,13107,Emanuel,145.0,134.0,148.0,23.579846365,15.951024093,2253:1,8057.0,33.0,5.8865929841,8.8770528185,10.7,72.057253035
53,13109,Evans,90.0,76.0,114.0,22.260539727,17.127136502,3592:1,6181.0,44.0,3.6622583927,12.064965197,10.4,75.550162428
54,13111,Fannin,58.0,10.0,82.0,17.176081644,18.261063925,2302:1,4248.0,44.0,3.9439635942,15.401627044,9.4,76.935474397
55,13113,Fayette,3.0,1.0,2.0,12.914831912,10.494039308,908:1,3584.0,49.0,3.4794349813,13.327528454,11.5,81.275889622
56,13115,Floyd,69.0,47.0,42.0,19.031797754,17.881913111,807:1,6249.0,47.0,4.3050097122,10.654318585,10.9,75.295854993
57,13117,Forsyth,1.0,2.0,10.0,12.992569262,11.695139268,2561:1,3971.0,48.0,3.1487191651,6.2289717371,11.2,82.064026875
58,13119,Franklin,95.0,59.0,123.0,19.288313097,18.843839622,3803:1,6781.0,52.0,3.832682878,15.337423313,10.5,74.11904033
59,13121,Fulton,13.0,17.0,5.0,14.753618099,13.043439336,922:1,4430.0,46.0,4.0189001796,9.3237810189,12.0,79.483402847
60,13123,Gilmer,51.0,12.0,103.0,17.220288917,22.498697238,1917:1,3589.0,43.0,4.2278185457,6.8461889548,9.9,76.90414596
61,13125,Glascock,64.0,50.0,60.0,17.106812836,14.856230032,3062:1,4805.0,41.0,4.1698841699,9.7975179621,10.6,73.735967089
62,13127,Glynn,74.0,41.0,53.0,18.059084473,17.370266791,1938:1,5227.0,43.0,3.6693598508,11.491287728,8.9,77.032021237
63,13129,Gordon,54.0,48.0,147.0,18.881822573,21.387824783,2196:1,6569.0,46.0,3.7616546994,10.1595754,11.0,75.619270263
64,13131,Grady,87.0,105.0,100.0,20.822703601,20.752929444,2068:1,5146.0,41.0,3.8655934107,10.072927999,11.1,75.732597896
65,13133,Greene,78.0,39.0,48.0,21.488105163,20.088881574,1920:1,4650.0,46.0,4.2464969974,12.152074533,11.1,77.710342543
66,13135,Gwinnett,6.0,11.0,56.0,16.439486136,18.406064981,1584:1,4126.0,44.0,3.4986659453,7.1066872406,11.2,80.986003239
67,13137,Habersham,24.0,22.0,68.0,18.04594054,19.323912279,2026:1,4854.0,46.0,3.6884188806,11.219063433,9.7,77.377251145
68,13139,Hall,11.0,19.0,91.0,18.314848662,21.724505309,1846:1,4780.0,46.0,3.1663224657,8.0768555447,10.5,79.357468764
69,13141,Hancock,147.0,130.0,81.0,27.090118443,15.893422769,8561:1,3166.0,32.0,6.0104881,0.0,10.9,76.35526611
70,13143,Haralson,73.0,35.0,55.0,16.29069586,15.197368421,2250:1,3248.0,35.0,3.8535337384,7.8616352201,10.7,73.389597342
71,13145,Harris,7.0,14.0,13.0,13.368868105,10.690382657,2826:1,3718.0,42.0,3.4118068834,9.1404983046,11.3,80.394984128
72,13147,Hart,29.0,49.0,71.0,19.158611898,18.070998674,2866:1,4799.0,49.0,3.6212653026,12.018298829,10.6,78.174192996
73,13149,Heard,79.0,63.0,102.0,18.373018209,15.229586536,5865:1,4179.0,34.0,3.8786482335,6.8201193521,10.8,74.146473033
74,13151,Henry,38.0,28.0,21.0,17.20226431,12.797401217,2110:1,4236.0,42.0,4.1425471922,6.4212423554,11.7,77.427661076
75,13153,Houston,34.0,68.0,36.0,18.756098118,13.574453043,1872:1,5957.0,39.0,3.993048136,7.1019488008,11.3,77.494747611
76,13155,Irwin,148.0,129.0,39.0,22.305971474,14.523067794,3137:1,5294.0,47.0,5.5988023952,5.3134962806,10.6,73.688011896
77,13157,Jackson,12.0,16.0,34.0,15.327346155,15.741594337,1876:1,4922.0,49.0,2.9877510483,8.1458552407,11.0,76.764066785
78,13159,Jasper,61.0,82.0,79.0,20.261203234,17.520097868,2793:1,4920.0,45.0,3.4652035807,5.0128902893,11.3,75.812397487
79,13161,Jeff Davis,132.0,98.0,118.0,21.367238385,18.814743435,3756:1,4519.0,39.0,4.8708244199,6.6555740433,10.6,72.990241731
80,13163,Jefferson,141.0,116.0,99.0,23.97474544,16.340027422,3130:1,4490.0,26.0,5.3208833556,10.224948875,11.0,72.942846817
81,13165,Jenkins,138.0,136.0,105.0,25.864055884,15.672131148,2922:1,4078.0,31.0,5.396132252,9.1251283221,10.4,74.443169696
82,13167,Johnson,93.0,108.0,63.0,20.060213238,16.1630469,1958:1,4542.0,37.0,3.9546660236,17.368205966,10.8,75.604307624
83,13169,Jones,21.0,26.0,28.0,16.790457822,12.936362474,4067:1,5232.0,45.0,3.6583609391,6.3224446786,11.6,78.284891048
84,13171,Lamar,112.0,57.0,44.0,18.784217011,14.84304622,2325:1,4758.0,44.0,4.5577728505,8.0649497285,11.2,74.319640401
85,13173,Lanier,66.0,145.0,126.0,21.134834809,16.388035938,,5308.0,27.0,4.3953185956,6.7146282974,10.1,76.299207982
86,13175,Laurens,134.0,142.0,7.0,23.565685878,15.033620261,1127:1,4488.0,43.0,4.8094652735,12.465666596,11.2,74.566841786
87,13177,Lee,17.0,51.0,24.0,15.060225912,12.776500436,1474:1,4973.0,43.0,3.5606315082,4.4112656939,11.2,76.695562289
88,13179,Liberty,62.0,152.0,25.0,21.679645653,12.08328698,2558:1,3951.0,32.0,4.3141678985,7.4935653081,10.2,75.990459517
89,13181,Lincoln,70.0,18.0,66.0,18.760430356,16.456547319,3940:1,4554.0,44.0,4.9570756023,15.228426396,10.4,77.164926519
90,13183,Long,30.0,88.0,128.0,20.363804123,16.353205583,,6430.0,37.0,3.9611360239,3.6814978437,10.2,80.728297357
91,13185,Lowndes,88.0,135.0,52.0,21.170437638,17.251474305,1698:1,5022.0,37.0,4.0698797975,10.217423304,10.4,75.802998908
92,13187,Lumpkin,37.0,31.0,125.0,17.208846791,19.904458599,2739:1,5521.0,41.0,3.5898049539,4.5630152405,9.6,77.850876489
93,13189,McDuffie,135.0,70.0,47.0,21.081750485,15.105151567,1954:1,5440.0,48.0,5.5611278279,10.698669644,10.9,74.180091428
94,13191,McIntosh,83.0,45.0,59.0,18.919722663,16.413432691,,4856.0,40.0,3.9903069467,4.9624273359,9.4,81.270745462
95,13193,Macon,149.0,139.0,143.0,25.809844373,19.164107065,13314:1,5956.0,37.0,6.2354681885,10.515247108,11.4,73.381529177
96,13195,Madison,46.0,58.0,113.0,17.953788903,18.274321641,7326:1,6222.0,48.0,3.5283804515,10.238208996,10.9,76.45687586
97,13197,Marion,76.0,106.0,74.0,20.89244652,17.062602719,8450:1,2688.0,41.0,5.0655021834,3.550295858,11.0,76.749812678
98,13199,Meriwether,130.0,97.0,115.0,21.742211961,16.202164319,3007:1,5754.0,39.0,4.9960880742,10.451802936,11.0,74.239215849
99,13201,Miller,157.0,44.0,141.0,20.186456832,16.522893165,2919:1,7096.0,37.0,3.6971205119,10.277492292,10.6,71.521436188
100,13205,Mitchell,140.0,127.0,58.0,23.348233347,17.641681901,2787:1,5271.0,39.0,5.3758325404,12.560559842,11.1,73.726822617
101,13207,Monroe,48.0,29.0,30.0,15.470473532,13.811508029,1595:1,4850.0,45.0,3.6724679905,10.327149338,11.5,77.162942599
102,13209,Montgomery,59.0,85.0,134.0,18.113404119,16.897670304,,6591.0,34.0,5.7120294814,7.7510796147,10.7,76.324215784
103,13211,Morgan,40.0,27.0,41.0,15.117331186,15.897819145,1841:1,5015.0,46.0,3.5623690306,10.862480991,11.3,77.645524876
104,13213,Murray,67.0,60.0,149.0,19.122342278,20.454410454,5683:1,6416.0,48.0,5.3126764097,3.5191795284,10.5,75.47106737
105,13215,Muscogee,122.0,144.0,9.0,20.734606422,13.473172177,980:1,4383.0,40.0,5.0772487839,10.254666131,11.9,73.969553725
106,13217,Newton,50.0,72.0,61.0,18.301802455,14.783633062,3603:1,5721.0,45.0,4.4534569332,6.939432632,11.5,76.74526221
107,13219,Oconee,2.0,4.0,1.0,12.542181169,11.77428273,718:1,3996.0,53.0,2.956265556,11.044493531,11.1,81.435341358
108,13221,Oglethorpe,26.0,32.0,136.0,17.143860366,18.933976385,14877:1,6403.0,48.0,3.6636720943,6.0496067756,10.9,78.746809878
109,13223,Paulding,9.0,24.0,70.0,15.339575775,12.848203261,6378:1,6370.0,46.0,3.4423141127,4.1393583994,10.7,78.92558192
110,13225,Peach,115.0,87.0,111.0,20.40412568,17.335058215,3871:1,6794.0,40.0,5.0961296281,6.2732942175,11.5,73.19073758
111,13227,Pickens,25.0,13.0,51.0,13.352190197,17.515242056,2430:1,4291.0,48.0,3.5096978493,8.5475497024,10.2,77.375337648
112,13229,Pierce,52.0,90.0,133.0,18.16523767,15.991444389,3861:1,6833.0,40.0,3.8452682478,9.3230434557,10.1,75.627609528
113,13231,Pike,16.0,21.0,88.0,14.068563952,14.434073879,4554:1,5132.0,39.0,3.6432160804,10.978756107,11.1,76.617800304
114,13233,Polk,86.0,67.0,130.0,19.573404058,19.108408159,3507:1,6714.0,45.0,4.1896123529,11.643103243,10.9,73.850633857
115,13235,Pulaski,81.0,94.0,76.0,20.88762413,15.705086082,1400:1,6395.0,42.0,4.2573778423,8.9277743059,11.0,78.71801165
116,13237,Putnam,33.0,43.0,57.0,18.595805943,18.721071864,2716:1,4246.0,44.0,4.9616928128,11.965025311,11.3,78.854714387
117,13239,Quitman,103.0,46.0,65.0,23.06716999,17.200986436,,,41.0,5.5421686747,0.0,10.9,76.713624104
118,13241,Rabun,35.0,30.0,106.0,17.795756519,21.272666219,1660:1,4463.0,42.0,4.0045121263,15.660763763,8.8,78.546216383
119,13243,Randolph,155.0,119.0,131.0,28.312464499,15.886354542,3538:1,6088.0,25.0,5.8658095621,11.307420495,10.7,76.382931481
120,13245,Richmond,129.0,137.0,15.0,20.985110484,14.237672304,1019:1,4454.0,37.0,5.1485697135,10.307234886,11.3,74.062725012
121,13247,Rockdale,56.0,95.0,43.0,20.673301913,15.545867488,1368:1,5640.0,43.0,4.3944289694,7.4187261936,11.6,77.52524885
122,13249,Schley,80.0,20.0,31.0,20.143616073,15.117087874,,3097.0,44.0,4.6511627907,11.50968732,11.1,80.618290859
123,13251,Screven,104.0,114.0,137.0,21.539694607,16.180104329,6977:1,4887.0,29.0,5.4033771107,12.183759765,10.4,75.411422827
124,13253,Seminole,136.0,53.0,83.0,21.028525228,16.270537566,829:1,7234.0,37.0,5.2906596995,12.059816691,10.4,73.507731113
125,13255,Spalding,143.0,104.0,73.0,21.02132195,15.686050931,2179:1,5920.0,42.0,4.7003607579,9.7889262771,11.3,73.853123486
126,13257,Stephens,98.0,54.0,49.0,18.412012735,15.776458952,1523:1,5867.0,49.0,4.5238963882,15.449980688,9.8,73.285085063
127,13259,Stewart,156.0,157.0,117.0,33.025990848,17.922374429,2993:1,5923.0,44.0,4.6768707483,6.6833751044,11.0,73.820175538
128,13261,Sumter,154.0,138.0,50.0,24.754691024,17.244663809,1492:1,5101.0,41.0,5.9223908621,11.391429624,11.4,72.791073457
129,13263,Talbot,55.0,75.0,26.0,21.452399794,15.195767196,3125:1,2635.0,42.0,5.0440917108,4.8007681229,11.0,77.147790124
130,13265,Taliaferro,123.0,109.0,109.0,26.1946836,19.800332779,1628:0,1246.0,33.0,5.1282051282,0.0,10.5,
131,13267,Tattnall,82.0,158.0,152.0,21.97331949,18.954894211,3619:1,6332.0,37.0,4.1993396616,10.262887819,10.6,75.15470349
132,13269,Taylor,105.0,125.0,119.0,23.988979062,15.864332604,,7027.0,40.0,6.5373563218,11.053795136,11.2,75.133520427
133,13271,Telfair,96.0,120.0,142.0,24.822790236,16.260904849,3997:1,6236.0,36.0,6.7885714286,7.5051597974,10.8,78.754985777
134,13273,Terrell,127.0,128.0,92.0,25.81893881,18.233278713,,5710.0,37.0,6.5613939559,11.456065987,10.9,74.897554777
135,13275,Thomas,85.0,61.0,20.0,20.440507401,16.119270385,1041:1,5535.0,46.0,4.7149187592,14.962370754,11.2,75.648104801
136,13277,Tift,97.0,100.0,37.0,21.969560188,17.767639903,1160:1,5823.0,50.0,4.0130320112,11.576924972,10.9,75.151083555
137,13279,Toombs,133.0,147.0,85.0,23.335153334,18.576506051,1000:1,5010.0,35.0,5.8099623273,10.741138561,10.7,74.387625405
138,13281,Towns,47.0,5.0,8.0,14.93028586,17.327258922,1046:1,3386.0,50.0,5.4812146166,13.036676517,8.7,76.47875309
139,13283,Treutlen,63.0,62.0,96.0,19.938988929,16.099249856,,5226.0,41.0,5.8062130178,13.353115727,10.6,76.1254391
140,13285,Troup,84.0,117.0,75.0,18.600573327,14.720016715,1886:1,5454.0,40.0,3.6997626258,12.609979079,11.2,75.20371002
141,13287,Turner,128.0,133.0,86.0,21.573612255,18.44981782,7961:1,5042.0,48.0,5.0863422292,17.585730436,10.7,73.708439282
142,13289,Twiggs,159.0,107.0,98.0,22.843328601,17.208931419,8174:1,5790.0,43.0,5.8803418803,8.5637386836,11.2,71.847878553
143,13291,Union,14.0,3.0,14.0,14.157368931,18.686253127,1235:1,3060.0,46.0,3.6444702918,11.083166375,9.0,79.202699572
144,13293,Upson,117.0,79.0,84.0,19.90970066,13.820828774,1867:1,5597.0,41.0,4.4040084388,11.096231108,11.2,73.490333405
145,13295,Walker,75.0,66.0,72.0,17.775533973,15.205947794,5745:1,4915.0,45.0,3.8694773318,8.9934579846,11.0,74.736861897
146,13297,Walton,41.0,37.0,40.0,16.86508269,13.529274853,3817:1,5091.0,46.0,3.5526490213,7.5327510917,11.4,76.480409119
147,13299,Ware,113.0,143.0,87.0,21.900871613,15.583045297,1380:1,6932.0,41.0,3.9371085261,15.332720025,10.1,74.031860671
148,13301,Warren,158.0,118.0,27.0,24.273968564,15.648761344,1768:1,3558.0,44.0,4.9854439592,9.4286253064,10.8,73.649556329
149,13303,Washington,77.0,141.0,33.0,23.18413658,15.226689478,1563:1,3650.0,39.0,5.0020958502,10.830502634,10.8,75.953277279
150,13305,Wayne,106.0,96.0,124.0,20.224268923,14.522679663,2485:1,7873.0,43.0,4.6499385857,14.085924137,10.2,73.323688077
151,13307,Webster,99.0,36.0,64.0,20.20158405,16.29778672,,5489.0,47.0,6.2937062937,11.516314779,10.9,78.48197295
152,13309,Wheeler,39.0,156.0,78.0,25.28921333,15.655853315,7952:1,4348.0,39.0,7.3652694611,3.7726358149,10.7,79.592118859
153,13311,White,18.0,15.0,62.0,15.338570724,17.163978495,4208:1,4575.0,46.0,3.0491212817,9.5066716464,9.4,79.358395772
154,13313,Whitfield,31.0,56.0,104.0,22.81717774,23.04366477,1869:1,5001.0,49.0,4.7485416298,8.59943817,10.9,78.228829229
155,13315,Wilcox,100.0,121.0,150.0,21.858213411,17.282099344,8800:1,7559.0,35.0,5.2258305338,4.5454545455,10.9,75.837065586
156,13317,Wilkes,110.0,69.0,112.0,23.982410968,17.751400373,2473:1,5285.0,38.0,4.5746594706,13.141932875,10.6,75.549520655
157,13319,Wilkinson,114.0,74.0,69.0,20.872013002,13.433044451,2986:1,5639.0,38.0,4.4351682755,12.278156044,11.3,74.60737235
158,13321,Worth,119.0,122.0,101.0,19.906455523,17.10860879,3422:1,5333.0,40.0,4.399912873,7.7923342911,11.0,75.369653781
