,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,16001,Ada,2.0,3.0,1.0,11.474881999,8.7432917648,1067:1,2677.0,48.0,2.4598711788,7.9238435457,10.6,80.781476806
1,16003,Adams,28.0,17.0,18.0,14.961626565,14.383094751,4147:1,1413.0,31.0,5.4587688734,0.0,6.6,80.342458354
2,16005,Bannock,38.0,27.0,7.0,14.893500207,10.723097628,1332:1,2883.0,43.0,2.7323321979,6.4501753275,6.7,76.856042438
3,16007,Bear Lake,30.0,7.0,20.0,13.549483693,10.239194293,1206:1,2471.0,23.0,2.8924162257,0.0,5.4,78.165464377
4,16009,Benewah,41.0,40.0,29.0,15.547673702,14.192634561,1312:1,3408.0,27.0,4.6257149963,5.4442508711,9.5,75.042515905
5,16011,Bingham,37.0,21.0,36.0,15.989554901,14.816908647,3062:1,3267.0,29.0,2.7101083187,1.741894746,7.4,76.816031621
6,16013,Blaine,4.0,2.0,6.0,14.183349242,17.693505338,958:1,2021.0,49.0,2.3614379615,12.259353433,6.2,86.188668786
7,16015,Boise,12.0,9.0,25.0,13.386610021,13.336962439,3645:1,2865.0,33.0,4.235506158,8.2304526749,5.9,82.444328254
8,16017,Bonner,11.0,10.0,12.0,13.420599877,13.295464901,1675:1,1863.0,35.0,4.0948495665,8.7235996327,10.0,79.76023412
9,16019,Bonneville,21.0,8.0,5.0,14.729676666,9.4906263551,2547:1,2220.0,47.0,2.3933722001,4.1886644269,7.8,77.922620354
10,16021,Boundary,14.0,26.0,27.0,15.334053547,18.157210914,2384:1,756.0,26.0,4.4373111782,7.5490689482,7.1,79.386956118
11,16023,Butte,22.0,15.0,33.0,14.359305959,12.335025381,2602:1,2548.0,27.0,3.1837916064,0.0,5.8,76.927829559
12,16025,Camas,NR,NR,NR,16.90671321,17.482517483,1102:0,,31.0,2.3188405797,0.0,5.4,
13,16027,Canyon,17.0,29.0,23.0,17.453884201,14.567805156,2851:1,2949.0,42.0,3.0785340314,5.3991942741,10.7,78.944664264
14,16029,Caribou,15.0,6.0,16.0,13.174179766,9.1050988554,2345:1,2595.0,36.0,2.8191072827,0.0,5.9,78.327698234
15,16031,Cassia,24.0,24.0,26.0,15.577016429,15.547720977,1245:1,3358.0,42.0,2.229787234,4.2258282623,7.1,77.621404348
16,16033,Clark,NR,NR,NR,24.897308587,26.19047619,873:0,,39.0,2.962962963,0.0,6.2,
17,16035,Clearwater,25.0,20.0,14.0,14.068402961,12.508896797,855:1,4085.0,42.0,6.735042735,7.0208284578,8.8,77.512366824
18,16037,Custer,23.0,16.0,19.0,14.799893286,13.766145479,,1954.0,32.0,4.0182648402,0.0,5.9,81.70391103
19,16039,Elmore,20.0,42.0,34.0,16.42678851,13.520624303,1490:1,3321.0,23.0,3.2585844429,5.9650300116,7.3,78.221022507
20,16041,Franklin,33.0,12.0,24.0,12.686364763,11.845515811,2713:1,3232.0,43.0,2.1387283237,0.0,5.9,77.290857358
21,16043,Fremont,9.0,13.0,22.0,15.614298997,14.041360649,4365:1,2255.0,40.0,2.4289937026,3.0548342752,6.7,80.524349097
22,16045,Gem,31.0,30.0,13.0,15.991230506,14.15480891,1738:1,1531.0,32.0,3.4270974082,5.1786639047,9.4,77.521748041
23,16047,Gooding,39.0,31.0,42.0,17.375188322,19.681762546,3025:1,3363.0,28.0,2.4059222702,6.6120074054,7.5,77.502830535
24,16049,Idaho,26.0,19.0,40.0,16.935162072,15.87357331,1637:1,4221.0,23.0,4.6840958606,3.0545543405,8.9,79.278313078
25,16051,Jefferson,7.0,11.0,17.0,13.335216448,12.529048802,4064:1,2147.0,44.0,2.2612692764,1.0546298249,7.8,79.823115271
26,16053,Jerome,27.0,37.0,38.0,17.255989744,20.493471678,2625:1,3168.0,38.0,2.5411686032,6.7719134888,7.9,78.286253842
27,16055,Kootenai,8.0,23.0,4.0,13.548648738,10.121583868,1282:1,2390.0,43.0,3.4719989713,8.9446005697,11.8,79.368782206
28,16057,Latah,5.0,14.0,3.0,13.581195223,9.2938798712,1063:1,2512.0,46.0,2.4571964277,11.440774922,9.3,81.841889655
29,16059,Lemhi,35.0,28.0,15.0,15.486609857,12.373968836,1575:1,2238.0,34.0,4.4716604956,5.0793650794,9.0,79.137719401
30,16061,Lewis,32.0,32.0,31.0,16.731328695,14.391534392,1944:1,3590.0,36.0,5.4978619426,7.7180344739,8.5,79.408322412
31,16063,Lincoln,13.0,38.0,39.0,17.762430697,17.648366304,5318:1,3274.0,31.0,3.3601168736,0.0,6.6,79.616662992
32,16065,Madison,6.0,18.0,8.0,17.492126596,8.6437521165,1566:1,2345.0,43.0,1.725251407,0.0,7.4,81.241426296
33,16067,Minidoka,34.0,25.0,37.0,18.650785568,17.483784258,3455:1,2438.0,35.0,2.5201704288,4.3417434512,7.4,79.044613696
34,16069,Nez Perce,16.0,36.0,9.0,14.310009449,10.631905105,1346:1,3504.0,45.0,2.7502018715,11.142751021,9.0,77.567810785
35,16071,Oneida,10.0,5.0,35.0,12.842195413,11.922418711,2214:1,4116.0,24.0,2.1804189825,0.0,6.0,80.130087552
36,16073,Owyhee,42.0,41.0,41.0,20.074042806,23.153607032,11628:1,2294.0,32.0,3.597650514,0.0,8.0,77.837472245
