,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,17001,Adams,44.0,66.0,12.0,14.772517959,5.2365870045,1123:1,6027.0,41.0,3.8822849846,14.645046351,10.7,78.288202676
1,17003,Alexander,99.0,101.0,72.0,24.272540011,6.3651248465,6315:1,5385.0,35.0,7.9424059452,12.668250198,11.3,74.445441538
2,17005,Bond,60.0,46.0,42.0,15.598466912,6.6122516283,1412:1,4068.0,46.0,4.3763400177,11.210762332,11.3,78.646101727
3,17007,Boone,18.0,33.0,77.0,15.614342008,7.5019403482,1784:1,5445.0,48.0,5.7530313905,6.5404668025,11.4,79.456425254
4,17009,Brown,10.0,42.0,25.0,15.601500675,3.6247334755,6716:1,5062.0,32.0,2.6933701657,10.422870756,10.3,77.898723255
5,17011,Bureau,34.0,22.0,24.0,15.165622447,6.0713323843,2078:1,2647.0,42.0,5.0086256469,16.544836507,11.5,78.629183337
6,17013,Calhoun,36.0,18.0,63.0,13.69214692,5.9881847476,2417:1,4241.0,42.0,5.3418803419,0.0,10.8,83.309100944
7,17015,Carroll,14.0,11.0,74.0,13.532288519,6.9833948339,2904:1,4724.0,46.0,4.4518272425,15.842402535,10.7,79.377607098
8,17017,Cass,63.0,75.0,96.0,17.318096731,8.5035999222,,5951.0,38.0,4.4952937358,13.594562175,10.8,77.448984362
9,17019,Champaign,42.0,60.0,18.0,16.332737938,6.0591156358,1052:1,5169.0,48.0,4.4033727962,11.891174265,11.8,80.529049753
10,17021,Christian,52.0,55.0,75.0,14.400168551,6.026812196,2546:1,6709.0,42.0,5.2908269866,14.500634403,11.5,77.541922921
11,17023,Clark,65.0,70.0,92.0,15.401350458,5.9166469708,2252:1,6770.0,36.0,5.1704180064,17.758609755,11.4,77.601947673
12,17025,Clay,49.0,54.0,30.0,14.938190571,6.2036156042,6635:1,2511.0,38.0,5.30933293,20.348179968,11.6,76.987167582
13,17027,Clinton,9.0,48.0,10.0,12.990591612,4.7577418379,2893:1,3090.0,40.0,3.5724801256,11.963630563,11.6,79.655177592
14,17029,Coles,67.0,98.0,81.0,17.736598203,6.9443060676,1333:1,8415.0,42.0,4.8398429428,13.466977048,11.6,78.639965322
15,17031,Cook,47.0,23.0,84.0,17.140851058,9.972268492,1072:1,5194.0,45.0,4.0363207215,7.2093847499,15.0,79.415729611
16,17033,Crawford,41.0,44.0,11.0,14.346339843,5.9251412429,1724:1,2689.0,40.0,5.354904865,15.821950319,11.7,77.746084319
17,17035,Cumberland,28.0,56.0,93.0,14.496170442,6.5301478953,,7774.0,36.0,4.0460526316,10.084341768,11.6,79.256090506
18,17037,DeKalb,25.0,74.0,59.0,15.743360243,6.307213369,3273:1,5605.0,50.0,4.3974264242,9.2616462815,12.1,79.556214921
19,17039,De Witt,54.0,24.0,35.0,13.917358386,5.2058205587,2657:1,4976.0,43.0,5.0778158797,13.800025091,11.5,76.706467977
20,17041,Douglas,27.0,28.0,99.0,15.062310608,9.2782867046,3291:1,6882.0,44.0,4.1030160595,15.191411789,11.5,78.742725739
21,17043,DuPage,3.0,1.0,4.0,12.902530389,6.3975946593,741:1,4037.0,52.0,3.1306399292,9.3320489223,13.2,82.384832928
22,17045,Edgar,71.0,39.0,97.0,14.654341529,6.0119354601,2888:1,6728.0,32.0,4.6739130435,15.581717452,11.3,77.091262117
23,17047,Edwards,32.0,25.0,38.0,13.881104925,5.8189655172,,2955.0,35.0,4.5340050378,21.584952205,11.7,79.091103915
24,17049,Effingham,22.0,27.0,13.0,14.113453311,5.5948278924,1219:1,5193.0,34.0,3.7449657409,15.234970116,11.8,78.896803381
25,17051,Fayette,62.0,68.0,87.0,16.639989066,7.2004500281,7261:1,5275.0,40.0,5.2905198777,16.066838046,11.5,78.631763576
26,17053,Ford,51.0,49.0,26.0,15.316361684,6.1868214152,1328:1,3549.0,30.0,4.8152826018,17.319277108,11.5,76.117497844
27,17055,Franklin,93.0,86.0,86.0,17.292388593,6.7544770309,3003:1,6875.0,35.0,6.1470846762,16.39302272,11.7,75.602424875
28,17057,Fulton,66.0,65.0,85.0,15.800072405,6.3841411067,3192:1,5795.0,35.0,6.246715712,16.804329251,11.2,76.533531069
29,17059,Gallatin,95.0,41.0,98.0,16.572608522,6.622004638,5080:1,7096.0,31.0,5.7518488085,11.811023622,11.4,74.000434713
30,17061,Greene,83.0,76.0,90.0,15.498565151,6.4296011533,4391:1,6002.0,35.0,4.9044056525,12.904205253,10.8,75.872466746
31,17063,Grundy,13.0,36.0,36.0,13.514413201,4.9975940056,3162:1,5451.0,45.0,4.6842209463,9.4887913652,12.0,78.635982852
32,17065,Hamilton,43.0,45.0,88.0,15.21274661,5.6848352335,2049:1,7113.0,35.0,4.36234142,35.391750061,11.3,78.163893023
33,17067,Hancock,30.0,21.0,44.0,13.997109854,5.5720170557,4505:1,4397.0,41.0,4.7231078049,17.758046615,10.8,79.42305356
34,17069,Hardin,102.0,67.0,102.0,17.617054518,7.2934669893,1012:1,12206.0,17.0,7.8183172003,7.4147305981,11.1,72.040352759
35,17071,Henderson,69.0,15.0,69.0,13.845063873,7.5156985871,,6167.0,46.0,4.9945414847,11.773362767,10.7,78.714190694
36,17073,Henry,21.0,37.0,43.0,14.378699355,6.245360772,4484:1,3841.0,50.0,5.0193358051,13.987998703,11.3,79.275600825
37,17075,Iroquois,89.0,34.0,89.0,16.116657442,7.7443401436,2788:1,5088.0,37.0,4.4810337641,15.425455589,11.7,75.595956667
38,17077,Jackson,91.0,95.0,41.0,19.08448859,7.6966352916,767:1,4902.0,40.0,4.5847105235,15.784777984,11.5,78.257465296
39,17079,Jasper,12.0,13.0,51.0,13.662605848,5.8236057069,9578:1,4948.0,39.0,4.9382716049,15.660889539,11.6,79.726592213
40,17081,Jefferson,90.0,91.0,45.0,17.088516843,5.8724370442,1591:1,5831.0,44.0,5.3111375347,19.120458891,11.6,76.065377835
41,17083,Jersey,50.0,50.0,65.0,13.527783487,5.0440630798,2438:1,6972.0,40.0,4.851458163,8.2038193337,11.0,76.648492445
42,17085,Jo Daviess,20.0,5.0,78.0,12.835257267,7.1269203799,2159:1,6946.0,47.0,4.3886005645,10.651106789,10.3,79.998907343
43,17087,Johnson,39.0,53.0,55.0,16.137607945,5.8788878417,12900:1,5408.0,44.0,7.8048780488,12.403100775,11.2,78.179086955
44,17089,Kane,8.0,2.0,83.0,16.040688669,9.1037245076,2453:1,4709.0,49.0,4.9112635587,7.2007436404,12.8,81.488029907
45,17091,Kankakee,88.0,96.0,70.0,16.445733525,6.6581044065,2491:1,5900.0,46.0,5.4220314735,10.948405638,12.3,76.478550602
46,17093,Kendall,2.0,10.0,22.0,13.435042057,5.2563618316,2685:1,4117.0,53.0,3.5175359513,5.3082761571,12.4,81.964534143
47,17095,Knox,77.0,84.0,14.0,17.961998821,5.780457199,1746:1,4615.0,50.0,5.3281088141,13.626130574,11.1,77.150679834
48,17097,Lake,4.0,4.0,15.0,14.044699195,7.134818399,898:1,4711.0,51.0,4.5187512718,7.71833068,12.6,81.611164162
49,17099,LaSalle,59.0,61.0,34.0,15.107222908,5.921120497,2752:1,4608.0,45.0,5.8011737507,12.992086638,12.0,77.118690637
50,17101,Lawrence,86.0,87.0,95.0,16.689726126,6.7980655169,4042:1,7582.0,45.0,5.885303461,16.699653637,11.8,75.840890841
51,17103,Lee,23.0,80.0,16.0,15.238541428,5.8109657272,1434:1,4301.0,44.0,4.419269811,13.660408068,11.4,78.745114363
52,17105,Livingston,64.0,58.0,9.0,15.275449708,5.7222685874,2148:1,3647.0,51.0,4.4190246839,16.704091133,11.6,76.90120832
53,17107,Logan,53.0,72.0,20.0,14.046134963,5.2516302454,3656:1,4200.0,41.0,4.7152194211,15.387245683,11.5,76.986597704
54,17109,McDonough,46.0,93.0,68.0,17.1754568,7.1379951899,2055:1,4206.0,47.0,5.1201437233,13.950621289,10.8,78.289981541
55,17111,McHenry,5.0,12.0,31.0,13.410050334,5.9537428688,1956:1,4866.0,50.0,3.4965540944,6.9875324306,12.1,80.43515265
56,17113,McLean,15.0,47.0,1.0,14.719305294,5.1281505601,1758:1,4077.0,57.0,4.187099637,11.782459806,11.7,80.182875914
57,17115,Macon,87.0,82.0,27.0,16.337623633,5.5362227143,1202:1,6514.0,46.0,5.5943636036,15.311764539,11.8,77.544413626
58,17117,Macoupin,80.0,30.0,64.0,14.360907995,5.9535682624,4131:1,4784.0,35.0,4.9076562906,16.063019848,11.5,76.753897855
59,17119,Madison,70.0,88.0,17.0,15.327855388,4.9205690007,2194:1,5091.0,51.0,4.5179268066,13.638350136,12.6,76.74025434
60,17121,Marion,97.0,92.0,71.0,16.715550642,6.173415024,2707:1,6641.0,46.0,4.9443131961,22.42625719,11.6,74.303582856
61,17123,Marshall,48.0,26.0,40.0,13.494886361,5.8862876254,11730:1,3463.0,43.0,5.1905626134,17.902813299,11.5,76.964554764
62,17125,Mason,56.0,77.0,66.0,14.906069905,6.2529472791,4572:1,4358.0,35.0,5.9987337765,14.582573824,11.2,76.962754015
63,17127,Massac,96.0,83.0,54.0,16.496836009,6.1435254656,4781:1,5597.0,47.0,7.0111343076,17.428890128,11.2,74.51086571
64,17129,Menard,33.0,17.0,39.0,13.071017378,5.4073175662,2449:1,3877.0,39.0,4.0065779638,8.9832584728,11.1,78.863681287
65,17131,Mercer,31.0,32.0,23.0,13.724373552,5.3441361814,5206:1,3304.0,44.0,5.2819943231,17.928031758,10.8,77.855239669
66,17133,Monroe,1.0,8.0,7.0,11.515169686,3.6590524535,2841:1,5452.0,52.0,3.4632965851,14.077484823,11.3,82.256754425
67,17135,Montgomery,73.0,63.0,61.0,15.439206509,5.9814418273,1599:1,5805.0,31.0,5.9372634766,14.935741577,11.4,77.256963561
68,17137,Morgan,79.0,69.0,29.0,15.911182542,5.221817016,2414:1,4656.0,42.0,4.4086087436,14.497899284,10.9,77.632389015
69,17139,Moultrie,19.0,19.0,94.0,14.60219678,8.0309790386,3672:1,6196.0,43.0,3.8410419989,13.616557734,11.5,78.399137312
70,17141,Ogle,24.0,57.0,48.0,15.001773139,6.6498134104,1547:1,4772.0,49.0,5.0417177429,14.49190216,11.5,78.80497729
71,17143,Peoria,81.0,94.0,5.0,15.623082311,6.3206356876,817:1,3878.0,49.0,5.5447493078,13.878947167,11.9,77.384720634
72,17145,Perry,38.0,78.0,62.0,15.280889094,5.6608776349,1935:1,5047.0,29.0,5.9720908231,25.369978858,11.4,78.066013259
73,17147,Piatt,7.0,6.0,6.0,11.976344245,4.7361705322,2056:1,3542.0,49.0,4.3060498221,14.594101551,11.6,79.342913405
74,17149,Pike,72.0,85.0,79.0,16.551702903,7.1487603306,1978:1,4748.0,24.0,4.8098125689,11.377283358,10.6,76.812505568
75,17151,Pope,78.0,16.0,101.0,14.553162723,7.5484301937,,8032.0,28.0,6.1107938321,20.809248555,11.1,79.218577933
76,17153,Pulaski,100.0,99.0,76.0,21.174406401,7.4518100611,,3773.0,36.0,8.2238442822,23.597749138,11.1,76.266068805
77,17155,Putnam,40.0,9.0,33.0,12.902229477,5.8465011287,5727:1,4199.0,41.0,5.2302631579,0.0,11.3,78.737793587
78,17157,Randolph,58.0,71.0,80.0,16.019171044,5.4939673211,2316:1,6084.0,29.0,4.4359949303,20.972766246,11.0,77.165850753
79,17159,Richland,74.0,40.0,58.0,16.571638331,6.3428980208,1988:1,6472.0,48.0,4.6948356808,18.866737941,11.7,77.137146774
80,17161,Rock Island,45.0,81.0,21.0,17.009410403,6.7429185267,1931:1,4886.0,52.0,5.2291675366,12.844594221,11.0,78.180758402
81,17163,St. Clair,94.0,100.0,57.0,17.55936737,6.1790247161,1683:1,6162.0,43.0,5.0498459023,11.086601214,11.9,76.474465906
82,17165,Saline,98.0,97.0,100.0,17.858517367,7.0537428023,1607:1,7662.0,25.0,6.508755947,19.915359721,11.5,73.774888494
83,17167,Sangamon,82.0,79.0,2.0,15.749531105,5.4573998854,832:1,4688.0,51.0,4.2935139925,19.037729318,11.5,78.021812542
84,17169,Schuyler,84.0,35.0,73.0,15.735633512,6.8372943327,3518:1,4029.0,33.0,4.4691061788,17.057569296,10.6,75.635205334
85,17171,Scott,75.0,20.0,50.0,15.151326306,5.0149700599,,6093.0,39.0,5.3607416364,13.994402239,10.6,76.852993605
86,17173,Shelby,37.0,51.0,46.0,14.994887962,5.0835407039,3620:1,6031.0,46.0,4.317016317,17.035775128,11.6,80.434708281
87,17175,Stark,55.0,29.0,52.0,14.795056816,6.2806444081,5434:1,3552.0,45.0,6.3007344414,18.402649982,11.0,76.682870448
