,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,18001,Adams,40.0,53.0,68.0,18.936986038,11.623896947,2730:1,3652.0,44.0,2.6066079799,14.933363388,12.5,78.970915276
1,18003,Allen,55.0,61.0,32.0,17.705718867,9.7108854332,1486:1,5079.0,48.0,3.1542277254,11.371041925,12.6,77.071299986
2,18005,Bartholomew,26.0,17.0,19.0,16.108504549,9.8855313363,1414:1,4787.0,55.0,2.6161828016,10.36079961,11.2,78.164564605
3,18007,Benton,19.0,38.0,35.0,19.180962782,11.310285958,,3937.0,53.0,3.2138172278,8.1272495066,11.0,79.343573144
4,18009,Blackford,76.0,56.0,49.0,18.65619489,8.597626753,1711:1,4751.0,48.0,3.8569556263,20.04008016,11.7,75.133880766
5,18011,Boone,3.0,2.0,2.0,14.111307883,6.7289525229,484:1,3944.0,54.0,2.7044340463,11.688804554,12.0,78.561709928
6,18013,Brown,29.0,4.0,40.0,16.60424907,10.48944926,3007:1,3189.0,47.0,3.1727379553,9.9767209844,10.8,78.437446968
7,18015,Carroll,22.0,35.0,59.0,18.487845991,10.203067751,6680:1,4075.0,48.0,3.2735775526,12.974699336,11.6,79.267576663
8,18017,Cass,79.0,44.0,53.0,20.359896844,13.198565373,2375:1,4687.0,52.0,3.6947966769,12.896773175,12.0,76.012475908
9,18019,Clark,80.0,79.0,50.0,20.379589922,8.5838265103,2339:1,6519.0,49.0,3.4258357676,9.9168184111,12.0,74.882501657
10,18021,Clay,68.0,57.0,76.0,18.791263247,8.4085066604,2382:1,5727.0,41.0,3.908530652,15.650049622,11.2,75.419624366
11,18023,Clinton,53.0,63.0,52.0,19.510151398,11.664033702,5386:1,4145.0,54.0,2.8197674419,13.305690503,11.5,76.094223763
12,18025,Crawford,88.0,75.0,85.0,21.80931857,11.469576563,,5805.0,40.0,4.4776119403,4.7321597577,11.6,74.537341925
13,18027,Daviess,41.0,45.0,91.0,19.403002515,17.933448823,2070:1,5440.0,30.0,2.7040106467,14.797813548,12.1,76.517365787
14,18029,Dearborn,30.0,42.0,34.0,15.719527117,7.3012465543,2261:1,5320.0,53.0,3.6353895607,11.459359482,11.8,76.898019461
15,18031,Decatur,27.0,28.0,78.0,16.792071784,8.1271129141,1782:1,6931.0,40.0,2.9932518207,12.716460336,11.4,76.893983951
16,18033,DeKalb,25.0,29.0,64.0,17.257377122,8.2776550837,2040:1,5854.0,47.0,2.8265410426,14.006910076,12.4,77.345720364
17,18035,Delaware,85.0,59.0,22.0,20.844891166,9.0132266715,1002:1,5819.0,52.0,4.0122601968,14.064453396,11.5,74.772172424
18,18037,Dubois,8.0,5.0,7.0,15.618475801,8.9484313224,1182:1,3026.0,45.0,2.4831956159,13.863433432,11.9,79.450713786
19,18039,Elkhart,32.0,54.0,58.0,19.81106105,14.192814177,1916:1,3859.0,51.0,2.5905889031,12.583401615,13.1,78.253546302
20,18041,Fayette,92.0,86.0,47.0,22.242741729,9.6049827897,1785:1,4694.0,45.0,4.6397913724,15.080356758,11.2,72.506514808
21,18043,Floyd,51.0,71.0,12.0,16.600542475,6.9237334161,1454:1,5480.0,50.0,3.321175817,11.158542123,12.0,76.572159531
22,18045,Fountain,44.0,58.0,63.0,18.457735129,8.6432926829,5502:1,4724.0,41.0,3.6157914156,13.329294153,11.1,76.688016352
23,18047,Franklin,11.0,36.0,21.0,16.246691732,8.8823054134,1190:1,4571.0,50.0,3.7121544537,7.5158052964,11.4,79.496330346
24,18049,Fulton,62.0,50.0,55.0,17.728577845,11.420177522,2006:1,4573.0,49.0,3.3942558747,17.448526846,12.0,75.767685946
25,18051,Gibson,49.0,13.0,17.0,16.504077894,6.7459301262,3052:1,5165.0,53.0,2.675224647,14.89158923,12.2,76.450420259
26,18053,Grant,91.0,83.0,46.0,23.272574794,8.5586410335,2216:1,5897.0,48.0,3.855578647,16.543592366,12.0,74.677794758
27,18055,Greene,52.0,85.0,77.0,17.845383755,8.899688958,4022:1,5725.0,41.0,4.427802821,14.295925661,10.9,76.313237526
28,18057,Hamilton,1.0,1.0,1.0,10.561042053,6.1059261261,701:1,3121.0,56.0,2.694047034,9.6371549389,11.6,81.920760489
29,18059,Hancock,6.0,14.0,3.0,14.808724219,6.0362427791,1190:1,3607.0,57.0,3.0322840189,10.402080416,11.9,78.818359351
30,18061,Harrison,36.0,51.0,30.0,17.498078351,8.2314837448,2217:1,5431.0,52.0,3.4602419195,8.020452153,12.3,77.182868894
31,18063,Hendricks,2.0,3.0,5.0,14.953200945,6.617668128,1996:1,3636.0,55.0,2.8827811953,8.6141063628,12.2,79.505253778
32,18065,Henry,65.0,26.0,51.0,21.181745326,7.973190945,2551:1,5367.0,41.0,3.5239154616,14.233847677,11.0,75.924517627
33,18067,Howard,81.0,78.0,16.0,18.347792906,8.2889490824,1584:1,4767.0,47.0,4.0616283703,16.390855117,11.6,74.722179479
34,18069,Huntington,39.0,39.0,26.0,16.574694345,7.904827114,1730:1,5339.0,51.0,3.5589899869,18.163304621,12.3,77.13436265
35,18071,Jackson,59.0,65.0,18.0,20.885563071,10.010976948,1755:1,2803.0,50.0,2.8465238303,14.811776502,11.3,75.645224919
36,18073,Jasper,38.0,33.0,74.0,16.674121597,9.5918897842,4181:1,5125.0,45.0,3.9311890484,14.351062876,12.0,77.257773254
37,18075,Jay,86.0,80.0,66.0,19.914048583,9.5495072736,2327:1,6368.0,52.0,3.3221578787,15.755550251,12.1,74.785549561
38,18077,Jefferson,66.0,84.0,48.0,17.642401019,9.1005119038,1783:1,5926.0,50.0,3.4304635762,11.530430989,11.3,75.389176099
39,18079,Jennings,89.0,90.0,38.0,21.321464176,8.781832502,2511:1,3636.0,47.0,3.6431608269,7.963512633,11.3,73.444765292
40,18081,Johnson,12.0,8.0,9.0,16.108662393,7.9430607159,1272:1,4480.0,54.0,2.8747383282,8.8370793453,12.1,78.120450559
41,18083,Knox,70.0,70.0,31.0,19.000960214,8.4568439407,1210:1,5896.0,48.0,3.2543126257,17.596246134,12.2,75.821487126
42,18085,Kosciusko,17.0,31.0,60.0,17.482060762,11.794682309,2731:1,5017.0,49.0,2.6465559641,16.791657198,12.8,78.738384076
43,18087,LaGrange,7.0,19.0,92.0,16.502851408,24.854621129,3930:1,4213.0,47.0,2.4984233251,8.6507391293,12.7,79.451099715
44,18089,Lake,74.0,47.0,81.0,21.062614435,9.6790602457,1861:1,7059.0,40.0,4.9413000069,9.8014990528,14.3,76.459893919
45,18091,LaPorte,71.0,92.0,42.0,18.347457388,8.8393806879,2821:1,4989.0,50.0,4.3767047702,12.269492588,12.4,75.779407035
46,18093,Lawrence,46.0,24.0,20.0,17.785250818,8.52304122,2537:1,3772.0,46.0,3.8436081694,15.985634827,11.1,76.812542427
47,18095,Madison,83.0,88.0,39.0,20.636314066,9.0541455835,2023:1,5325.0,52.0,3.878447275,13.822607299,11.4,75.780867224
48,18097,Marion,72.0,68.0,36.0,19.04312284,11.683586369,1253:1,5110.0,49.0,3.491296214,11.577948009,12.8,75.736182829
49,18099,Marshall,24.0,76.0,62.0,18.425806081,12.764730551,2325:1,3920.0,50.0,3.1770367531,15.054410942,12.7,78.607902063
50,18101,Martin,33.0,73.0,70.0,17.529532792,9.3803786575,5108:1,3696.0,26.0,2.7426160338,15.663240333,11.4,78.092293722
51,18103,Miami,57.0,91.0,72.0,21.049363843,9.9996206517,5121:1,4768.0,41.0,4.0145985401,13.39098898,12.1,77.156232266
52,18105,Monroe,16.0,16.0,6.0,17.256472698,9.1522512575,1709:1,2505.0,50.0,3.6016645143,9.4566829494,10.4,80.029030719
53,18107,Montgomery,37.0,22.0,24.0,16.684590401,9.7663368914,2568:1,4555.0,55.0,3.038053975,10.382868267,11.3,76.745634952
54,18109,Morgan,43.0,43.0,15.0,17.560721662,8.2297626662,2179:1,3762.0,52.0,3.3853594197,9.8977235236,11.8,76.66961645
55,18111,Newton,78.0,48.0,89.0,19.712506006,12.208021155,14130:1,5274.0,43.0,4.3417170156,7.0771408351,11.7,75.381921826
56,18113,Noble,21.0,41.0,75.0,16.66462878,10.397615319,3650:1,5699.0,48.0,2.9324769712,10.958442215,12.8,77.486299019
57,18115,Ohio,5.0,12.0,69.0,13.975312727,7.3806395094,5828:1,5371.0,43.0,3.4989065917,8.5792724777,11.4,78.168724629
58,18117,Orange,58.0,67.0,44.0,19.86300167,9.9792504215,1766:1,3112.0,37.0,3.8734442247,13.898898384,11.4,76.115383206
59,18119,Owen,64.0,34.0,54.0,18.940138883,11.269041622,10420:1,3000.0,47.0,4.3529411765,7.677911608,10.8,75.583658572
60,18121,Parke,35.0,69.0,87.0,19.202342409,11.762295082,4222:1,6225.0,42.0,3.9893988004,14.805164041,11.1,78.851112139
61,18123,Perry,45.0,72.0,29.0,18.662212624,8.1079196877,1908:1,2971.0,35.0,3.6897994208,9.4334678476,12.1,77.032193664
62,18125,Pike,56.0,40.0,80.0,18.844642418,9.0287696388,12365:1,4167.0,30.0,3.4853420195,16.983420946,12.3,76.977912186
63,18127,Porter,23.0,25.0,33.0,16.148712495,7.4772249977,1604:1,5243.0,46.0,3.8446467673,9.0259138738,12.7,78.339618437
64,18129,Posey,15.0,20.0,13.0,15.955954225,6.4123957092,2844:1,5633.0,60.0,2.825722817,10.548935339,12.1,79.325201121
65,18131,Pulaski,69.0,21.0,82.0,17.893912898,10.005027652,2507:1,5024.0,32.0,3.125,21.541407372,11.7,75.699314442
66,18133,Putnam,18.0,11.0,45.0,16.407523397,8.2356879813,2900:1,4614.0,45.0,3.773249615,12.200944247,11.2,78.049988456
67,18135,Randolph,84.0,62.0,67.0,19.302443831,9.6108790873,4984:1,4315.0,39.0,3.909075254,16.050076238,11.8,75.44091955
68,18137,Ripley,42.0,37.0,61.0,17.845076853,9.2240934869,28442:1,5236.0,48.0,3.6008522727,15.47007946,11.4,76.726899192
69,18139,Rush,47.0,55.0,71.0,18.560427485,10.311038527,2774:1,6982.0,53.0,2.8767426422,17.422649444,11.3,76.354415546
70,18141,St. Joseph,54.0,60.0,10.0,18.90329959,10.225596291,1099:1,3950.0,51.0,3.5625475396,11.315145285,12.8,77.096052559
71,18143,Scott,90.0,66.0,84.0,19.211339817,8.5803034932,2387:1,7381.0,42.0,3.9106671692,10.054461667,11.4,71.586499615
72,18145,Shelby,50.0,52.0,57.0,17.95496341,8.5369532428,3171:1,6698.0,52.0,3.0998059927,11.037278973,11.8,76.148581331
73,18147,Spencer,10.0,7.0,23.0,17.37270344,8.4924012158,2549:1,4037.0,48.0,3.2777929527,12.7488477,12.1,78.683860892
74,18149,Starke,73.0,77.0,83.0,20.265798629,9.8179663938,4579:1,4557.0,35.0,4.3304082411,8.7362949373,12.3,74.866366537
75,18151,Steuben,9.0,30.0,37.0,16.458553094,9.5585732118,3135:1,3741.0,48.0,2.6632597907,13.629509338,12.0,79.961696774
76,18153,Sullivan,61.0,64.0,90.0,19.50491326,9.4079210561,2075:1,7678.0,42.0,4.6657381616,10.12243324,11.5,75.783729541
77,18155,Switzerland,77.0,89.0,88.0,21.580626817,11.452130096,,6018.0,36.0,3.885400314,4.674644727,11.3,76.549548557
78,18157,Tippecanoe,34.0,46.0,14.0,19.426508319,9.9463265201,1433:1,4011.0,54.0,3.1537571781,10.179078321,10.9,79.124290807
79,18159,Tipton,28.0,10.0,41.0,16.885077887,8.3862876254,3026:1,4990.0,54.0,2.8036371509,15.203595981,11.7,77.625242285
80,18161,Union,60.0,6.0,79.0,18.238432018,9.2055267703,7200:1,6065.0,49.0,3.1326614002,5.5555555556,11.2,76.11945957
81,18163,Vanderburgh,82.0,81.0,8.0,19.380645513,8.516135222,1179:1,5560.0,55.0,3.1895347983,14.921592811,12.5,76.424063633
82,18165,Vermillion,48.0,49.0,86.0,17.406302661,8.1223202006,2584:1,7235.0,43.0,5.5098340075,10.319251854,11.4,75.725066927
83,18167,Vigo,75.0,87.0,73.0,20.267988194,9.1006279261,1097:1,7540.0,48.0,4.3811810671,14.323449533,11.3,75.830944738
84,18169,Wabash,63.0,32.0,25.0,18.858492375,9.1892348642,2246:1,4504.0,50.0,3.4896986779,18.446077028,12.3,75.842508135
85,18171,Warren,4.0,27.0,56.0,16.364772653,7.258805513,,4713.0,40.0,3.2235126807,10.97427143,10.9,79.703054169
86,18173,Warrick,13.0,15.0,4.0,16.117011759,7.2115292357,625:1,5190.0,57.0,2.9323036081,10.714856869,12.6,78.503116623
87,18175,Washington,67.0,82.0,65.0,17.911221992,10.464098074,3975:1,4034.0,45.0,3.5229171207,6.8279009595,11.5,74.813021429
88,18177,Wayne,87.0,74.0,43.0,19.525653203,10.980810235,1539:1,5439.0,47.0,3.5952616622,13.749338974,11.5,73.616071008
89,18179,Wells,20.0,23.0,28.0,18.358380834,7.985058229,1555:1,5465.0,47.0,2.8132814671,17.152658662,12.4,78.312860911
90,18181,White,31.0,9.0,27.0,17.492670471,10.961267053,3023:1,2872.0,50.0,3.0720727326,11.578860309,11.7,76.964520012
91,18183,Whitley,14.0,18.0,11.0,16.496627559,8.566673902,1777:1,3663.0,49.0,2.8563332389,13.627207015,11.9,79.381136037
