,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,19001,Adair,48.0,40.0,14.0,13.854797176,5.4625712709,2351:1,1682.0,54.0,2.380952381,9.9234476893,8.7,79.731910733
1,19003,Adams,53.0,21.0,27.0,12.484818708,6.1943752225,3686:1,2062.0,45.0,1.934874941,10.851871948,8.7,78.404216362
2,19005,Allamakee,31.0,61.0,72.0,14.527962439,7.9272315958,1736:1,2671.0,41.0,3.0681509639,15.125324114,8.9,79.701410662
3,19007,Appanoose,96.0,90.0,81.0,15.912165255,6.3441544664,1123:1,4379.0,36.0,3.3128415301,9.7150259067,9.2,77.494255873
4,19009,Audubon,93.0,46.0,51.0,12.981562934,6.6634707574,1395:1,1846.0,35.0,2.4390243902,19.720329867,8.7,75.440839246
5,19011,Benton,34.0,36.0,78.0,12.474054176,5.0121608088,6411:1,4164.0,32.0,2.7029050614,14.429451681,9.9,79.931699597
6,19013,Black Hawk,72.0,94.0,8.0,13.949032438,5.2627629036,1053:1,3413.0,57.0,2.7685524923,12.061998673,9.4,78.417547741
7,19015,Boone,28.0,62.0,26.0,13.935630064,4.1765609722,2037:1,4128.0,59.0,2.1395788337,13.97069929,9.1,79.406075916
8,19017,Bremer,5.0,3.0,17.0,11.751919404,3.9052122629,1916:1,3487.0,48.0,2.0296135789,18.06430894,9.3,82.23970025
9,19019,Buchanan,10.0,54.0,58.0,11.593876981,5.2741272506,3534:1,3472.0,50.0,2.5569959768,10.848033204,9.7,78.946765503
10,19021,Buena Vista,27.0,33.0,89.0,16.225093043,11.319228376,2234:1,2518.0,54.0,2.1235351132,22.376926902,8.7,81.385700556
11,19023,Butler,29.0,52.0,67.0,12.22642987,5.2012383901,7303:1,4170.0,45.0,2.744797651,20.539504313,9.1,78.669069145
12,19025,Calhoun,75.0,79.0,45.0,14.733663602,5.5738644505,1392:1,3731.0,42.0,2.5174825175,24.625487379,8.8,78.548014794
13,19027,Carroll,18.0,39.0,11.0,12.121249682,4.3999505624,1069:1,4065.0,60.0,1.8684673018,19.68503937,8.9,79.880601713
14,19029,Cass,79.0,70.0,41.0,14.862979747,6.7821930087,1878:1,2374.0,33.0,2.6768103691,19.779383796,8.7,76.63205487
15,19031,Cedar,1.0,22.0,42.0,11.30416249,4.3117855472,3709:1,3405.0,44.0,2.4165814667,12.9428895,10.4,82.110875451
16,19033,Cerro Gordo,80.0,50.0,3.0,13.535121676,4.5516201959,652:1,4264.0,58.0,2.6053738518,19.299632609,8.6,78.398395705
