,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,20001,Allen,86.0,93.0,55.0,17.763332374,9.1191388055,1565:1,5582.0,38.0,4.0234436876,11.981787683,9.5,76.567721511
1,20003,Anderson,70.0,71.0,41.0,16.692746084,10.385756677,2611:1,3071.0,27.0,3.4841519477,11.489850632,9.2,76.119989166
2,20005,Atchison,80.0,91.0,46.0,17.394040528,7.4139594725,1815:1,5497.0,27.0,4.6241947029,14.695077149,9.7,76.93974274
3,20007,Barber,55.0,35.0,87.0,15.829654457,13.894380119,2293:1,4831.0,24.0,2.5876460768,28.34714348,7.8,76.274491336
4,20009,Barton,56.0,83.0,64.0,17.4200945,12.891090052,1891:1,4460.0,31.0,3.3027659733,20.395830186,7.9,78.335384402
5,20011,Bourbon,93.0,92.0,32.0,18.636405492,10.334662736,1844:1,4004.0,47.0,4.1853932584,14.233428223,9.5,75.808180682
6,20013,Brown,78.0,82.0,17.0,16.711036752,10.511215441,964:1,2321.0,26.0,3.0450214833,23.856446427,9.4,74.80952443
7,20015,Butler,50.0,47.0,25.0,14.478245742,7.8949270126,1592:1,3928.0,49.0,3.4598284176,12.261132211,9.6,77.507599874
8,20017,Chase,54.0,37.0,13.0,15.733322556,10.319539026,,2063.0,37.0,2.628032345,0.0,8.6,76.61016704
9,20019,Chautauqua,102.0,57.0,94.0,16.966240395,16.294189354,3363:1,4310.0,30.0,4.0225829217,17.841213202,9.1,74.17197053
10,20021,Cherokee,100.0,102.0,67.0,18.380852281,10.624729119,4023:1,5063.0,40.0,3.7527374079,11.931394482,9.9,74.62719845
11,20023,Cheyenne,66.0,19.0,86.0,16.264187886,13.513513514,2683:1,5549.0,36.0,2.3610053313,22.363026463,6.2,82.18053635
12,20025,Clark,77.0,41.0,28.0,16.29501756,12.451612903,501:1,2854.0,29.0,2.441314554,34.930139721,7.1,74.992780648
13,20027,Clay,38.0,4.0,15.0,15.146492173,8.2090775029,796:1,5142.0,38.0,3.2181482458,26.388539834,8.3,78.937655349
14,20029,Cloud,48.0,96.0,59.0,15.708391464,9.2439456586,2248:1,5937.0,32.0,3.5147991543,31.142253364,8.1,76.063343836
15,20031,Coffey,11.0,33.0,22.0,15.291790962,7.6780758557,1175:1,4901.0,40.0,4.8138957816,9.7276264591,9.2,78.777439098
16,20033,Comanche,29.0,2.0,49.0,14.1008155,14.525993884,895:1,6156.0,47.0,2.4943310658,44.69273743,7.2,73.881740781
17,20035,Cowley,97.0,77.0,38.0,18.607261768,10.396057675,1965:1,3662.0,41.0,3.4299372572,16.6850485,9.3,75.719611417
18,20037,Crawford,91.0,95.0,34.0,19.11985275,11.876070273,1220:1,4253.0,45.0,4.0008535154,11.784598043,9.7,76.23696497
19,20039,Decatur,67.0,56.0,61.0,17.096950789,12.566457226,2885:1,3657.0,41.0,3.037569944,24.263431542,6.6,77.118050503
20,20041,Dickinson,72.0,84.0,53.0,16.287788448,9.8253275109,2700:1,4622.0,28.0,3.5112666813,21.690826368,8.8,78.10752875
21,20043,Doniphan,6.0,78.0,47.0,14.279410105,9.9318568995,2576:1,4396.0,39.0,3.5398230088,14.235796558,9.9,78.674338556
22,20045,Douglas,15.0,60.0,2.0,14.525275596,9.2440456341,1150:1,3077.0,57.0,3.0598628813,9.2720604671,9.8,80.361709799
23,20047,Edwards,83.0,42.0,96.0,17.69417157,17.076382792,2893:1,4429.0,15.0,2.4470899471,10.369858279,7.5,71.587422116
24,20049,Elk,88.0,74.0,74.0,16.79154764,14.073226545,2498:1,3332.0,38.0,3.347639485,12.009607686,8.9,71.519095892
25,20051,Ellis,17.0,51.0,7.0,15.408966892,8.8145768158,1510:1,3913.0,45.0,2.3832108134,11.502666527,7.5,79.25375041
26,20053,Ellsworth,21.0,30.0,76.0,15.857439494,8.618199326,1583:1,7493.0,28.0,2.7920646583,18.957345972,7.8,77.7818686
27,20055,Finney,35.0,87.0,70.0,19.928398984,14.915914431,1612:1,5128.0,46.0,2.5191138992,10.247006795,7.6,80.260360878
28,20057,Ford,24.0,59.0,81.0,19.642222465,18.024873454,2456:1,3704.0,38.0,2.5776795066,6.9805997499,7.6,78.974899072
29,20059,Franklin,26.0,81.0,39.0,15.021732316,8.0352907694,2339:1,4888.0,35.0,3.5854301803,12.435394241,9.4,77.315960802
30,20061,Geary,96.0,104.0,12.0,20.495285464,7.8964034532,2821:1,2710.0,31.0,4.7946397494,7.6798109585,8.8,75.72012302
31,20063,Gove,30.0,8.0,71.0,13.648377466,15.784114053,658:1,7158.0,40.0,2.1587743733,34.207525656,6.9,80.195816839
32,20065,Graham,36.0,22.0,68.0,14.113659162,11.742006615,2495:1,5468.0,36.0,3.2114183764,24.048096192,6.8,75.47566198
33,20067,Grant,16.0,23.0,100.0,17.535028542,17.015341702,1882:1,7021.0,35.0,2.8443113772,18.602179112,7.2,78.444918877
34,20069,Gray,3.0,13.0,84.0,14.654595164,17.892447608,5958:1,2667.0,29.0,1.9784695956,21.819402484,7.4,79.406597276
35,20071,Greeley,65.0,64.0,102.0,17.829844421,13.803680982,1249:1,6956.0,5.0,1.9883040936,32.025620496,6.6,
36,20073,Greenwood,103.0,67.0,35.0,16.235402526,11.101340954,2041:1,2684.0,37.0,3.6193447738,16.331863466,8.9,74.273264297
37,20075,Hamilton,46.0,80.0,93.0,18.764647762,23.432636727,,2699.0,30.0,1.9547953574,22.727272727,6.8,76.946039404
38,20077,Harper,94.0,75.0,82.0,15.931903813,13.871491533,1863:1,5034.0,28.0,2.8748180495,25.044722719,8.5,74.338986501
39,20079,Harvey,34.0,9.0,6.0,13.116150183,10.166925179,1191:1,2680.0,50.0,3.2317362429,17.948124132,9.2,78.108272373
40,20081,Haskell,37.0,68.0,101.0,17.769985982,21.913043478,4053:1,4175.0,53.0,2.170963365,19.738465334,7.4,79.416843119
41,20083,Hodgeman,28.0,5.0,54.0,13.671414551,14.175438596,614:1,6783.0,36.0,2.5227043391,16.286644951,7.2,77.840440731
42,20085,Jackson,43.0,72.0,50.0,14.187359646,9.7094588323,1480:1,5003.0,29.0,2.9929333518,8.2594984232,9.3,77.01063694
43,20087,Jefferson,4.0,50.0,20.0,12.445147372,9.1431894546,2111:1,3270.0,53.0,3.2556309629,11.580166333,9.7,79.008715728
44,20089,Jewell,44.0,18.0,52.0,17.499803537,12.318477717,,4192.0,33.0,2.7972027972,21.052631579,7.6,80.017602357
45,20091,Johnson,1.0,1.0,1.0,9.2719844848,7.1642662934,815:1,3919.0,58.0,2.8879311625,8.6099279743,9.8,82.049923175
46,20093,Kearny,74.0,62.0,99.0,17.941664605,17.30941704,1320:1,6494.0,20.0,2.3523763802,12.626262626,7.2,79.446517847
47,20095,Kingman,99.0,6.0,62.0,13.391389531,9.2670894996,7360:1,4737.0,40.0,3.2267527134,19.02173913,8.4,68.237655615
48,20097,Kiowa,27.0,39.0,58.0,15.126228867,13.20441989,2485:1,3293.0,30.0,2.3736600306,52.3138833,7.3,78.517412149
49,20099,Labette,98.0,98.0,44.0,19.905189002,10.494938831,1439:1,3663.0,36.0,3.9914330218,14.39563167,9.9,75.840816125
50,20101,Lane,57.0,24.0,43.0,16.243924888,13.769941226,1559:1,2948.0,28.0,2.7638190955,38.486209108,7.0,
