,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,21001,Adair,61.0,74.0,79.0,22.848614065,6.7460590624,2784:1,6794.0,27.0,5.0648633729,4.6189376443,10.4,75.720703568
1,21003,Allen,78.0,81.0,83.0,21.963255534,7.105587149,6978:1,6192.0,40.0,3.7462370387,3.8217169063,10.6,74.115367877
2,21005,Anderson,28.0,38.0,30.0,18.463367299,5.2742062451,3757:1,5161.0,45.0,3.6063927705,9.3151171043,10.9,74.385261281
3,21007,Ballard,31.0,55.0,37.0,21.074502511,6.4055811004,,5732.0,49.0,6.9215740999,13.683293942,11.1,75.489716919
4,21009,Barren,32.0,63.0,32.0,24.276541595,7.0132569374,1153:1,5138.0,48.0,4.4302805496,6.3925481153,10.8,76.015804081
5,21011,Bath,84.0,98.0,82.0,24.840250379,7.2550559592,12378:1,5485.0,41.0,6.7340791738,4.0394247859,10.0,72.938533963
6,21013,Bell,108.0,115.0,94.0,28.665441709,6.7867636434,2241:1,9217.0,38.0,6.343239751,10.039413996,9.7,71.8814697
7,21015,Boone,2.0,5.0,2.0,16.486470347,4.217878322,1575:1,5015.0,54.0,3.3629719682,6.9610182975,12.0,78.887611803
8,21017,Bourbon,41.0,14.0,41.0,21.114959613,8.1809672387,1335:1,5675.0,51.0,3.9880461665,9.9855209946,10.5,75.951752516
9,21019,Boyd,74.0,66.0,8.0,20.445661886,5.3518523552,1090:1,6494.0,49.0,5.917454003,16.048687968,10.4,74.20716025
10,21021,Boyle,36.0,9.0,12.0,20.368296893,5.3249436514,1247:1,4902.0,44.0,4.4322867111,13.367196899,10.5,76.56079391
11,21023,Bracken,88.0,46.0,52.0,21.681265974,6.2998983887,4134:1,4280.0,34.0,4.8558815892,12.09628644,10.5,73.730620352
12,21025,Breathitt,120.0,112.0,102.0,29.448401266,6.6009757964,1618:1,10275.0,34.0,7.3016744441,3.089757454,9.7,69.703783984
13,21027,Breckinridge,43.0,10.0,81.0,21.572431526,7.8134806075,4022:1,6708.0,45.0,5.3692115144,10.939286957,11.8,75.615860975
14,21029,Bullitt,6.0,18.0,27.0,17.739563409,4.8709672665,5350:1,6584.0,50.0,4.0782571712,6.3554569698,12.4,77.887021495
15,21031,Butler,68.0,49.0,96.0,22.317185344,7.9272444315,12831:1,6931.0,45.0,4.8597771802,13.249162185,11.1,73.588481347
16,21033,Caldwell,33.0,30.0,19.0,20.492311513,5.8076225045,1806:1,5063.0,50.0,4.7241188411,17.406440383,10.9,76.134962493
17,21035,Calloway,9.0,23.0,49.0,21.622825209,6.6782751204,2048:1,6196.0,48.0,3.9069126378,12.07636373,10.7,77.464683259
18,21037,Campbell,17.0,15.0,4.0,18.694786994,4.4679623364,1468:1,5638.0,55.0,3.2950722343,8.0010379725,11.7,77.001615618
19,21039,Carlisle,40.0,31.0,57.0,23.021880482,7.4180865007,2423:1,5927.0,48.0,4.8896581566,10.317787866,11.0,75.190963399
20,21041,Carroll,86.0,47.0,101.0,22.678628166,7.6296128594,2678:1,9367.0,38.0,4.1176470588,9.3344534677,11.1,72.39781546
21,21043,Carter,76.0,93.0,54.0,23.952353598,6.3342506647,4524:1,5936.0,45.0,9.2177077016,4.4208664898,9.6,74.396110354
22,21045,Casey,92.0,109.0,120.0,26.178691909,8.4510532838,15750:1,9954.0,32.0,4.6629046629,5.7142857143,10.4,74.335891643
23,21047,Christian,70.0,104.0,24.0,22.642248529,6.1628981797,1565:1,6652.0,42.0,5.2468514867,13.491251988,10.9,74.889805303
24,21049,Clark,50.0,12.0,13.0,19.046288459,5.3937395915,1897:1,4165.0,46.0,4.1216137658,10.542085113,10.4,74.811351144
25,21051,Clay,117.0,117.0,119.0,30.714707886,8.0203568898,2546:1,10324.0,28.0,7.0676115687,6.8742021015,9.8,70.998978653
26,21053,Clinton,62.0,65.0,116.0,24.467835395,8.1350918279,2569:1,11805.0,32.0,5.4794520548,4.8657065006,9.7,75.508367014
27,21055,Crittenden,64.0,34.0,109.0,21.878461248,6.6487099518,2271:1,13912.0,31.0,5.1688843398,14.310876266,11.1,73.885552285
28,21057,Cumberland,42.0,57.0,117.0,23.194727003,7.5399115214,2235:1,12534.0,14.0,4.4671346522,5.964807635,9.9,74.810061957
29,21059,Daviess,14.0,6.0,7.0,19.758897052,5.6115019884,1894:1,4116.0,51.0,3.9506018576,13.449698129,12.2,76.643058031
30,21061,Edmonson,20.0,32.0,97.0,22.591101959,7.6716016151,12226:1,6518.0,42.0,5.2999178307,0.0,11.0,76.48275255
31,21063,Elliott,101.0,118.0,67.0,28.989108092,6.2117925458,7523:1,5908.0,37.0,9.2753623188,0.0,9.4,76.735279145
32,21065,Estill,103.0,103.0,103.0,26.668145002,7.146619842,3569:1,8505.0,29.0,5.4835680751,13.308117952,9.8,71.388440648
33,21067,Fayette,5.0,21.0,3.0,17.529169306,7.3672310501,807:1,3752.0,54.0,3.3177198611,11.554266226,10.8,78.19254859
34,21069,Fleming,56.0,64.0,80.0,20.954024955,8.0505598914,2064:1,5829.0,38.0,5.4379680886,6.9223314412,10.1,74.11997509
35,21071,Floyd,116.0,102.0,68.0,29.344630949,6.4096007637,1649:1,11617.0,33.0,6.6012652425,7.1682611453,10.0,70.96648442
36,21073,Franklin,55.0,26.0,44.0,20.737091602,6.0200169297,2805:1,5933.0,44.0,3.7363777893,21.39249282,11.0,75.266499397
37,21075,Fulton,98.0,111.0,74.0,26.941537275,5.9150544808,3096:1,8332.0,33.0,5.76171875,12.919896641,10.9,72.310679816
38,21077,Gallatin,90.0,45.0,85.0,20.145778287,8.3399946709,2194:1,4520.0,38.0,4.0756199362,0.0,11.1,71.000768667
39,21079,Garrard,53.0,48.0,58.0,20.855248492,7.2339535856,3505:1,4382.0,42.0,4.4326010659,6.2774639046,10.4,76.156351915
40,21081,Grant,77.0,76.0,33.0,22.792902618,6.1125852919,2082:1,4201.0,48.0,4.3140932731,7.204610951,10.9,73.26754121
41,21083,Graves,34.0,78.0,87.0,22.841147603,7.3378896483,3093:1,9057.0,43.0,5.0301029326,10.23679319,11.0,75.466791985
42,21085,Grayson,81.0,96.0,66.0,24.211651559,6.9610885653,1647:1,7720.0,43.0,4.9113233288,6.0702632977,11.3,72.865488005
43,21087,Green,27.0,35.0,106.0,21.364900902,8.4802014191,5533:1,7517.0,44.0,4.2947202522,12.652507908,10.7,75.851285085
44,21089,Greenup,52.0,42.0,22.0,24.559132288,5.2676812892,1544:1,7177.0,48.0,6.6498253956,9.5726110704,10.4,75.384153916
45,21091,Hancock,13.0,36.0,6.0,20.972998815,4.7007379065,,3048.0,45.0,4.1574957202,11.362345188,12.1,77.561932673
46,21093,Hardin,12.0,71.0,14.0,20.282132631,5.1110839979,1589:1,6007.0,45.0,4.05094712,9.6233031988,11.8,77.357026839
47,21095,Harlan,115.0,97.0,118.0,28.197277842,6.9479606188,3339:1,13164.0,25.0,7.430576747,8.984389623,9.6,70.495932785
48,21097,Harrison,51.0,33.0,40.0,20.442257199,6.5204735106,2348:1,5121.0,52.0,4.1384067134,10.64906022,10.5,74.459714033
49,21099,Hart,48.0,58.0,76.0,23.941255559,7.5676730869,2680:1,5635.0,38.0,3.9826839827,11.195820227,11.0,74.912859943
50,21101,Henderson,66.0,50.0,25.0,21.121849128,5.6356136498,1837:1,6529.0,48.0,3.8412927688,12.62846194,12.0,75.682390052
51,21103,Henry,24.0,8.0,50.0,21.32288306,7.0327333485,2001:1,5097.0,43.0,3.8861053403,11.245782831,11.2,75.283776555
52,21105,Hickman,30.0,24.0,86.0,25.045049469,6.8446899939,4520:1,10548.0,49.0,5.7395143488,8.8495575221,10.7,77.175812455
53,21107,Hopkins,47.0,44.0,18.0,20.421150048,6.6012196122,843:1,5881.0,46.0,4.4188579431,18.662041408,11.6,74.041077071
54,21109,Jackson,96.0,113.0,77.0,26.470103621,7.0790816327,4477:1,5775.0,36.0,6.9953849891,0.0,9.8,72.659379976
55,21111,Jefferson,37.0,41.0,9.0,20.807404001,6.2713374837,1058:1,5562.0,51.0,4.0612900568,9.9720161108,12.9,75.801674444
56,21113,Jessamine,23.0,17.0,28.0,20.795635861,7.5637284839,1369:1,4072.0,53.0,3.632923368,11.803278689,10.8,77.349973704
57,21115,Johnson,94.0,77.0,63.0,25.367412213,6.3502636692,1329:1,8987.0,38.0,6.8756469023,3.9833584137,9.8,72.13748486
58,21117,Kenton,19.0,67.0,11.0,15.973682201,5.8115891717,1207:1,4603.0,54.0,3.4498095477,7.497022352,12.2,76.01403526
59,21119,Knott,112.0,108.0,111.0,28.611488954,7.7053632043,3058:1,9912.0,35.0,6.8700564972,5.2318357204,9.7,71.484200451
60,21121,Knox,106.0,119.0,104.0,29.55367589,6.8629798101,4461:1,7756.0,31.0,6.2487640894,6.4047138694,9.9,72.508488769
61,21123,Larue,21.0,37.0,72.0,21.934411346,6.9197207679,14205:1,6875.0,46.0,4.3950617284,13.375571982,11.2,76.261436437
62,21125,Laurel,60.0,73.0,59.0,22.694861545,6.9028649606,2407:1,5354.0,39.0,5.082775484,5.3179113903,10.0,74.719832977
63,21127,Lawrence,99.0,83.0,62.0,26.95010764,6.8346162818,2620:1,7609.0,46.0,7.2369714848,5.7255550608,9.9,72.236334345
64,21129,Lee,113.0,106.0,107.0,27.844519664,6.402976307,3285:1,9963.0,23.0,6.3453025086,4.5662100457,9.6,70.081306144
65,21131,Leslie,107.0,99.0,113.0,26.987424043,7.5328431963,5167:1,9050.0,28.0,7.0943396226,4.8383975227,9.5,71.450084019
66,21133,Letcher,109.0,100.0,105.0,26.597046109,6.324776723,1596:1,12449.0,27.0,6.5231158961,5.8194189534,9.5,71.314534976
67,21135,Lewis,100.0,114.0,93.0,24.90260045,6.9973015725,4446:1,5633.0,26.0,8.3774063888,3.7484069271,10.0,71.380365221
68,21137,Lincoln,91.0,84.0,99.0,25.038415875,7.9475230473,3057:1,5664.0,34.0,5.0288276746,11.040235525,10.3,74.237026949
69,21139,Livingston,63.0,29.0,61.0,20.803121756,6.0497237569,3090:1,8546.0,40.0,6.7801188547,15.104110476,11.1,73.656046684
70,21141,Logan,26.0,68.0,47.0,21.864399971,6.9069618516,3383:1,6794.0,52.0,3.8785834739,14.781966001,11.0,75.591707491
71,21143,Lyon,10.0,2.0,36.0,18.813385671,6.4288514308,2694:1,4835.0,49.0,5.0930460333,11.135857461,10.9,76.347504919
72,21145,McCracken,25.0,43.0,5.0,21.49689521,5.8723895679,1055:1,4951.0,51.0,5.5876948207,18.352833219,11.1,76.493651343
73,21147,McCreary,111.0,120.0,110.0,34.252776174,7.745933385,4366:1,7302.0,28.0,6.3171465406,3.4354423132,9.6,71.353856353
74,21149,McLean,89.0,53.0,34.0,21.502149327,6.6847090663,,4613.0,47.0,4.9241540257,18.476252581,11.8,73.955723544
75,21151,Madison,29.0,27.0,20.0,20.135401131,6.2140042437,1825:1,4451.0,46.0,3.8578009042,9.6463727446,10.1,76.334079277
76,21153,Magoffin,102.0,105.0,108.0,27.915902957,8.1833219811,3135:1,7913.0,37.0,13.239929947,2.3927261126,9.7,72.503561849
77,21155,Marion,54.0,87.0,31.0,23.568975659,6.2812006319,2155:1,3810.0,37.0,3.7810325127,5.6715648363,10.9,75.298725109
78,21157,Marshall,22.0,16.0,29.0,18.663700817,6.1200213298,2414:1,4623.0,48.0,5.2924791086,19.119240329,11.1,75.010211736
79,21159,Martin,105.0,101.0,115.0,27.596271131,7.3218432954,2863:1,13308.0,36.0,6.4921090387,4.3660495983,9.8,72.262466231
80,21161,Mason,46.0,80.0,26.0,21.140409802,6.5541714948,1431:1,4149.0,44.0,5.5141990626,18.050541516,10.3,73.994989259
81,21163,Meade,16.0,56.0,48.0,20.453884799,5.7855028969,4692:1,5744.0,44.0,4.6432340287,5.6830290545,12.1,76.154918479
82,21165,Menifee,83.0,59.0,69.0,23.120550821,7.0713022982,2152:1,5335.0,32.0,7.6068376068,0.0,9.5,72.624788522
83,21167,Mercer,49.0,7.0,55.0,20.88604296,6.7358999369,4304:1,5385.0,46.0,4.4575017729,11.616560569,10.7,74.698463413
84,21169,Metcalfe,67.0,62.0,65.0,24.850384953,6.637113656,5054:1,5177.0,40.0,4.1180671269,5.9364796676,10.5,74.475173128
85,21171,Monroe,85.0,79.0,114.0,23.82316115,8.210180624,2132:1,15420.0,40.0,4.1455160745,9.3817431279,10.2,72.511294108
86,21173,Montgomery,58.0,69.0,17.0,22.425612966,6.1779064242,1995:1,3505.0,49.0,5.9675898139,8.2354626182,10.1,74.714215317
87,21175,Morgan,82.0,94.0,91.0,25.965002343,7.8084555651,4396:1,4530.0,34.0,6.3226094727,3.0330603579,9.6,74.877783404
88,21177,Muhlenberg,45.0,60.0,60.0,22.768083441,6.8126933017,2201:1,6485.0,32.0,6.7333081856,20.443925234,11.4,75.299662052
89,21179,Nelson,18.0,20.0,10.0,17.681061183,5.2399252181,2173:1,3393.0,49.0,4.3371053674,8.9833479404,11.5,75.809977355
90,21181,Nicholas,87.0,90.0,100.0,24.813315265,8.0928803142,7130:1,6538.0,47.0,4.5634317006,12.622720898,10.1,73.169699849
91,21183,Ohio,59.0,88.0,42.0,23.88559732,6.2436341414,3455:1,5925.0,40.0,5.7090982449,12.819452485,11.7,74.833098614
92,21185,Oldham,1.0,1.0,1.0,15.041677141,3.8085883203,1660:1,3534.0,52.0,3.2882476706,6.3238726191,11.9,79.683348388
93,21187,Owen,39.0,61.0,39.0,21.219555592,6.4339493498,2691:1,3845.0,43.0,4.876649455,11.147236414,10.9,75.58296218
94,21189,Owsley,119.0,110.0,98.0,26.613177718,6.1107938321,,9607.0,30.0,7.0879590094,0.0,9.5,69.016212377
95,21191,Pendleton,35.0,22.0,51.0,18.837650178,6.0794756247,4858:1,5710.0,48.0,4.0946443752,9.606807109,10.7,74.368250321
96,21193,Perry,118.0,107.0,70.0,26.014191491,6.6887936201,781:1,12206.0,27.0,6.3311097635,6.0256844801,9.6,69.168418275
97,21195,Pike,97.0,85.0,73.0,25.639343305,6.9310108705,1132:1,10159.0,40.0,5.9298650479,6.6233038398,9.6,73.097161713
98,21197,Powell,104.0,75.0,75.0,23.669364097,6.4329775776,12374:1,5167.0,30.0,5.9526179574,8.889607241,9.7,69.694158625
99,21199,Pulaski,73.0,91.0,46.0,23.548771965,6.8694608924,1315:1,4855.0,33.0,5.0726891083,9.7751710655,10.0,73.778815642
100,21201,Robertson,79.0,51.0,95.0,24.90134307,7.6225045372,,6427.0,47.0,4.9079754601,14.058106842,10.1,73.588556167
101,21203,Rockcastle,95.0,54.0,89.0,23.821632069,6.4324002382,2385:1,8602.0,23.0,4.9305244285,5.9887411666,10.0,73.610783772
102,21205,Rowan,72.0,86.0,45.0,23.058514458,7.1154594474,1290:1,7158.0,46.0,5.1653278535,6.1182036954,9.7,74.734049105
103,21207,Russell,93.0,70.0,88.0,23.913328422,8.0567032341,2963:1,4935.0,32.0,5.8054226475,8.4388185654,10.1,73.259996597
104,21209,Scott,8.0,11.0,16.0,17.722407338,5.2738762571,1770:1,5198.0,50.0,3.3068829308,8.2007544694,10.9,76.649551499
105,21211,Shelby,7.0,4.0,53.0,18.8418139,8.0007150336,2635:1,4683.0,50.0,3.4831460674,9.489466692,11.5,78.027086566
106,21213,Simpson,57.0,39.0,56.0,20.921245462,6.1091942358,2587:1,7620.0,47.0,3.8818469896,13.253810471,10.8,74.240182685
107,21215,Spencer,3.0,19.0,23.0,16.587959889,5.1377977304,2313:1,5502.0,46.0,3.6477487327,5.9436969795,11.4,77.051846654
108,21217,Taylor,38.0,52.0,35.0,23.27877774,6.2902730899,1498:1,5752.0,39.0,4.2820553866,15.703517588,10.7,75.825528808
109,21219,Todd,65.0,72.0,112.0,21.612130437,8.8871176646,6122:1,7592.0,36.0,3.9909638554,17.969451932,10.8,74.082238559
110,21221,Trigg,11.0,25.0,64.0,20.648499575,7.436311446,4815:1,4171.0,41.0,4.7325445759,16.615895874,10.6,77.446012529
111,21223,Trimble,69.0,40.0,71.0,20.519415884,6.3724098779,4281:1,6501.0,38.0,4.2897508348,10.512790562,11.2,73.972260638
112,21225,Union,80.0,92.0,78.0,23.234061874,7.3468052033,4889:1,7489.0,32.0,4.9677098857,10.22634306,11.6,73.840529645
113,21227,Warren,15.0,13.0,38.0,19.447167369,7.3156464639,1416:1,5701.0,49.0,3.6832298137,8.6926151577,10.8,77.209047881
114,21229,Washington,44.0,28.0,43.0,20.188538815,7.3568643546,3032:1,4366.0,46.0,3.7413320432,14.844136566,10.8,75.2929363
115,21231,Wayne,75.0,95.0,84.0,26.599263646,7.7956149666,1594:1,4929.0,25.0,7.0281653067,7.7234987449,9.7,75.80741631
116,21233,Webster,71.0,82.0,90.0,23.332726561,8.326155613,4339:1,5730.0,43.0,4.1965199591,16.89967737,11.6,74.076040531
117,21235,Whitley,114.0,89.0,21.0,26.414008428,6.187150838,1293:1,5085.0,35.0,5.0,8.5602253272,9.9,70.350993103
118,21237,Wolfe,110.0,116.0,92.0,30.665273089,6.7039106145,7264:1,6900.0,37.0,7.6680672269,0.0,9.5,71.52565106
119,21239,Woodford,4.0,3.0,15.0,18.064538911,7.3809075504,1465:1,2891.0,54.0,3.0892989928,12.13592233,11.0,78.507805526
