,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,22001,Acadia,24.0,31.0,27.0,20.890035316,10.665807234,2721:1,7073.0,48.0,5.373246493,7.9884965649,9.4,75.440695653
1,22003,Allen,22.0,36.0,47.0,21.312153507,9.3275852416,5124:1,7589.0,37.0,5.6238615665,10.538230358,9.2,74.944040845
2,22005,Ascension,1.0,7.0,3.0,16.66091447,7.06536831,2509:1,4112.0,46.0,4.1426507248,5.6934639034,10.0,78.733676249
3,22007,Assumption,21.0,27.0,39.0,21.59669348,10.268340186,7509:1,5806.0,46.0,6.6659210379,5.3271774838,9.3,77.632458855
4,22009,Avoyelles,51.0,61.0,49.0,24.494734265,10.242020344,3725:1,6979.0,37.0,5.7206295305,10.004880429,9.2,73.799994383
5,22011,Beauregard,28.0,20.0,44.0,19.8806091,9.5390460954,2462:1,7519.0,42.0,5.3156374639,13.810658579,9.4,74.380840646
6,22013,Bienville,56.0,48.0,28.0,23.67248002,8.9628325146,6819:1,6227.0,40.0,5.8377425044,16.131397566,9.7,74.421697803
7,22015,Bossier,7.0,4.0,13.0,18.601481071,8.7482489587,2321:1,5801.0,48.0,4.2762929538,7.4431577793,10.3,77.906399867
8,22017,Caddo,50.0,51.0,2.0,22.875329212,8.6488047521,874:1,6451.0,44.0,5.4887476379,12.125832891,10.3,74.903312853
9,22019,Calcasieu,18.0,15.0,6.0,19.326450598,8.8325141999,1306:1,4614.0,45.0,3.8178707294,10.867149102,9.5,75.13583341
10,22021,Caldwell,41.0,46.0,64.0,21.75242789,11.10821382,3317:1,16387.0,29.0,5.7239937271,12.060301508,9.2,73.535302726
11,22023,Cameron,3.0,2.0,26.0,16.823587231,9.4003801624,3456:1,4287.0,34.0,3.524771999,10.127314815,9.1,81.963176358
12,22025,Catahoula,40.0,44.0,56.0,22.418596301,10.659415364,9875:1,7507.0,33.0,6.8027210884,15.189873418,9.0,73.633535569
13,22027,Claiborne,55.0,59.0,55.0,28.267475228,11.104536489,2662:1,9139.0,32.0,5.2431216473,8.1407727472,9.6,75.856799856
14,22029,Concordia,59.0,56.0,34.0,26.032152109,9.9415980887,3311:1,8325.0,39.0,7.0299022427,12.58431491,9.0,72.979196041
15,22031,De Soto,31.0,33.0,38.0,23.00137157,9.6149536062,5468:1,6677.0,35.0,5.7466989027,12.070226774,9.9,76.100997355
16,22033,East Baton Rouge,29.0,8.0,1.0,19.990470496,8.6096245283,1075:1,4292.0,48.0,4.3174032829,12.189984494,9.0,76.099840915
17,22035,East Carroll,63.0,63.0,60.0,37.462276572,8.2414277121,2375:1,16851.0,17.0,10.346585117,8.4198708953,9.6,72.652725753
18,22037,East Feliciana,34.0,10.0,17.0,20.701473383,8.2082517584,3235:1,4734.0,42.0,4.6703296703,6.1817432516,9.3,73.480789962
19,22039,Evangeline,46.0,57.0,29.0,24.988649849,10.020785472,1605:1,9010.0,48.0,5.7789569687,8.6032989201,9.3,73.712201633
20,22041,Franklin,48.0,53.0,62.0,25.063024419,11.676980198,2894:1,10087.0,24.0,7.1262481193,14.313919052,9.3,73.89658236
21,22043,Grant,14.0,62.0,32.0,22.486484714,9.4086354076,11168:1,5719.0,41.0,5.8976582827,8.5064469914,9.5,75.506183761
22,22045,Iberia,39.0,42.0,20.0,22.765269328,10.295252006,2123:1,4156.0,43.0,5.8486679004,6.0962092662,9.4,74.714852231
23,22047,Iberville,36.0,18.0,16.0,21.565921663,8.5050163082,3002:1,5025.0,44.0,6.1874559549,7.266781724,9.5,75.50924709
24,22049,Jackson,25.0,23.0,48.0,22.273719777,9.8933649289,5282:1,8690.0,39.0,4.6059365404,15.145778114,9.5,76.332199263
25,22051,Jefferson,11.0,6.0,19.0,20.212759461,11.564760787,1100:1,4906.0,42.0,4.3726518618,7.6075765996,8.0,77.340209827
26,22053,Jefferson Davis,33.0,25.0,31.0,19.511827563,10.436280138,2248:1,7143.0,44.0,4.7150259067,8.5776916479,9.0,73.932060778
27,22055,Lafayette,5.0,3.0,5.0,17.351257579,10.138008853,944:1,5036.0,47.0,4.4751493334,7.4231395756,9.4,78.536775398
28,22057,Lafourche,8.0,14.0,37.0,18.364004129,11.918940972,2140:1,5668.0,44.0,4.7374210828,5.0799585475,9.3,77.288032483
29,22059,La Salle,17.0,22.0,57.0,21.664212632,12.02888341,1659:1,9092.0,34.0,4.3886150421,15.402129512,9.1,75.400210953
30,22061,Lincoln,13.0,24.0,14.0,23.17574085,9.7156205014,1540:1,5887.0,44.0,5.222339498,13.195375335,9.6,77.831437103
31,22063,Livingston,10.0,16.0,23.0,18.204865396,8.9392711197,5316:1,5285.0,46.0,4.0505919077,6.9450473131,9.7,76.509845357
32,22065,Madison,64.0,64.0,40.0,31.104762672,8.9771622935,2829:1,7282.0,13.0,8.2988695892,5.3022269353,9.6,72.434948432
33,22067,Morehouse,62.0,58.0,41.0,28.331771652,9.1821177396,2849:1,8642.0,36.0,8.1722750907,15.99001599,9.8,71.940903196
34,22069,Natchitoches,52.0,38.0,22.0,26.00375773,9.6322811585,1774:1,6439.0,42.0,5.8147274157,12.557340919,9.6,74.738508067
35,22071,Orleans,32.0,30.0,11.0,21.19276632,9.8632974571,1054:1,5209.0,37.0,5.0065699349,9.9417226895,9.0,76.862354802
36,22073,Ouachita,43.0,39.0,8.0,23.093448306,8.395497717,1199:1,6507.0,43.0,5.2029446876,12.381795553,9.5,74.927678955
37,22075,Plaquemines,6.0,17.0,53.0,19.174696582,11.69451074,5837:1,4466.0,33.0,4.6236989592,7.2811375707,8.9,78.216067491
38,22077,Pointe Coupee,35.0,12.0,33.0,19.919372827,9.8673859294,3181:1,4175.0,33.0,5.3605360536,5.3888988683,9.3,75.735131028
39,22079,Rapides,44.0,40.0,10.0,21.542318188,9.6393942493,1230:1,5244.0,44.0,5.3092382555,12.761302868,9.3,74.403603931
40,22081,Red River,53.0,32.0,58.0,22.296474219,8.8334556126,4268:1,11679.0,32.0,4.4383833375,8.2005623243,9.4,72.813552957
41,22083,Richland,47.0,34.0,46.0,25.166744988,9.7784140421,1458:1,9629.0,24.0,6.2394806444,10.778501788,9.6,74.8189694
42,22085,Sabine,19.0,41.0,61.0,20.330524062,12.566193603,8006:1,7964.0,38.0,5.1837051837,13.323340828,9.4,76.401094361
43,22087,St. Bernard,45.0,43.0,52.0,22.946131654,10.229958637,4620:1,6139.0,33.0,5.0105025872,4.545257781,9.0,74.895082207
44,22089,St. Charles,4.0,9.0,9.0,18.542104148,7.3779193206,2931:1,4636.0,40.0,4.3907529298,8.5309674117,9.0,77.81472246
45,22091,St. Helena,57.0,49.0,59.0,26.773023181,10.120048019,5182:1,9295.0,35.0,6.5604065604,9.6497153334,8.8,74.07798709
46,22093,St. James,26.0,19.0,12.0,20.207376606,7.1040416619,4273:1,4644.0,38.0,6.1756191702,6.5521598727,9.5,76.083533782
47,22095,St. John the Baptist,38.0,26.0,21.0,21.526106578,8.6324324324,3620:1,4415.0,35.0,5.6870831424,4.6039455814,9.2,74.570890372
