,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,23001,Androscoggin,11.0,11.0,6.0,13.448855437,9.4466201655,1223:1,3799.0,50.0,3.2967231149,8.7319207439,7.6,77.564429361
1,23003,Aroostook,13.0,12.0,11.0,17.492794482,11.815796796,940:1,5097.0,39.0,4.8126105839,11.233795988,8.1,77.983122284
2,23005,Cumberland,1.0,1.0,1.0,9.0048088735,9.1837857046,602:1,2537.0,53.0,2.6818371431,13.196581197,8.0,80.240827854
3,23007,Franklin,10.0,7.0,5.0,14.057004795,10.78263995,937:1,3130.0,43.0,4.0149264045,8.6701347206,6.9,78.119002583
4,23009,Hancock,4.0,4.0,7.0,12.96677119,11.840978593,690:1,3745.0,51.0,3.7950147924,13.211736426,6.3,79.983650084
5,23011,Kennebec,6.0,8.0,2.0,12.485646195,9.6553093231,786:1,3295.0,46.0,3.2362770023,14.611602269,7.7,78.199386559
6,23013,Knox,3.0,5.0,3.0,11.173563361,11.714176856,1075:1,2651.0,48.0,3.2209483094,15.330485046,7.2,79.098034357
7,23015,Lincoln,8.0,3.0,14.0,11.148040806,13.646150721,900:1,3973.0,36.0,3.3435366141,12.863992515,7.5,79.471393756
8,23017,Oxford,9.0,14.0,10.0,13.647688755,11.308801725,1689:1,3761.0,41.0,3.9913053255,9.2271801389,7.4,77.763530797
9,23019,Penobscot,12.0,10.0,8.0,15.212091016,10.933240482,775:1,4379.0,43.0,3.785963411,10.134445929,7.2,77.597234418
10,23021,Piscataquis,15.0,13.0,13.0,15.244386967,12.160252681,1525:1,4064.0,32.0,4.1649926343,8.9429440172,6.7,76.622431612
11,23023,Sagadahoc,2.0,2.0,9.0,11.752554148,8.4700043159,1539:1,3092.0,33.0,2.7109053498,8.1939421338,7.7,79.589383781
12,23025,Somerset,14.0,16.0,15.0,15.736557327,12.114171922,1633:1,4691.0,41.0,4.8103809857,10.073875084,7.3,76.245700055
13,23027,Waldo,7.0,9.0,12.0,15.062473001,12.356302963,1374:1,4195.0,42.0,3.5247058824,7.531632858,7.1,79.134137506
14,23029,Washington,16.0,15.0,16.0,17.627855651,15.628125408,1504:1,4100.0,34.0,4.9208509419,6.963567879,6.5,75.923292799
15,23031,York,5.0,6.0,4.0,12.723861548,8.5945169841,1309:1,3810.0,49.0,3.0307283397,7.8847745493,7.7,79.173045648
