,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,24001,Allegany,21.0,20.0,13.0,16.599970615,5.8771463976,1885:1,4853.0,43.0,5.5152576288,17.175172799,9.0,76.251723385
1,24003,Anne Arundel,10.0,10.0,11.0,12.171960063,5.5851944362,1440:1,4625.0,53.0,3.3407299025,8.303749771,10.6,79.230199223
2,24005,Baltimore,15.0,8.0,8.0,13.813202217,6.1364451946,988:1,5172.0,53.0,4.0416017195,8.4447690482,10.9,78.083645782
3,24009,Calvert,7.0,11.0,7.0,11.772675584,4.069580846,1906:1,4408.0,53.0,3.540237373,6.447946493,9.3,79.437430705
4,24011,Caroline,19.0,21.0,22.0,17.211157909,8.3859105166,2766:1,4914.0,48.0,3.8162857777,9.9418552104,9.4,76.073092012
5,24013,Carroll,3.0,4.0,5.0,10.528174204,4.5924658031,2124:1,4066.0,55.0,3.2457414219,9.7746467121,10.5,78.621714675
6,24015,Cecil,18.0,16.0,17.0,14.388865918,5.6005351417,2446:1,4970.0,49.0,4.4022647819,6.6182625114,10.7,76.192148673
7,24017,Charles,13.0,14.0,19.0,14.052300459,5.0133901575,2535:1,5108.0,45.0,3.8764335401,5.6355666875,9.3,78.71131795
8,24019,Dorchester,23.0,22.0,16.0,17.797274053,7.3101857376,2297:1,4938.0,50.0,5.2062292305,9.3277781233,9.4,75.857306013
9,24021,Frederick,4.0,3.0,12.0,11.497212377,5.420760519,1605:1,4238.0,51.0,3.5144575827,10.435596892,10.3,80.081316741
10,24023,Garrett,12.0,15.0,18.0,13.863125037,7.3559172899,1827:1,4115.0,40.0,4.7826086957,13.341087128,8.7,78.681640087
11,24025,Harford,8.0,9.0,4.0,12.247499208,4.7453604822,1763:1,3401.0,53.0,3.6225590249,7.7331852792,10.9,78.799407927
12,24027,Howard,2.0,2.0,1.0,9.7491763547,3.9220362501,517:1,3193.0,57.0,3.0067051319,8.8442386325,11.0,83.37551257
13,24029,Kent,16.0,7.0,10.0,13.098639541,8.4152006702,1140:1,3780.0,54.0,4.3300175541,14.960792406,9.7,78.99813048
14,24031,Montgomery,1.0,1.0,2.0,10.907770539,7.9719082796,743:1,2982.0,53.0,3.1640266744,8.6984444801,10.8,84.443428776
15,24033,Prince George's,11.0,12.0,24.0,14.756274902,10.785763555,1855:1,5235.0,39.0,4.0785213997,8.0634912288,9.9,79.530472935
16,24035,Queen Anne's,9.0,5.0,6.0,11.145342604,5.4117295629,2765:1,3551.0,54.0,3.3492822967,6.8314245529,9.7,79.503633933
17,24037,St. Mary's,6.0,18.0,23.0,12.993604323,5.2479737653,2504:1,5535.0,44.0,3.8014287006,6.4792707714,9.0,78.972302086
18,24039,Somerset,22.0,24.0,20.0,19.072143524,8.4829200937,2880:1,4471.0,45.0,6.8854912862,11.189134964,9.0,75.323966485
19,24041,Talbot,5.0,6.0,3.0,12.581386491,8.5427135678,1091:1,3240.0,52.0,3.7470606277,12.397919306,9.3,81.409548658
20,24043,Washington,17.0,17.0,14.0,15.827228872,6.3738374444,1793:1,4666.0,51.0,4.3469535201,12.75086666,10.1,77.161942121
21,24045,Wicomico,20.0,19.0,15.0,15.307423384,8.1475077152,1470:1,4387.0,47.0,5.2428439882,9.3273612312,9.3,76.289116055
22,24047,Worcester,14.0,13.0,9.0,13.557171781,7.7828418231,1149:1,3884.0,49.0,8.0313418217,17.411491584,9.0,78.474955492
23,24510,Baltimore City,24.0,23.0,21.0,18.766013095,7.6409224371,1031:1,6325.0,46.0,5.6785317403,9.8259129434,9.5,72.782590084
