,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,25001,Barnstable,9.0,2.0,3.0,10.040827353,3.5225606776,1026:1,2983.0,52.0,4.279630028,12.743389367,6.7,79.611160659
1,25003,Berkshire,12.0,8.0,5.0,13.207584399,3.3426123967,915:1,3563.0,51.0,4.0372717784,11.479420171,7.7,78.869062697
2,25005,Bristol,13.0,13.0,12.0,14.342738308,3.6661107974,1878:1,6101.0,52.0,4.2793759367,8.156970024,6.9,78.645806892
3,25007,Dukes,2.0,4.0,13.0,11.05661153,4.7268588771,1575:1,4241.0,52.0,4.591002045,24.242424242,6.0,81.978420755
4,25009,Essex,7.0,3.0,11.0,13.395284216,3.7921392098,1311:1,5475.0,53.0,3.4202011226,8.5582745907,7.8,80.283813135
5,25011,Franklin,6.0,9.0,6.0,12.496700711,3.1031539956,1309:1,4550.0,53.0,3.0218783996,12.022290741,7.7,79.768817256
6,25013,Hampden,14.0,14.0,10.0,18.348080662,3.6304772065,1459:1,5410.0,52.0,4.6089983352,8.5990745352,8.2,78.402249958
7,25015,Hampshire,5.0,6.0,1.0,12.295515245,2.761778952,719:1,3697.0,58.0,3.0244094316,9.3923402993,8.0,80.829069118
8,25017,Middlesex,3.0,1.0,4.0,10.844166864,3.0072168971,798:1,4616.0,56.0,2.7043586701,9.6322585837,8.5,82.18800762
9,25019,Nantucket,1.0,7.0,14.0,12.574023513,4.4342187827,1604:1,2989.0,40.0,4.4113739038,15.139371271,6.0,82.770274788
10,25021,Norfolk,4.0,5.0,2.0,11.764851333,2.2627241308,788:1,4731.0,56.0,2.9641951475,9.9668438233,8.1,81.718054362
11,25023,Plymouth,8.0,12.0,8.0,12.604951904,2.812291393,1590:1,5870.0,53.0,3.4990068015,8.7160433434,7.2,79.569408995
12,25025,Suffolk,11.0,10.0,9.0,17.354595326,4.160588272,675:1,5231.0,48.0,3.0066685805,9.8754416064,7.6,81.236190675
13,25027,Worcester,10.0,11.0,7.0,13.835612796,3.1634715682,1011:1,4913.0,51.0,3.5405063572,8.7760072435,7.9,79.206003121
