,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,26001,Alcona,68.0,19.0,61.0,14.749692104,8.8091603053,1725:1,2588.0,28.0,6.5796344648,12.559173027,7.5,76.845122069
1,26003,Alger,19.0,7.0,18.0,15.404847507,7.6301162203,1303:1,1506.0,36.0,7.8322540857,10.96371012,6.4,80.135048232
2,26005,Allegan,17.0,16.0,32.0,14.210075459,5.4587306807,4313:1,3553.0,43.0,3.2664406562,10.390993327,11.0,79.133354588
3,26007,Alpena,27.0,31.0,19.0,14.694377187,6.1520684077,1355:1,3818.0,45.0,5.0821011962,14.053826154,7.5,77.992790879
4,26009,Antrim,16.0,17.0,67.0,14.002848344,8.1259582498,1664:1,4161.0,43.0,5.6176441499,10.303967027,7.4,80.485174326
5,26011,Arenac,62.0,62.0,73.0,15.811227659,8.1025549401,3009:1,5876.0,39.0,7.1141613659,7.9760717846,8.3,76.704584873
6,26013,Baraga,72.0,79.0,22.0,16.124144828,8.0097510012,938:1,1394.0,28.0,6.1083123426,9.4775500533,6.0,75.413379091
7,26015,Barry,11.0,24.0,37.0,12.85412236,5.3673120729,3029:1,4701.0,45.0,3.4076553815,10.563496517,11.2,79.459166737
8,26017,Bay,36.0,52.0,59.0,14.504552641,6.1048088631,2424:1,6890.0,49.0,4.7863044169,10.264872073,9.5,77.491961023
9,26019,Benzie,13.0,30.0,38.0,13.037894213,7.3985496065,1953:1,3799.0,52.0,5.5062571104,13.088260399,7.5,80.465840727
10,26021,Berrien,60.0,29.0,29.0,16.08037215,7.2588057644,1307:1,3761.0,46.0,4.298494436,12.835555786,11.8,77.416689256
11,26023,Branch,49.0,65.0,71.0,15.089663139,8.1180702996,2171:1,5272.0,45.0,3.6658011303,10.59663672,11.8,76.687309171
12,26025,Calhoun,73.0,75.0,14.0,16.188793548,5.626721827,1677:1,4168.0,50.0,4.2090193271,11.63068114,11.5,75.96794176
13,26027,Cass,33.0,49.0,52.0,14.501142904,7.2215331183,5138:1,3674.0,48.0,4.0692427599,8.3688522995,12.9,78.163888659
14,26029,Charlevoix,10.0,9.0,15.0,12.95207101,6.3711911357,1136:1,3703.0,42.0,4.7379646557,14.920234133,7.4,79.930377516
15,26031,Cheboygan,35.0,35.0,65.0,15.003031267,8.289985216,1691:1,3994.0,38.0,9.202396555,11.825456266,7.1,78.778456217
16,26033,Chippewa,31.0,83.0,72.0,18.503666075,9.3312186096,1640:1,4897.0,34.0,6.6270230505,10.341810082,6.9,78.919421515
17,26035,Clare,75.0,80.0,81.0,17.162905772,8.009898411,3065:1,4969.0,35.0,6.0879844634,11.091899651,8.3,75.052810825
18,26037,Clinton,3.0,11.0,13.0,12.306958776,4.5972279402,3138:1,3767.0,50.0,3.1744098229,7.2664227528,10.6,81.460923069
19,26039,Crawford,82.0,33.0,41.0,15.173149275,6.543509966,1070:1,4458.0,29.0,6.0050798258,7.9096857698,7.4,75.587239926
20,26041,Delta,37.0,28.0,12.0,15.796926183,6.454699345,1332:1,2542.0,40.0,5.3141514974,15.848741832,7.1,78.353215844
21,26043,Dickinson,46.0,10.0,3.0,15.133066067,5.9984813971,1105:1,2781.0,41.0,3.8476986103,17.706079087,7.0,78.937286034
22,26045,Eaton,14.0,40.0,23.0,14.071035291,5.5236411843,3029:1,4375.0,47.0,3.4692731548,11.648490741,10.9,79.196455913
23,26047,Emmet,15.0,6.0,5.0,13.798117145,7.7009708738,754:1,3484.0,49.0,5.8907066576,18.076100383,7.1,79.687930186
24,26049,Genesee,81.0,76.0,44.0,16.783055113,6.7293853231,1157:1,6404.0,48.0,4.8927005573,9.3523325601,10.2,75.317827674
25,26051,Gladwin,65.0,56.0,75.0,17.115977843,8.0198451641,6309:1,4647.0,43.0,5.6270096463,6.3406515019,8.4,76.646704855
26,26053,Gogebic,43.0,47.0,28.0,17.185537871,7.7622445987,1096:1,3383.0,38.0,5.1071371033,13.036110025,6.4,79.157880418
27,26055,Grand Traverse,7.0,15.0,4.0,12.04494201,6.3453738996,759:1,3869.0,55.0,3.6841141648,11.545960548,7.7,80.01792865
28,26057,Gratiot,30.0,74.0,35.0,16.524996421,5.672805021,2051:1,3876.0,41.0,4.6831025554,11.214588717,9.7,77.924411349
29,26059,Hillsdale,28.0,61.0,74.0,14.116446546,7.0918410218,3823:1,5459.0,42.0,4.0216028547,10.898232307,11.3,77.421271055
30,26061,Houghton,25.0,34.0,34.0,15.683848845,6.6703096539,1578:1,3558.0,30.0,5.0930218184,12.119542763,6.1,78.53615381
31,26063,Huron,44.0,21.0,46.0,14.458323982,6.8661821291,1840:1,4545.0,42.0,4.6063439909,17.26342711,9.0,76.84605503
32,26065,Ingham,59.0,50.0,16.0,16.190869431,6.1948219845,942:1,4477.0,48.0,3.6438188657,14.094408414,10.6,78.565097951
33,26067,Ionia,18.0,58.0,58.0,13.966618237,5.8430751338,3384:1,4928.0,32.0,3.4430093961,8.5548521566,10.6,78.523600933
34,26069,Iosco,67.0,26.0,47.0,15.033053336,7.6253343197,1936:1,3381.0,29.0,6.3715760222,14.704713457,7.9,75.637750278
35,26071,Iron,78.0,13.0,42.0,15.098506011,7.1093138534,1391:1,4849.0,40.0,5.5760637264,11.686443725,6.6,76.537394178
